Id,betweenness_centrality
1001,0.000307013
5068,0.001192964
7195,0.006049321
11075,0.004654898
212114,9.42E-05
9304045,0.000539173
9406055,0.003725088
9409110,0.005450207
9509049,0.000484788
9609167,0.003374216
9404186,0.000555547
9405086,0.001140333
9511152,9.24E-06
9308122,0.00032865
9506112,0.01473667
9508155,0.010570771
9601108,0.005397577
9605222,0.001812837
9412115,0.000345609
9506091,0.014250421
9506110,0.010741704
9509009,0.000374848
9412236,0.00013684
9512017,0.000266078
9601014,0.01060656
9602102,0.003643218
9412117,0.002771887
9605154,0.001742663
9603108,0.002204644
9610162,0.00516951
9403187,0.000494144
9606049,0.002111078
9310187,0.000328065
9710046,0.105674666
9912188,0.000877179
9604057,7.49E-05
9608104,0.000947354
9406008,0.000192979
9602147,2.11E-06
9812068,3.94E-05
9807124,0.01205718
9504114,4.67E-06
9504115,2.44E-05
9812253,5.85E-05
9705068,1.39E-05
9510218,9.65E-05
9511206,0.00021988
9611053,8.42E-05
9611110,4.63E-05
3298,0.003766023
9604096,2.49E-05
9607223,0.006380895
102198,2.27E-05
108234,0.000918114
109013,0.000280113
109155,0
211121,0
212020,6.96E-05
9909032,5.56E-05
9507075,1.41E-06
9603059,0
9609163,7.02E-07
9610119,0
9701094,1.59E-06
9707022,6.20E-05
9309097,0.000643265
9504090,0.004204613
9510234,0.003268955
9603150,0.007836778
9702155,0.003584739
9702198,0.003321586
9711036,0.001619858
9501111,0.000318124
9406032,0.001649097
9503208,0.000394731
9508107,0.005298163
9404060,3.30E-06
9608039,0.000404672
9605200,0.023047126
9710021,0.000883027
9706110,0.056901626
9807040,0.000596482
1025,0.000319293
9612181,4.00E-06
9407025,0.000126899
9708065,0.001040919
9704151,0.012563547
9711090,6.32E-06
9711124,0.0003959
9404092,0.004122743
9811004,0.003192933
9604043,9.06E-05
9810244,0.004701681
9811131,0.012075718
9806059,0.000625721
9412074,0.000336837
9806177,0.008315894
1206,0.013586571
9410184,1.62E-06
9707198,2.79E-05
9911068,0.012562552
9811258,0.00050584
2205,0.000578354
2222,0.016108813
9712011,2.18E-05
7075,0.00500577
9801175,0.000163155
11197,0.002923931
104147,0.004467766
9409072,0
107217,4.42E-06
109069,0.000976593
111154,0.00549699
112006,0
203111,0.000388883
206012,2.95E-07
303087,0
9409124,6.43E-07
9512149,0
9612075,0
9311042,2.79E-05
9602114,0.010598723
9905036,0.000203506
9507012,0.001713424
9801022,3.42E-05
9808192,0.000194149
2004,0.000442683
11059,0.00055964
11101,0.000701743
12041,0.00363737
109164,0
9401139,0.009971365
9611137,0.009699673
9712028,0.010138789
9908144,0.003403456
9410167,0.003713392
9502057,0.000777766
9504006,0.004549637
9504034,0.000583617
9506126,0.006037684
9504081,0.005315706
9507090,0.004368353
9508056,3.23E-06
9412209,0.008903136
9508143,0.010475567
9508154,0.005953357
9509106,0.038244374
9406178,0.00043625
9709180,0.008155604
9907061,4.40E-05
9902012,0.003672457
9509171,0.003099367
9609112,0.008061161
9905078,5.51E-05
9510023,0.003420999
9607201,0.010474105
9707099,0.001070159
9603089,0.002777734
9603186,6.43E-05
9604013,0.007126438
9610024,0.012570155
9610062,1.98E-05
9712084,0.028043305
9505052,0.054045063
9802051,0.073712007
9802067,0.083920386
1021,0.000146781
9505186,0.001350856
9701178,1.35E-05
9704157,0.000456133
9503045,0.000947354
9408060,0.001385943
9504148,0.003485326
9507112,0.008755594
9610032,1.53E-05
9509095,0.002280666
9509123,0.016398165
9704137,0.000330989
9911080,0.002128622
9806030,0.00456718
9803088,0.000381865
9909215,0.017834634
9807161,0.000266663
9812037,0.0174723
9709062,0.00566073
9411028,0.013160496
9701019,0.009407982
9502038,0.0006842
9708086,0.003040888
9510079,0.001099398
9810224,0.000483618
9407198,3.76E-06
9803086,0.00972669
9405002,0.006638493
9802099,0.000947354
9412079,0.000154384
9512188,0.000725135
9510098,0.000959049
9805191,0.001146181
9411198,5.15E-05
9703206,0.000107016
9708089,0.006971996
9605023,2.77E-07
9612254,0
9707205,0.005298163
9807135,0.001409335
9703195,0.001023376
9612192,0.00407596
9703136,0.010643927
9909219,0.000119296
9610005,0.00202336
9611209,0.001111094
9411242,1.40E-05
9510092,0.019511625
9603015,7.95E-05
9509013,0.00278943
9404063,0.012744129
9804208,0.000853788
9604196,0.003730936
9706210,0.011118423
9404191,0.001058463
9404184,0.000216371
9910053,0.161189296
9812061,0.000105846
9602145,0.000953201
9609152,0.00254382
9807195,0.000394146
9703160,0.0006842
9707202,0.01151561
2070,0.000374263
9909061,0.023699104
9407099,0.004350809
9703009,0.002210492
9506205,0.000459057
9705058,0.0035555
9708153,2.99E-05
9811019,0.0006842
9904033,0.000198827
9902187,0.001812837
9706107,0.000637417
9812235,6.43E-06
9602084,0.00025906
9704178,0.000105846
9812072,0.00229821
9711153,9.24E-05
9606077,0.00948453
9509145,6.90E-05
9512124,0.000795309
9911205,0.000267832
2165,0.000216956
9712057,0.008924948
9406189,0.000760222
9903152,8.36E-06
9411195,0.000245025
9508159,8.77E-06
9507005,0.002877148
9604186,0.000296487
3177,3.42E-05
9510103,7.89E-05
9502119,5.91E-05
9708164,0.003578891
4078,0.000310521
9611107,0.002994105
9710179,0.006691007
9811006,0.000349117
4120,7.37E-05
4159,1.84E-05
9405120,6.55E-06
5113,0.000129238
9507063,0.000713439
9909227,4.38E-05
5227,3.16E-05
9602059,1.16E-05
6019,0.000288884
6228,0.000172512
7169,6.02E-05
9605074,0.003268955
9510190,7.72E-06
9009,0.001122789
9084,4.92E-05
9182,0.004251396
11032,0
12188,0.000128068
9608130,6.20E-06
101041,2.07E-06
9711199,1.12E-05
9909150,0.000526892
9804057,1.80E-05
9801181,4.34E-06
104089,0.000128653
104143,0.00306428
9506192,3.24E-05
9911203,4.34E-05
9606042,1.22E-06
109162,0.039857565
110055,0.007482398
9704110,0.001029224
110067,0.001385943
204189,0.003368368
9705167,3.71E-05
204089,0.013133245
9511178,1.13E-05
204145,0.000528647
204186,0.000894723
205134,0.002608146
207238,7.84E-06
207276,0
208026,0
208187,0.005420968
210012,0
210044,0.000695896
211056,0.000349702
211116,0
211147,0.00020643
212085,3.16E-07
9503038,5.80E-06
303173,0
304206,0.000203506
9504161,6.32E-06
9506213,6.84E-06
9508095,0
9603085,0
9605070,8.71E-05
9610159,0
9702132,0
9703064,0
9708142,0
9709124,0
9712196,0
9807057,0
9811093,0
9404151,0.000372509
9505162,0.002988257
9507050,0.011034448
9510142,6.73E-05
9707014,0.000877179
9408083,0.01452568
9504027,0.001871316
9507168,0.000537419
9512016,5.65E-05
9512196,0.00235084
9512219,0.004473614
9703157,0.000643265
9611184,0.001169572
7170,0.020922129
10281,0.000418122
106104,0.000106431
9407087,0.004561332
9408099,0.003192933
9501030,0.023339109
9503124,0.021439899
9505105,0.006613873
9506144,0.002233883
9510225,0.011379764
9511030,0.007344798
9607163,0.001894707
9607207,0.004169526
9608086,0.000690048
9609239,0.008553551
9702094,0.010199139
9811217,0.001806989
9412184,0.014744507
9411149,0.003900524
9503179,0.001380095
9411048,1.11E-05
9411057,3.89E-05
9503163,0.000619873
9505023,0.000631569
9505062,0.002362536
9506075,0.005444359
9506024,0.000226897
9506077,0.004274787
9505150,0.002286514
9510182,0.0189214
9512053,0.000918114
9602120,0.009274358
9603042,0.001327465
9602167,0.001374248
9509132,0.011813734
9608109,0.003537956
9610251,0.008567586
9505075,0.005596404
9603086,0.001824533
9603136,0.00595365
9603158,0.001245595
9612114,0.052988003
9609219,0.02134569
9507008,0.000263154
9509175,0.001064311
9509176,0.00060233
9512005,0.00133916
9512139,0.003356673
9603004,0.001953186
9606043,0.000117542
9608183,0.001374248
9609059,0.010053937
9505035,0.004637354
9509162,0.002070143
9510101,0.000877179
9703098,0.000999984
9701129,6.73E-05
9612085,0.00339176
9703110,0.011571808
9704170,0.001064311
9705174,0.000285376
9708118,0.010522116
9711201,0.010970297
9807096,0.000818701
9602154,0.000267247
9910216,0.000556716
9811089,0.027158172
9608174,3.92E-05
9601007,0.004918052
9602073,0.000549114
9506002,9.06E-05
9702106,0.00363737
9704197,0.011462336
9708036,0.03098975
