Id,eigenvector_centrality
1001,3.55E-07
5068,3.66E-06
7195,5.43E-05
11075,0.000136296
212114,0.000221137
9304045,5.43E-45
9406055,2.11E-41
9409110,2.64E-41
9509049,4.14E-42
9609167,9.89E-22
9404186,1.60E-43
9405086,1.03E-42
9511152,9.40E-27
9308122,1.63E-44
9506112,1.25E-26
9508155,2.11E-25
9601108,5.85E-23
9605222,7.11E-23
9412115,4.15E-40
9506091,9.40E-27
9506110,9.11E-27
9509009,2.66E-25
9412236,5.78E-43
9512017,2.20E-25
9601014,1.88E-23
9602102,3.30E-22
9412117,1.37E-39
9605154,2.62E-21
9603108,5.17E-22
9610162,7.82E-19
9403187,1.13E-42
9606049,1.38E-20
9310187,1.13E-42
9710046,1.41E-15
9912188,1.41E-07
9604057,2.10E-21
9608104,4.01E-21
9406008,1.28E-40
9602147,2.71E-40
9812068,2.02E-18
9807124,5.38E-09
9504114,2.71E-40
9504115,3.61E-40
9812253,9.99E-13
9705068,1.49E-17
9510218,9.40E-27
9511206,5.67E-43
9611053,1.05E-41
9611110,2.13E-18
3298,4.88E-07
9604096,1.25E-26
9607223,5.27E-21
102198,2.20E-05
108234,2.57E-05
109013,0.000225621
109155,4.76E-17
211121,0.000214774
212020,8.53E-11
9909032,4.05E-13
9507075,2.46E-39
9603059,1.68E-22
9609163,3.02E-39
9610119,9.24E-21
9701094,7.67E-18
9707022,7.22E-16
9309097,1.09E-44
9504090,1.91E-37
9510234,2.26E-25
9603150,1.74E-21
9702155,1.93E-19
9702198,3.86E-18
9711036,1.40E-16
9501111,4.25E-30
9406032,9.00E-41
9503208,5.69E-39
9508107,1.13E-29
9404060,2.93E-43
9608039,3.35E-23
9605200,2.71E-20
9710021,5.56E-17
9706110,8.47E-16
9807040,3.37E-16
1025,4.65E-07
9612181,2.82E-43
9407025,2.99E-43
9708065,3.75E-16
9704151,2.95E-17
9711090,1.01E-41
9711124,1.90E-16
9404092,5.65E-30
9811004,1.77E-06
