,S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
2,2,7195,0.006049321,0.430535338,0.058823354,5.43e-05,0.102299884,0.006049321,0.00625756,0.0,0.004975115,0.016554716,0.098045132,0.246153846,0.016554716,0.031450918
3,3,11075,0.004654898,0.452992774,0.028997348,0.000136296,0.062928203,0.004654898,0.004808138,0.013967367,0.003316757,0.000845298,0.094401568,0.132692308,0.000845298,0.006291814
6,6,9406055,0.003725088,0.006232691,0.03313985,2.11e-41,0.003717583,0.003725088,0.003700882,0.107217785,0.022388059,0.042197927,0.008154798,0.051923077,0.042197927,0.0
13,13,9308122,0.00032865,0.00126962,0.046395848,1.63e-44,0.000702313,0.00032865,0.000270194,0.0,0.044776118,0.033734464,0.000869845,0.009615385,0.033734464,0.0
14,14,9506112,0.01473667,0.035886471,0.078707372,1.25e-26,0.004124388,0.01473667,0.015392361,0.0,0.07379767,0.080523828,0.004566687,0.025,0.080523828,0.106936542
15,15,9508155,0.010570771,0.055492904,0.096105893,2.11e-25,0.017043878,0.010570771,0.010860134,0.011145303,0.07379767,0.127124642,0.005653993,0.101923077,0.127124642,0.050322443
16,16,9601108,0.005397577,0.067937332,0.062965856,5.85e-23,0.024780184,0.005397577,0.00532566,0.174683669,0.03233831,0.113750134,0.016744518,0.146153846,0.113750134,0.088065176
19,19,9506091,0.014250421,0.037414091,0.029825841,9.4e-27,0.01089454,0.014250421,0.01448062,0.000988253,0.008291872,0.013061817,0.029357271,0.107692308,0.013061817,0.044031882
20,20,9506110,0.010741704,0.034652984,0.055509365,9.11e-27,0.008523234,0.010741704,0.011085617,0.000329418,0.040630182,0.075447357,0.005001609,0.080769231,0.075447357,0.0
21,21,9509009,0.000374848,0.047720463,0.023197842,2.66e-25,0.007714766,0.000374848,0.000380318,0.000658836,0.014925366,0.021452068,0.001359133,0.046153846,0.021452068,0.025160516
24,24,9601014,0.01060656,0.060801717,0.038939357,1.88e-23,0.016804475,0.01060656,0.010451954,0.109345111,0.02072968,0.039347525,0.009350835,0.098076923,0.039347525,0.012579552
25,25,9602102,0.003643218,0.079306287,0.038110845,3.3e-22,0.022543148,0.003643218,0.003664776,0.327416925,0.015754565,0.016957944,0.006795665,0.1,0.016957944,0.195003129
27,27,9605154,0.001742663,0.082815133,0.037282352,2.6200000000000003e-21,0.023842928,0.001742663,0.001678937,0.0,0.017412944,0.026114412,0.007176222,0.105769231,0.026114412,0.069193809
28,28,9603108,0.002204644,0.074441789,0.029825841,5.17e-22,0.018132962,0.002204644,0.002064069,0.0,0.015754565,0.018642603,0.003968668,0.063461538,0.018642603,0.012579552
29,29,9610162,0.00516951,0.115460882,0.051366863,7.82e-19,0.053852732,0.00516951,0.005127076,0.046876939,0.019071302,0.013976486,0.024192566,0.169230769,0.013976486,0.018870113
31,31,9606049,0.002111078,0.088835637,0.038939357,1.38e-20,0.030904981,0.002111078,0.001997875,0.056300605,0.014925366,0.015214743,0.006143281,0.119230769,0.015214743,0.522107386
33,33,9710046,0.105674666,0.219041969,0.147472921,1.41e-15,0.176536599,0.105674666,0.104846056,0.306894872,0.029021553,0.027002465,0.131816324,0.553846154,0.027002465,0.182422166
34,34,9912188,0.000877179,0.284408761,0.024026334,1.41e-07,0.010876586,0.000877179,0.00091469,0.386173523,0.016583744,0.007618165,0.004131764,0.036538462,0.007618165,0.069193809
36,36,9608104,0.000947354,0.080734016,0.020712345,4.01e-21,0.019467832,0.000947354,0.00099292,0.71155569,0.003316757,0.004904128,0.019571514,0.086538462,0.004904128,0.012579552
40,40,9807124,0.01205718,0.263794393,0.073736378,5.38e-09,0.11755008,0.01205718,0.012512472,0.000658836,0.009950251,0.01016894,0.101220067,0.3,0.01016894,0.012579552
51,51,9607223,0.006380895,0.099475179,0.01905534,5.27e-21,0.019972044,0.006380895,0.006595995,0.403613589,0.00165873,0.002361247,0.018049285,0.080769231,0.002361247,0.22016505
52,52,102198,2.27e-05,0.462059589,0.017398335,2.2e-05,0.029500355,2.27e-05,2.64e-05,0.546413164,0.003316757,0.007149967,0.011579813,0.075,0.007149967,0.232746014
54,54,109013,0.000280113,0.553279746,0.029825841,0.000225621,0.100907634,0.000280113,0.000281628,0.000329418,0.000829365,0.001096792,0.089628837,0.138461539,0.001096792,0.088065176
55,55,109155,0.0,0.130745324,0.022369329,4.76e-17,0.055322116,0.0,0.0,0.747174309,0.0,3.17e-19,0.039034298,0.103846154,3.17e-19,0.006291814
56,56,211121,0.0,0.608331194,0.014084325,0.000214774,0.06649882,0.0,0.0,0.315670506,0.0,3.17e-19,0.10412698,0.071153846,3.17e-19,0.012579552
57,57,212020,6.96e-05,0.19798926,0.024026334,8.53e-11,0.047622775,6.96e-05,7.1e-05,0.059831708,0.000829365,0.000106186,0.067431478,0.107692308,0.000106186,0.056612846
58,58,9909032,5.56e-05,0.190963048,0.014912838,4.05e-13,0.05002572,5.56e-05,5.76e-05,0.402598184,0.000829365,0.002144683,0.029248541,0.069230769,0.002144683,0.088065176
65,65,9309097,0.000643265,0.000846596,0.056337857,1.09e-44,0.000468209,0.000643265,0.000698053,0.217447147,0.055555548,0.028687962,0.000706749,0.003846154,0.028687962,0.031450918
66,66,9504090,0.004204613,0.006576745,0.143330419,1.91e-37,0.001206928,0.004204613,0.004404953,0.005062054,0.140961847,0.199979447,0.003751207,0.017307692,0.199979447,0.358555334
67,67,9510234,0.003268955,0.047384822,0.043910351,2.26e-25,0.006494194,0.003268955,0.003279644,0.0,0.033996688,0.058126074,0.003207554,0.046153846,0.058126074,0.0
68,68,9603150,0.007836778,0.078675087,0.064622861,1.7400000000000003e-21,0.0192122,0.007836778,0.007811991,0.000658836,0.051409611,0.063341635,0.00347938,0.061538462,0.063341635,0.018870113
69,69,9702155,0.003584739,0.079572205,0.03645384,1.93e-19,0.008367451,0.003584739,0.003797165,0.0,0.024046438,0.015823428,0.006686934,0.059615385,0.015823428,0.012579552
70,70,9702198,0.003321586,0.1154749,0.041424854,3.86e-18,0.042171339,0.003321586,0.002804246,0.034282875,0.02072968,0.032205242,0.008263528,0.117307692,0.032205242,0.006291814
75,75,9508107,0.005298163,0.019413521,0.017398335,1.1300000000000001e-29,0.004480038,0.005298163,0.005614509,0.0,0.008291872,0.01635869,0.008644085,0.05,0.01635869,0.270488746
78,78,9605200,0.023047126,0.100698099,0.063794369,2.71e-20,0.035318092,0.023047126,0.023893137,0.0,0.041459361,0.081242891,0.006741299,0.121153846,0.081242891,0.044031882
80,80,9706110,0.056901626,0.169904428,0.099419882,8.47e-16,0.104821852,0.056901626,0.058059502,0.104354405,0.049751254,0.097137016,0.030118386,0.257692308,0.097137016,0.0
86,86,9704151,0.012563547,0.124418948,0.072907865,2.95e-17,0.018680815,0.012563547,0.013638082,0.000329418,0.057213926,0.089146431,0.007176222,0.075,0.089146431,0.069193809
90,90,9811004,0.003192933,0.308012005,0.038939357,1.77e-06,0.033079481,0.003192933,0.003291679,0.000329418,0.026533995,0.027229997,0.004457956,0.057692308,0.027229997,0.018870113
93,93,9811131,0.012075718,0.31140653,0.058823354,4.92e-06,0.018659172,0.012075718,0.01255237,0.342968482,0.036484246,0.04654297,0.021039378,0.111538462,0.04654297,0.069193809
96,96,9806177,0.008315894,0.310315275,0.034796855,8.11e-07,0.088180265,0.008315894,0.008337877,0.376648644,0.004975115,0.004142661,0.062931661,0.128846154,0.004142661,0.050322443
97,97,1206,0.013586571,0.433497433,0.077050367,0.000204932,0.026527102,0.013586571,0.014311161,0.0,0.066334998,0.026219062,0.004077399,0.051923077,0.026219062,0.100646139
