S.No,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank,Rank_prestige,Authorities-Score,score
0,1001,0.000307013,0.28001765,0.014912838,3.55E-07,0.015730263,0.000307013,0.000332779,0.114304208,0.003316757,0.001173638,0.005871454,0.051923077,0.001173638,0.113227103
1,5068,0.001192964,0.329212594,0.012427341,3.66E-06,0.018557701,0.001192964,0.001275751,0.016322652,0.004145936,0.001271441,0.015548481,0.05,0.001271441,0.176131763
2,7195,0.006049321,0.430535338,0.058823354,5.43E-05,0.102299884,0.006049321,0.00625756,0,0.004975115,0.016554716,0.098045132,0.246153846,0.016554716,0.031450918
3,11075,0.004654898,0.452992774,0.028997348,0.000136296,0.062928203,0.004654898,0.004808138,0.013967367,0.003316757,0.000845298,0.094401568,0.132692308,0.000845298,0.006291814
4,212114,9.42E-05,0.585014199,0.019883832,0.000221137,0.059378787,9.42E-05,0.000107115,0.067164275,0.000829365,0.00031297,0.037675165,0.094230769,0.00031297,0.119517506
5,9304045,0.000539173,0.000423298,0.005799321,5.43E-45,0.000234104,0.000539173,0.000548814,0.000658836,0.005804315,0.001243497,0.001087306,0.001923077,0.001243497,0.006291814
6,9406055,0.003725088,0.006232691,0.03313985,2.11E-41,0.003717583,0.003725088,0.003700882,0.107217785,0.022388059,0.042197927,0.008154798,0.051923077,0.042197927,0
7,9409110,0.005450207,0.005891498,0.013255833,2.64E-41,0.002902895,0.005450207,0.005668668,0,0.005804315,0.007977591,0.012177831,0.038461538,0.007977591,0.006291814
8,9509049,0.000484788,0.003808871,0.005799321,4.14E-42,0.001477199,0.000484788,0.000510301,0.002443182,0.002487558,0.000782425,0.004892879,0.019230769,0.000782425,0.006291814
9,9609167,0.003374216,0.074483717,0.026511831,9.89E-22,0.013722653,0.003374216,0.003466192,0.084293102,0.007462693,0.001061863,0.0282156,0.103846154,0.001061863,0.037741479
10,9404186,0.000555547,0.001763369,0.004970829,1.60E-43,0.000959833,0.000555547,0.000571681,0.257896526,0.002487558,0.000416362,0.00337065,0.015384615,0.000416362,0.075484212
11,9405086,0.001140333,0.00487933,0.011598828,1.03E-42,0.002739025,0.001140333,0.001167433,0,0.003316757,0.000978031,0.010873064,0.034615385,0.000978031,0.150969836
12,9511152,9.24E-06,0.031002623,0.007456326,9.40E-27,0.004004227,9.24E-06,1.08E-05,0.006330312,0.000829365,6.50E-06,0.008046067,0.036538462,6.50E-06,0.031450918
13,9308122,0.00032865,0.00126962,0.046395848,1.63E-44,0.000702313,0.00032865,0.000270194,0,0.044776118,0.033734464,0.000869845,0.009615385,0.033734464,0
14,9506112,0.01473667,0.035886471,0.078707372,1.25E-26,0.004124388,0.01473667,0.015392361,0,0.07379767,0.080523828,0.004566687,0.025,0.080523828,0.106936542
15,9508155,0.010570771,0.055492904,0.096105893,2.11E-25,0.017043878,0.010570771,0.010860134,0.011145303,0.07379767,0.127124642,0.005653993,0.101923077,0.127124642,0.050322443
16,9601108,0.005397577,0.067937332,0.062965856,5.85E-23,0.024780184,0.005397577,0.00532566,0.174683669,0.03233831,0.113750134,0.016744518,0.146153846,0.113750134,0.088065176
17,9605222,0.001812837,0.052968664,0.014084325,7.11E-23,0.004410057,0.001812837,0.001883538,0,0.007462693,0.004177591,0.002935727,0.046153846,0.004177591,0.056612846
18,9412115,0.000345609,0.01218838,0.011598828,4.15E-40,0.004314784,0.000345609,0.000335787,0,0.00165873,0.009380787,0.007230587,0.051923077,0.009380787,0
19,9506091,0.014250421,0.037414091,0.029825841,9.40E-27,0.01089454,0.014250421,0.01448062,0.000988253,0.008291872,0.013061817,0.029357271,0.107692308,0.013061817,0.044031882
20,9506110,0.010741704,0.034652984,0.055509365,9.11E-27,0.008523234,0.010741704,0.011085617,0.000329418,0.040630182,0.075447357,0.005001609,0.080769231,0.075447357,0
21,9509009,0.000374848,0.047720463,0.023197842,2.66E-25,0.007714766,0.000374848,0.000380318,0.000658836,0.014925366,0.021452068,0.001359133,0.046153846,0.021452068,0.025160516
22,9412236,0.00013684,0.002073718,0.023197842,5.78E-43,0.001030061,0.00013684,0.000134195,0,0.02072968,0.012453272,0.000489288,0.011538462,0.012453272,0.125808067
23,9512017,0.000266078,0.046836139,0.013255833,2.20E-25,0.005924105,0.000266078,0.000291256,0,0.005804315,0.011897052,0.003153188,0.028846154,0.011897052,0.119517506
24,9601014,0.01060656,0.060801717,0.038939357,1.88E-23,0.016804475,0.01060656,0.010451954,0.109345111,0.02072968,0.039347525,0.009350835,0.098076923,0.039347525,0.012579552
25,9602102,0.003643218,0.079306287,0.038110845,3.30E-22,0.022543148,0.003643218,0.003664776,0.327416925,0.015754565,0.016957944,0.006795665,0.1,0.016957944,0.195003129
26,9412117,0.002771887,0.006559718,0.01574133,1.37E-39,0.00295611,0.002771887,0.002918582,0.410561053,0.009121051,0.005665595,0.014298079,0.032692308,0.005665595,0.012579552
27,9605154,0.001742663,0.082815133,0.037282352,2.62E-21,0.023842928,0.001742663,0.001678937,0,0.017412944,0.026114412,0.007176222,0.105769231,0.026114412,0.069193809
28,9603108,0.002204644,0.074441789,0.029825841,5.17E-22,0.018132962,0.002204644,0.002064069,0,0.015754565,0.018642603,0.003968668,0.063461538,0.018642603,0.012579552
29,9610162,0.00516951,0.115460882,0.051366863,7.82E-19,0.053852732,0.00516951,0.005127076,0.046876939,0.019071302,0.013976486,0.024192566,0.169230769,0.013976486,0.018870113
30,9403187,0.000494144,0.002083482,0.018226827,1.13E-42,0.000889599,0.000494144,0.000510301,0,0.016583744,0.006028864,0.001794055,0.009615385,0.006028864,0.094355737
31,9606049,0.002111078,0.088835637,0.038939357,1.38E-20,0.030904981,0.002111078,0.001997875,0.056300605,0.014925366,0.015214743,0.006143281,0.119230769,0.015214743,0.522107386
32,9310187,0.000328065,0.002257108,0.009941823,1.13E-42,0.001123704,0.000328065,0.000342407,0.001756895,0.007462693,0.001704569,0.000434923,0.017307692,0.001704569,0
33,9710046,0.105674666,0.219041969,0.147472921,1.41E-15,0.176536599,0.105674666,0.104846056,0.306894872,0.029021553,0.027002465,0.131816324,0.553846154,0.027002465,0.182422166
34,9912188,0.000877179,0.284408761,0.024026334,1.41E-07,0.010876586,0.000877179,0.00091469,0.386173523,0.016583744,0.007618165,0.004131764,0.036538462,0.007618165,0.069193809
