,Rank,Id,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score,Page Rank
0,1,9912291,9905111,210157,9711200,304232,210157,9905111,9905111,202038,9711200,9408099,303115
1,2,9912290,9908142,303172,9802150,301250,303172,9908142,9908142,107140,9802150,9407087,204089
2,3,9912289,9803001,211178,9802109,212269,204089,9803001,9803001,9304154,9802109,9802150,303095
3,4,9912287,9906064,304241,9407087,303107,304232,9906064,10069,9511110,9407087,9510017,205187
4,5,9912283,10069,206038,9908142,303060,302150,10069,9906064,9309025,9908142,9603167,201210
5,6,9912282,9908105,302005,9610043,210224,301250,9908105,9908105,9910247,9610043,9503124,210157
6,7,9912281,9910053,212215,9905111,303223,110055,9910053,9909124,9909056,9503124,9602052,212281
7,8,9912280,9909124,210224,9503124,211220,303115,9909124,9910053,8198,9510017,9711200,302150
8,9,9912279,3136,302150,9510017,212118,211178,3136,3136,103222,9906064,9802109,301136
9,10,9912278,9912210,208165,9906064,302060,206038,9912210,9912210,9606070,9408099,9411057,211030
10,11,9912277,9509140,208187,9408099,211178,301217,9509140,9509140,203200,9905111,9508143,210070
11,12,9912276,9710046,303087,9711162,210153,209160,9710046,9710046,9407187,9711162,9505105,301196
12,13,9912275,9802067,303095,9510209,303115,201210,9802067,9802150,9609112,9510209,9510209,304241
13,14,9912274,9802150,211181,9510135,210102,206094,9802150,9802067,9402032,9510135,9703166,301213
14,15,9912273,7018,303223,9410167,212208,201253,7018,7018,9605143,9410167,9410167,303199
15,16,9912271,9802051,302127,9611050,302150,206062,9802051,9802051,9210103,9601029,9504090,303172
16,17,9912269,9903091,302060,9601029,211217,212269,9903091,9903091,208222,9611050,9507121,304143
17,18,9912266,9803131,303115,9803131,303172,212281,9803131,9803131,9604013,9803131,9611230,304232
18,19,9912265,208165,211042,210157,211188,205187,208165,208165,9906215,9602022,9501068,211178
19,20,9912264,111012,211195,9602022,209201,212253,111012,111012,9601037,9603142,9602022,304018
20,21,9912263,9706110,304045,9910053,210246,208014,9706110,9705181,202042,9711165,9510135,212092
21,22,9912262,9705181,301136,110055,211198,209067,9705181,9706110,103250,9611230,9411149,208202
22,23,9912261,9810201,207214,9603142,212231,108172,9810201,9810201,9710241,9409089,9510169,211263
23,24,9912259,9804058,303057,9412184,301217,303223,9804058,9811128,9510046,9411149,9512077,206038
24,25,9912258,9505052,206062,9711165,212343,301196,9505052,9505052,103176,9401139,9702014,207176
25,26,9912257,9906142,301196,9611230,301196,301136,9906142,9612114,9510226,9412184,9705199,304020
26,27,9912255,9811128,301217,9411149,301136,302060,9811128,9512066,103152,9703166,9402002,110055
27,28,9912254,9612114,212231,9602052,212166,211012,9612114,9906142,201023,9510169,9507158,303223
28,29,9912253,9512066,209004,9703166,208232,303107,9512066,9804058,9301085,9603167,9706082,204155
29,30,9912252,9712117,212277,9401139,301009,212231,9712117,9810188,9511160,9501068,9411048,204253
30,31,9912251,106048,212223,9409089,209263,303057,106048,108119,9712233,9204099,9711165,303170
31,32,9912249,108119,208079,204089,209047,210200,108119,9712117,9712160,9508143,9611137,212332
32,33,9912248,9810188,209160,9510169,303001,205266,9810188,106048,9611210,9512077,9505150,301009
33,34,9912247,12198,301171,9603167,205187,302005,12198,12198,9610087,9810188,9610043,203005
34,35,9912245,9708005,303193,9810188,304183,208187,9708005,201253,9506001,9504090,9910053,302005
35,36,9912243,201253,209145,9508143,304192,207214,201253,9708005,9505093,9602052,9511030,211181
36,37,9912242,9911222,204089,9512077,303017,212118,9911222,9904207,9605175,9602043,9505162,211053
37,38,9912241,9904207,210229,9501068,209011,209122,9904207,9911222,9511084,9612115,9905111,212107
38,39,9912240,9803171,210262,9904207,211073,210153,9803171,9803015,103145,9505105,9603003,212253
39,40,9912239,12179,211031,9710046,302005,211220,12179,9710231,9807063,9703030,9412184,206172
40,41,9912238,9901128,303013,202021,301049,210102,9901128,12179,4092,9802183,9605150,111258
41,42,9912237,9803015,301187,9204099,208178,9905111,9803015,9901128,102178,9602070,9604034,109212
42,43,9912236,9710231,212253,9505105,212274,212095,9710231,102076,9611194,9507121,9507012,212306
43,44,9912235,9712253,303170,9602043,304139,209201,9712253,9806099,9708016,9904207,9505075,208079
44,45,9912234,102076,212278,9504090,209160,210262,102076,9712253,9409200,9512062,9601038,210278
45,46,9912232,9806099,211182,9612115,209155,209145,9806099,9803171,9611074,9511030,9511222,210305
46,47,9912230,110108,211011,9511030,209002,207127,110108,9510209,2022,9601038,9906064,208110
47,48,9912228,9807097,303173,9507121,301035,208079,9807097,9803214,9610201,9912072,9508155,301217
48,49,9912227,9702163,303050,9802183,212111,212111,9702163,9807097,9501010,9803002,9605199,302060
49,50,9912226,9803214,210088,9602070,201210,204054,9803214,110108,9309049,9910053,7191,302174
50,51,9912225,9805015,210292,9512062,303193,301049,9805015,9805015,203054,9512059,9908142,304181
51,52,9912224,9510209,212066,9703030,303057,112152,9510209,9702163,6006,202021,9704044,212119
52,53,9912223,109162,208014,9601038,212253,301071,109162,9509106,9505073,9411048,9301042,111273
53,54,9912222,1033,209067,9912072,304072,112045,1033,1033,9802023,9301042,9505062,301161
54,55,9912221,12210,210035,9512059,304045,211091,12210,9706007,206181,9805114,9504102,208216
55,56,9912218,9706007,302027,3136,302104,205134,9706007,109162,203218,9507158,9605033,112193
56,57,9912217,9908160,209043,106048,211012,303199,9908160,12210,9504141,9611042,9611050,209169
57,58,9912216,9509106,212248,9803002,304224,304072,9509106,9611190,9205096,9402044,9601108,108172
58,59,9912214,202021,210046,9507158,303199,112226,202021,9705088,9803174,9802042,3136,210167
59,60,9912213,9611190,303157,206038,209122,205100,9611190,202021,9910263,9402002,9606165,302158
60,61,9912212,9705088,207104,9611042,209255,303001,9705088,9605046,8129,9704080,9602114,201253
61,62,9912211,9605046,212210,9411048,209222,208178,9605046,9902122,9708023,9511222,9401139,303087
62,63,9912210,9902122,301035,9805114,304241,205089,9902122,9609017,109158,9603161,9804026,212066
63,64,9912209,9609017,304192,9804058,206167,212066,9609017,106191,8042,9411057,9603161,303185
64,65,9912208,9909101,301049,9402002,208231,210224,9909101,9803194,9902128,9805170,208020,8222
65,66,9912207,203124,206094,9802042,302148,205131,203124,9612102,9207009,9408074,9803131,303151
66,67,9912206,9803194,212332,9511222,212297,212010,9803194,9802088,9602034,9812219,9607163,212179
67,68,9912205,9612102,302222,9904017,210262,211182,9612102,9909101,9709007,9710009,9509175,304195
68,69,9912204,106191,211090,9301042,202193,102085,106191,9908160,8112,9708147,9402032,209157
69,70,9912203,9802088,212111,9603161,212215,203227,9802088,9811036,12101,9402032,9704043,302181
70,71,9912202,9811036,211122,9812219,209145,208165,9811036,9808139,208158,9804058,9711162,302127
71,72,9912201,9808139,211030,108172,210094,209222,9808139,203124,5189,9904017,9807080,304271
72,73,9912200,6219,205134,9604034,209215,208142,6219,6219,9711075,9807080,9706110,208059
73,74,9912199,9602052,304181,102085,301071,210088,9602052,9902098,9809132,9905012,9510225,301171
74,75,9912198,9806146,212281,9807080,112226,204203,9806146,9806146,9810133,9802068,9603087,112049
75,76,9912197,9604034,209054,3160,208209,211130,9604034,9806159,9506023,9602114,9603136,207201
76,77,9912196,9902098,208010,9704080,203191,211271,9902098,9604034,3233,9510101,9604166,304076
77,78,9912194,108172,304018,9402044,211285,212112,108172,9604052,9411038,9903205,9603142,209057
78,79,9912193,9902079,302006,9802067,209203,212079,9902079,9602052,9206101,9207016,9402044,202077
79,80,9912191,9806159,210200,9607201,212150,303095,9806159,204004,9207116,9304154,8001,207212
80,81,9912188,9604052,304232,9411057,210122,209255,9604052,108172,106090,9805019,9512059,212198
81,82,9912187,9905104,209122,9802051,212095,206167,9905104,9803039,9704205,9808141,9804092,201145
82,83,9912184,204004,205187,9804085,302127,208010,204004,9905104,208021,9702187,9601007,210200
83,84,9912183,9803039,212079,9805019,209244,210035,9803039,9902079,9711113,9806087,9510161,212219
84,85,9912181,9803067,211206,9602114,212212,203108,9803067,9812218,9709039,9504081,9607202,302006
85,86,9912180,9708036,204054,9408074,208079,212212,9708036,9903120,109155,9910219,9704151,207243
86,87,9912179,9809172,301071,9611137,206094,304018,9809172,9803067,9909022,9607201,9503163,9905111
87,88,9912177,9903120,212112,7018,303055,203157,9903120,9708036,201119,106048,9705232,205131
88,89,9912176,3160,210072,201253,212248,111238,3160,9904017,9611203,9604034,202021,208014
89,90,9912175,9812218,209228,9708147,211011,202193,9812218,211074,9312115,9804085,9802183,303236
90,91,9912174,9904017,303269,9710009,304271,208232,9904017,9506159,9401014,9604035,9704198,302008
91,92,9912172,9506159,205266,9805170,211201,209047,9506159,9812216,9602067,9803015,9606169,201175
92,93,9912171,211074,205089,9702187,204083,304045,211074,3160,6087,9912249,9505035,212244
93,94,9912170,9811002,301009,7191,203268,103112,9811002,9905210,9211081,9505035,9609239,304224
94,95,9912169,9905210,209218,9602064,211032,207091,9905210,9709089,9702021,9605150,9504081,111236
95,96,9912168,9806194,208142,9706110,302027,302027,9806194,9806194,9803024,9511043,9509176,206181
96,97,9912166,9706091,210313,9504081,302008,203160,9706091,9711107,9610123,9911116,9605184,304208
97,98,9912165,9709089,212244,9402032,210313,212215,9709089,9706204,202012,9509161,9803015,211105
98,99,9912164,9808124,206167,9709220,304138,108205,9808124,9811002,9503012,3160,9605200,203048
99,100,9912162,9711107,207107,9802068,301187,201145,9711107,9712186,106185,9505162,9609145,207097
100,101,9912161,9812216,212009,9806194,209197,209150,9812216,9706091,9505162,9709220,9611042,9506171
101,102,9912159,1201,212184,9803235,210292,212274,1201,9712084,9811220,9803235,9506112,212298
102,103,9912158,9706204,301250,9905012,206062,209228,9706204,9602172,9403188,9701125,9805114,304121
103,104,9912157,202135,210094,9505162,112152,204138,202135,9808124,9402136,9505075,9607019,212231
104,105,9912156,9712084,212017,9508155,212281,9156,9712084,9811089,9811121,9803001,9601029,101036
105,106,9912155,9905081,204174,9510101,208010,102080,9905081,202135,9810113,9705221,9606017,303050
106,107,9912154,9712186,302186,9903205,212184,203048,9712186,1201,9310177,9706109,9706127,204127
107,108,9912153,9602172,207009,9808141,301094,210217,9602172,9905081,211066,112044,9510101,302026
