Id,betweenness_centrality
9306112,0
9306114,0
9306115,0
9306116,0
9306117,0
9306118,0
9306119,2.85E-05
9306120,0
9306122,0.000406708
9306123,9.53E-07
9306125,0
9306129,0
9306130,1.19E-06
9306131,0
9306132,0
9306134,0.000360953
9306135,0.00026436
9306136,0
9306137,0
9306139,0
9306140,5.72E-05
9306141,4.07E-05
9306142,0
9306144,0
9306145,0
9306146,8.13E-05
9306147,0.004905909
9306148,0
9306149,0
9306150,0
9306152,0
9306153,0.032787235
9306154,0.000102185
9306155,0
9306156,0.000214284
9306157,0
9306161,0
9306162,0.006939447
9306163,0.000123537
9306164,0
9307001,0
9307002,0.001080317
9307003,0
9307005,0
9307007,0
9307008,1.43E-06
9307009,0
9307010,0
9307011,0
9307012,0
9307013,0
9307015,5.39E-05
9307016,0
9307017,1.56E-05
9307018,0
9307022,7.83E-06
9307023,0
9307024,2.59E-06
9307025,4.78E-07
9307027,0.002158092
9307029,0
9307030,0
9307031,0.000910008
9307032,0
9307033,0
9307034,0.001298922
9307035,0.000213267
9307036,0
9307037,0.000152515
9307038,0
9307039,5.01E-06
9307040,0
9307042,0.000747325
9307043,0.000348243
9307045,0
9307046,0.000419417
9307047,0
9307048,0
9307049,0.005033006
9307050,6.25E-05
9307052,9.38E-06
9307053,0
9307054,0.000775286
9307055,0
9307056,8.59E-05
9307057,0
9307059,0.000345701
9307060,0
9307061,0
9307063,0.006329386
9307064,0
9307065,0.001990325
9307066,0
9307067,0
9307068,0
9307069,0
9307071,4.02E-05
9307072,0
9307073,0.000536346
9307074,2.77E-05
9307075,0
9307076,9.53E-07
9307079,0.00015582
9307080,5.39E-05
9307083,0
9307085,0
9307086,0
9307087,1.74E-06
9307089,0
9307091,1.96E-05
9307092,8.49E-05
9307093,0
9307095,0
9307097,0
9307099,0
9307101,7.14E-06
9307102,0
9307103,0
9307104,0
9307106,0.000289779
9307107,0.000950679
9307108,0.000937969
9307109,0.000963388
9307110,0
9307111,0
9307112,0
9307113,0
9307115,0.003177403
9307116,0.001344677
9307117,0
9307118,0
9307119,0
9307120,0
9307121,0
9307123,0.000945595
9307124,0
9307125,0
9307126,0.003812883
9307128,0
9307129,0
9307130,0
9307131,0
9307132,0
9307136,9.53E-07
9307137,0
9307139,9.53E-07
9307140,7.60E-05
9307143,3.23E-06
9307145,0.004067075
9307146,0
9307147,0.003431595
9307148,4.78E-07
9307150,0
9307151,0.002821533
9307154,0.000419417
9307155,0
9307156,0
9307157,6.96E-05
9307158,0.002999468
9307159,0.000622771
9307160,8.77E-06
9307161,0
9307163,0.008007054
9307165,0
9307166,0
9307168,0
9307169,3.00E-05
9307170,0.000155566
9307171,0.003355337
9307172,1.22E-06
9307173,5.16E-07
9307174,0
9307175,0.000211488
