Id,eigenvector_centrality
9306112,5.14E-39
9306114,2.57E-39
9306115,0
9306116,0
9306117,0
9306118,0
9306119,2.57E-39
9306120,0
9306122,1.02E-38
9306123,6.17E-38
9306125,7.67E-39
9306129,0
9306130,2.57E-39
9306131,0
9306132,0
9306134,2.57E-39
9306135,2.57E-39
9306136,2.57E-39
9306137,0
9306139,0
9306140,5.14E-39
9306141,4.78E-35
9306142,0
9306144,0
9306145,0
9306146,1.02E-38
9306147,7.43E-38
9306148,0
9306149,0
9306150,0
9306152,0
9306153,4.58E-34
9306154,2.57E-39
9306155,0
9306156,3.75E-18
9306157,0
9306161,0
9306162,9.61E-37
9306163,6.66E-38
9306164,0
9307001,0
9307002,6.66E-38
9307003,0
9307005,5.14E-39
9307007,3.07E-26
9307008,3.07E-26
9307009,0
9307010,0
9307011,0
9307012,0
9307013,0
9307015,9.69E-21
9307016,5.14E-39
9307017,5.14E-39
9307018,0
9307022,2.57E-39
9307023,0
9307024,5.14E-39
9307025,4.62E-26
9307027,2.57E-39
9307029,2.57E-39
9307030,0
9307031,9.69E-21
9307032,0
9307033,0
9307034,6.41E-38
9307035,5.14E-39
9307036,0
9307037,4.58E-34
9307038,0
9307039,2.51E-37
9307040,0
9307042,2.57E-39
9307043,5.14E-39
9307045,0
9307046,1.01E-36
9307047,0
9307048,0
9307049,1.82E-37
9307050,6.41E-38
9307052,4.99E-37
9307053,6.90E-38
9307054,1.02E-36
9307055,0
9307056,3.68E-35
9307057,0
9307059,3.01E-36
9307060,2.57E-39
9307061,0
9307063,6.90E-38
9307064,1.31E-37
9307065,7.19E-38
9307066,0
9307067,0
9307068,0
9307069,0
9307071,2.57E-39
9307072,2.57E-39
9307073,3.55E-33
9307074,1.41E-37
9307075,0
9307076,5.14E-39
9307079,3.02E-36
9307080,2.57E-39
9307083,0
9307085,0
9307086,7.69E-27
9307087,5.14E-39
9307089,2.57E-39
9307091,1.08E-36
9307092,7.67E-39
9307093,0
9307095,0
9307097,0
9307099,0
9307101,7.67E-39
9307102,0
9307103,2.57E-39
9307104,2.57E-39
9307106,5.14E-39
9307107,7.67E-39
9307108,2.57E-39
9307109,2.57E-39
9307110,0
9307111,0
9307112,0
9307113,0
9307115,1.01E-36
9307116,7.19E-38
9307117,0
9307118,0
9307119,0
9307120,0
9307121,0
9307123,4.99E-35
9307124,5.14E-39
9307125,2.57E-39
9307126,1.37E-36
9307128,2.57E-39
9307129,5.14E-39
9307130,5.14E-39
9307131,2.57E-39
9307132,0
9307136,2.57E-39
9307137,0
9307139,5.14E-39
9307140,1.54E-38
9307143,3.34E-36
9307145,3.08E-37
9307146,0
9307147,1.37E-36
9307148,6.17E-38
9307150,2.57E-39
9307151,7.67E-39
9307154,2.49E-37
9307155,0
9307156,2.57E-39
9307157,3.69E-37
9307158,1.13E-36
9307159,5.14E-39
9307160,1.25E-37
9307161,0
9307163,2.07E-24
9307165,0
9307166,0
9307168,0
9307169,5.14E-39
9307170,6.41E-38
9307171,7.19E-38
9307172,5.14E-39
9307173,7.43E-38
9307174,0
9307175,2.46E-37
9307176,3.99E-33
9307177,2.45E-34
9307178,0
9307179,2.57E-39
9307180,1.39E-35
9307181,1.02E-38
9307182,0
9307183,0
9307184,0
9307185,4.78E-35
9307186,2.57E-39
9307188,0
9307189,0
9307190,1.57E-20
9307193,0
9307194,4.78E-34
9307195,2.51E-37
9307196,2.57E-39
9307197,5.14E-39
9509113,1.95E-36
9509119,1.93E-35
9509122,2.57E-39
9509123,3.63E-26
9509128,2.57E-39
9509131,0
9509134,1.92E-36
9509136,4.82E-21
9509138,2.41E-37
9509144,0
9509150,0
9509154,1.21E-37
9509157,0
9509158,6.17E-38
9701001,2.57E-39
9701002,2.11E-33
9701003,5.14E-39
9701004,1.23E-37
9701005,2.57E-39
9701006,3.38E-22
9701007,1.49E-31
9701008,0
9701009,4.37E-21
9701010,2.06E-32
9701011,3.45E-19
9701012,2.14E-36
9701013,2.85E-34
9701014,0
9701015,1.21E-34
9701016,8.71E-34
9701017,2.01E-22
9509161,0
9701019,0
9701020,3.71E-21
9701018,0
9701021,2.57E-39
9701023,0
9701024,8.83E-20
9701025,0
9701022,2.57E-39
9701027,5.14E-39
9701028,0
9701029,1.27E-35
9701026,0
9701032,5.40E-34
9701033,0
9701034,7.32E-34
9701035,2.05E-38
9701036,5.14E-39
9701037,5.03E-20
9701039,0
9701040,0
9701041,0
9701042,0
9701043,8.63E-21
9701044,0
9701045,7.32E-21
9701047,4.13E-34
9701048,3.34E-19
9701049,0
9701050,3.77E-35
9701051,0
9701052,6.91E-21
9701053,3.32E-18
9701054,1.23E-18
9701055,7.11E-19
9701056,3.08E-37
9701057,5.56E-19
9701058,7.67E-39
9701059,2.77E-25
9701060,1.33E-37
9701061,0
9701062,3.66E-20
9509170,4.17E-21
9509169,5.14E-39
9701065,0
9701066,6.41E-38
9701067,2.07E-36
9701064,1.30E-36
9701069,0
9701063,0
9701071,7.44E-34
9701072,6.66E-38
9701073,7.36E-32
9701074,6.66E-38
9701075,0
9701076,1.66E-35
9701077,2.83E-18
9701078,7.56E-28
9701079,6.17E-38
9701080,7.56E-22
9701081,2.32E-33
9701082,0
9701083,1.18E-36
9701084,2.40E-33
9701085,0
9701087,2.57E-39
9701088,1.93E-18
9701090,2.57E-39
9701091,0
9701092,2.26E-19
9701093,0
9701094,5.52E-21
9701095,3.32E-19
9701096,7.67E-39
9701097,1.40E-21
9701099,2.58E-21
9701100,1.39E-34
9701101,1.40E-21
9701102,1.08E-33
9701103,9.03E-34
9701104,1.87E-37
9701105,3.53E-33
9701106,1.10E-20
9701107,0
9701108,1.01E-36
9701109,6.01E-21
9701111,2.57E-39
9701112,0
9701113,5.03E-30
9701114,1.23E-37
9701115,3.01E-18
9701116,3.67E-19
9701117,1.17E-18
9701118,1.01E-32
9701119,5.14E-39
9701120,1.12E-24
9701121,5.80E-21
9701122,6.41E-38
9701123,0
9701124,3.96E-36
9701125,0
9701126,1.52E-21
9701127,0
9701128,1.82E-19
9701129,3.32E-19
9701130,0
9701131,8.05E-21
9701132,4.17E-21
9701133,1.13E-36
9701134,0
9701135,2.57E-39
9701136,0
9701137,0
9701138,8.22E-21
9701139,1.01E-30
9701140,4.99E-21
9701141,3.20E-28
9701142,1.01E-19
9701143,5.15E-21
9701144,2.84E-18
9701145,1.72E-21
9701146,0
9701147,4.17E-33
9701148,5.23E-21
9701149,0
9701150,1.28E-38
9701151,2.64E-21
9701152,0
9701153,1.89E-20
9701154,3.20E-19
9701155,1.05E-27
9701156,0
9701157,2.27E-32
9701158,8.83E-20
9701160,1.79E-37
9701161,9.61E-26
9701162,0
9701163,2.22E-18
9701165,0
9701166,0
9701168,3.09E-21
9701169,3.13E-24
9701170,8.30E-19
9701171,7.40E-34
9701172,0
9701173,3.17E-32
9701174,1.01E-36
9701175,6.91E-21
9701176,4.86E-32
9701177,9.12E-19
9701178,0
9701179,2.88E-33
9701180,0
9701181,2.57E-39
9701182,0
9701183,1.36E-35
9701185,4.62E-19
9701186,1.30E-19
9701187,5.64E-18
9701188,2.64E-21
9701190,0
9701191,6.01E-21
9701192,2.57E-39
9308001,3.20E-36
9308002,0
9308003,2.57E-39
9308005,0
9308006,0
9308008,2.57E-39
9308009,0
9308012,0
9308013,2.57E-39
9308014,0
9308016,2.57E-39
9308017,1.83E-36
9308018,5.07E-34
9308019,7.67E-39
9308020,2.54E-37
9308021,1.07E-36
9308022,6.90E-38
9308023,0
9308025,0
9308027,2.57E-39
9308028,0
9308029,0
9308030,2.57E-39
9308031,6.17E-38
9308034,7.67E-39
9308035,0
9308036,4.78E-35
9308037,1.02E-38
9308038,1.85E-37
9308039,1.28E-37
9308040,6.41E-38
9308041,5.14E-39
9308042,1.29E-35
9308043,2.57E-39
9308044,0
9308045,0
9308046,0
9308047,1.25E-37
9308048,0
9308049,2.57E-39
9308051,2.46E-37
9308052,3.86E-35
9308053,2.57E-39
9308054,0
9308057,7.67E-39
9308058,2.57E-39
9308060,6.66E-38
9308062,1.47E-33
9308063,0
9308066,6.90E-38
9308067,0
9308068,0
9308070,0
9308072,5.14E-39
9308073,0
9308074,0
9308075,0
9308076,2.57E-39
9308077,1.18E-34
9308078,0
9308080,4.17E-33
9308081,2.57E-39
9308083,0
9308085,0
9308086,1.37E-36
9308087,2.57E-39
9308090,0
9308091,0
9308094,0
9308095,2.14E-36
9308096,0
9308099,6.41E-38
9308100,0
9308101,2.57E-39
9308102,5.14E-39
9308103,0
9308106,1.02E-38
9308107,2.57E-39
9308108,1.30E-36
9308109,0
9308110,0
9308112,7.67E-39
9308113,6.66E-38
9308114,2.71E-34
9308115,5.14E-39
9308116,0
9308117,0
9308119,6.90E-38
9308122,0
9308124,0
