Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality,Page-Rank,Percolation-Centrality,Rank-Prestige,scores
9306112,1.63E-05,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.000991317,0,0.007905138,0
9306114,1.18E-05,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000519262,0,0.005928854,0
9306115,1.12E-18,0,0,0,0.000774503,0,0,4.04E-07,0,0,0,0,0,0
9306116,1.12E-18,0,0,0,0.000774503,0,0,6.43E-07,0,0,0,0,0,0
9306117,1.12E-18,0,0,0.012403195,0.013168092,0,0,7.71E-06,0,0,0,0,0,0.010419333
9306118,1.12E-18,0,0,0.001550475,0.002323778,0,0,2.37E-07,0,0,0,0,0,0
9306119,4.53E-05,2.85E-05,0.000444485,0.003876054,0.003872963,2.57E-39,0.00036622,5.11E-06,0.000170006,2.70E-05,0.000566467,2.85E-05,0.003952569,0
9306120,1.12E-18,0,0,0.002325668,0.00309837,0,0,6.27E-07,0,0,0,0,0,0
9306122,0.00151413,0.000406708,0.001778145,0.007752019,0.005422148,1.02E-38,0.001464881,0.000944175,0.000680024,0.000396901,0.000566467,0.000406708,0.02173913,0
9306123,1.31E-06,9.53E-07,0.000592304,0.000775103,0.000774503,6.17E-38,0.00054933,7.87E-07,0.000187007,9.54E-07,0.003351597,9.53E-07,0.001976285,0
9306125,0.003931052,0,0.001333609,0.002325668,0.000774503,7.67E-39,0.00109866,1.19E-05,0.000510018,0,0.00042485,0,0.005928854,0.010419333
9306129,1.12E-18,0,0,0,0.000774503,0,0,2.09E-06,0,0,0,0,0,0
9306130,1.02E-07,1.19E-06,0.000444485,0.002325668,0.002323778,2.57E-39,0.00036622,2.40E-05,0.000170006,1.19E-06,0.001274551,1.19E-06,0.001976285,0
9306131,1.12E-18,0,0,0.001550475,0.002323778,0,0,3.15E-08,0,0,0,0,0,0
9306132,1.12E-18,0,0,0.012403195,0.013168092,0,0,5.11E-05,0,0,0,0,0,0
9306134,1.30E-07,0.000360953,0.000444485,0.002325668,0.002323778,2.57E-39,0.00036622,3.60E-07,0.000170006,0.00018293,0.001274551,0.000360953,0.005928854,0
9306135,5.08E-09,0.00026436,0.000444485,0.001550475,0.001549006,2.57E-39,0.00036622,2.14E-06,0.000170006,0.000272233,0.003162775,0.00026436,0.001976285,0.010419333
9306136,1.23E-07,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000519262,0,0.005928854,0
9306137,1.12E-18,0,0,0,0.000774503,0,0,1.00E-06,0,0,0,0,0,0.010419333
9306139,1.12E-18,0,0,0,0.000774503,0,0,3.59E-05,0,0,0,0,0,0
9306140,1.33E-18,5.72E-05,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,1.25E-05,0.000340012,5.72E-05,0.01274551,5.72E-05,0.009881423,0.010419333
9306141,0.000211836,4.07E-05,0.004355172,0.00542644,0.00309837,4.78E-35,0.004211532,3.18E-05,0.000733238,2.90E-05,0.001935429,4.07E-05,0.02173913,0.010419333
9306142,1.12E-18,0,0,0,0.000774503,0,0,1.10E-07,0,0,0,0,0,0
9306144,1.12E-18,0,0,0,0.000774503,0,0,4.48E-21,0,0,0,0,0,0.052103912
9306145,1.12E-18,0,0,0.014728774,0.01549187,0,0,0.00033644,0,0,0,0,0,0
9306146,0.000103075,8.13E-05,0.001778145,0.012403195,0.010069722,1.02E-38,0.001464881,6.89E-06,0.000680024,7.73E-05,0.001132934,8.13E-05,0.013833992,0
9306147,0.000155678,0.004905909,0.002722783,0.018604739,0.014717277,7.43E-38,0.002380431,0.000108848,0.001037037,0.004884931,0.008591418,0.004905909,0.023715415,0
9306148,1.12E-18,0,0,0.001550475,0.002323778,0,0,9.19E-06,0,0,0,0,0,0
9306149,1.12E-18,0,0,0,0.000774503,0,0,4.32E-21,0,0,0,0,0,0
9306150,1.12E-18,0,0,0.004651247,0.005422148,0,0,0.000874083,0,0,0,0,0,0.010419333
9306152,1.12E-18,0,0,0,0.000774503,0,0,4.26E-21,0,0,0,0,0,0
9306153,0.003312605,0.032787235,0.009673644,0.073643495,0.060418277,4.58E-34,0.011139196,0.006971226,0.003424151,0.033015262,0.023933236,0.032787235,0.063241107,0.010419333
9306154,6.21E-06,0.000102185,0.000444485,0.006201633,0.006196741,2.57E-39,0.00036622,1.98E-06,0.000170006,0.000108384,0.000377645,0.000102185,0.005928854,0
9306155,1.12E-18,0,0,0.000775103,0.001549006,0,0,1.35E-08,0,0,0,0,0,0
9306156,1.28E-05,0.000214284,0.002586399,0.003876054,0.000774503,3.75E-18,0.002380431,3.56E-05,0.001079925,0.000225419,0.018221359,0.000214284,0.019762846,0
9306157,1.12E-18,0,0,0.00542644,0.006196741,0,0,3.88E-05,0,0,0,0,0,0
9306161,1.12E-18,0,0,0.011628002,0.0123935,0,0,0.000812238,0,0,0,0,0,0
9306162,0.00013222,0.006939447,0.00316115,0.013953581,0.009295111,9.61E-37,0.002746651,0.000117919,0.001208746,0.007022088,0.017513275,0.006939447,0.029644269,0.052103912
9306163,3.18E-05,0.000123537,0.001422516,0.008527212,0.006971333,6.66E-38,0.001281771,5.52E-05,0.000527019,0.000121106,0.002313074,0.000123537,0.013833992,0
9306164,1.12E-18,0,0,0.000775103,0.001549006,0,0,1.02E-05,0,0,0,0,0,0.010419333
9307001,1.12E-18,0,0,0.018604739,0.019364833,0,0,0.000216459,0,0,0,0,0,0
9307002,0.00081038,0.001080317,0.001333609,0.002325668,0.000774503,6.66E-38,0.00109866,0.000123279,0.000527019,0.001068579,0.003351597,0.001080317,0.009881423,0
9307003,1.12E-18,0,0,0.000775103,0.001549006,0,0,2.61E-05,0,0,0,0,0,0.010419333
9307005,5.10E-05,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.001132934,0,0.007905138,0.010419333
9307007,7.32E-07,0,0.001389174,0.001550475,0.000774503,3.07E-26,0.001281771,4.12E-09,0.000431024,0,0.070732862,0,0.009881423,0
9307008,1.78E-06,1.43E-06,0.002222681,0.003876054,0.000774503,3.07E-26,0.001831101,1.70E-09,0.000910135,1.43E-06,0.064545625,1.43E-06,0.019762846,0
9307009,1.12E-18,0,0,0,0.000774503,0,0,6.97E-06,0,0,0,0,0,0
9307010,1.12E-18,0,0,0.025581476,0.026336166,0,0,0.011175566,0,0,0,0,0,0.020842283
9307011,1.12E-18,0,0,0.003100861,0.003872963,0,0,7.92E-07,0,0,0,0,0,0
9307012,1.12E-18,0,0,0.000775103,0.001549006,0,0,5.61E-05,0,0,0,0,0,0
9307013,1.12E-18,0,0,0.006976826,0.007745926,0,0,6.76E-05,0,0,0,0,0,0
9307015,0.000379599,5.39E-05,0.004457712,0.007752019,0.00309837,9.69E-21,0.004455679,9.24E-07,0.001502067,5.39E-05,0.014444912,5.39E-05,0.0256917,0
9307016,0.000189089,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.007411278,0,0.011857708,0
9307017,0.000189799,1.56E-05,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,5.65E-08,0.000340012,1.55E-05,0.001274551,1.56E-05,0.011857708,0
9307018,1.12E-18,0,0,0.000775103,0.001549006,0,0,2.50E-21,0,0,0,0,0,0
9307022,2.03E-06,7.83E-06,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,2.64E-06,0.000170006,9.87E-06,0.000330439,7.83E-06,0.001976285,0
9307023,1.12E-18,0,0,0,0.000774503,0,0,2.33E-05,0,0,0,0,0,0
9307024,0.000193354,2.59E-06,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,3.59E-06,0.000340012,1.87E-06,0.000802495,2.59E-06,0.005928854,0
9307025,0.000414431,4.78E-07,0.001778145,0.003100861,0.000774503,4.62E-26,0.001464881,1.50E-06,0.000793364,4.78E-07,0.002077046,4.78E-07,0.019762846,0
9307027,2.50E-07,0.002158092,0.000444485,0.008527212,0.008520519,2.57E-39,0.00036622,4.29E-05,0.000170006,0.002165144,0.003162775,0.002158092,0.003952569,0
9307029,0.000349743,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,8.00E-06,0.000170006,0,0.000330439,0,0.001976285,0
9307030,1.12E-18,0,0,0.004651247,0.005422148,0,0,8.91E-05,0,0,0,0,0,0
9307031,0.000194775,0.000910008,0.00412561,0.003876054,0.001549006,9.69E-21,0.004150495,6.72E-07,0.000869132,0.00076327,0.005853494,0.000910008,0.017786561,0
9307032,1.12E-18,0,0,0,0.000774503,0,0,3.74E-09,0,0,0,0,0,0
9307033,1.12E-18,0,0,0.001550475,0.002323778,0,0,9.81E-06,0,0,0,0,0,0
9307034,4.02E-07,0.001298922,0.000999834,0.002325668,0.001549006,6.41E-38,0.00091555,9.69E-08,0.000357013,0.001233954,0.004484531,0.001298922,0.011857708,0
9307035,2.83E-05,0.000213267,0.00088897,0.010852809,0.010069722,5.14E-39,0.00073244,2.94E-05,0.000340012,0.000205829,0.000708084,0.000213267,0.009881423,0
9307036,1.12E-18,0,0,0.013178388,0.013942685,0,0,0.000931806,0,0,0,0,0,0
9307037,0.001734497,0.000152515,0.004950525,0.003876054,0.002323778,4.58E-34,0.00497449,4.66E-06,0.000719346,0.000151128,0.001227345,0.000152515,0.013833992,0.010419333
9307038,1.12E-18,0,0,0.012403195,0.013168092,0,0,0.000486518,0,0,0,0,0,0.020842283
9307039,0.000656834,5.01E-06,0.002845032,0.008527212,0.004647556,2.51E-37,0.002563541,6.51E-05,0.001088041,3.13E-06,0.002171457,5.01E-06,0.017786561,0
9307040,1.12E-18,0,0,0.006976826,0.007745926,0,0,4.33E-05,0,0,0,0,0,0
9307042,0.000140039,0.000747325,0.000444485,0.003876054,0.003872963,2.57E-39,0.00036622,0.000210275,0.000170006,0.000748005,0.000566467,0.000747325,0.003952569,0
9307043,6.52E-07,0.000348243,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,1.05E-06,0.000340012,0.000340927,0.002549102,0.000348243,0.007905138,0
9307045,1.12E-18,0,0,0.013953581,0.014717277,0,0,0.000437042,0,0,0,0,0,0
9307046,1.53E-05,0.000419417,0.001852239,0.008527212,0.006196741,1.01E-36,0.001647991,0.000229653,0.000715726,0.000374003,0.003304392,0.000419417,0.015810277,0
9307047,1.12E-18,0,0,0,0.000774503,0,0,5.69E-07,0,0,0,0,0,0
9307048,1.12E-18,0,0,0.006976826,0.007745926,0,0,2.41E-06,0,0,0,0,0,0
9307049,0.001457262,0.005033006,0.001389174,0.060465197,0.059643684,1.82E-37,0.001281771,0.041220566,0.000391012,0.005088469,0.000566467,0.005033006,0.005928854,0
9307050,0.000113027,6.25E-05,0.00088897,0.004651247,0.003872963,6.41E-38,0.00073244,0.000523625,0.000357013,6.16E-05,0.000991317,6.25E-05,0.009881423,0
9307052,0.001236895,9.38E-06,0.004840513,0.007752019,0.000774503,4.99E-37,0.004394642,9.57E-07,0.001836071,9.39E-06,0.00236028,9.38E-06,0.051383399,0
9307053,0.001194244,0,0.001852239,0.002325668,0,6.90E-38,0.001647991,4.45E-21,0.000697025,0,0.004106887,0,0.017786561,0
9307054,0.000526036,0.000775286,0.00355629,0.006201633,0.000774503,1.02E-36,0.002929761,5.81E-07,0.001395754,0.000778536,0.003870859,0.000775286,0.027667984,0
9307055,1.12E-18,0,0,0,0.000774503,0,0,3.31E-12,0,0,0,0,0,0
9307056,5.04E-05,8.59E-05,0.002778359,0.006976826,0.003872963,3.68E-35,0.002685614,2.75E-06,0.001017148,7.28E-05,0.002265869,8.59E-05,0.013833992,0.010419333
9307057,1.12E-18,0,0,0.000775103,0.001549006,0,0,5.40E-05,0,0,0,0,0,0
9307059,7.68E-05,0.000345701,0.001895128,0.006976826,0.006971333,3.01E-36,0.001709027,0.001385339,0.000277107,0.000396901,0.000236028,0.000345701,0.005928854,0
9307060,0.000102364,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000236028,0,0.003952569,0
9307061,1.12E-18,0,0,0,0.000774503,0,0,5.25E-21,0,0,0,0,0,0
9307063,0.000429359,0.006329386,0.001852239,0.007752019,0.005422148,6.90E-38,0.001647991,2.43E-05,0.000697025,0.006360587,0.001982635,0.006329386,0.015810277,0
9307064,1.63E-05,0,0.002286192,0.003100861,0,1.31E-37,0.002014211,4.45E-21,0.000884033,0,0.004720559,0,0.023715415,0
9307065,0.000312778,0.001990325,0.002222681,0.003876054,0.000774503,7.19E-38,0.001831101,2.41E-06,0.000867031,0.00191072,0.002501896,0.001990325,0.02173913,0
9307066,1.12E-18,0,0,0.003876054,0.004647556,0,0,0.00018966,0,0,0,0,0,0
9307067,1.12E-18,0,0,0,0.000774503,0,0,4.65E-21,0,0,0,0,0,0
9307068,1.12E-18,0,0,0,0.000774503,0,0,6.10E-05,0,0,0,0,0,0.010419333
9307069,1.12E-18,0,0,0,0.000774503,0,0,3.81E-21,0,0,0,0,0,0
9307071,1.66E-11,4.02E-05,0.000444485,0.003100861,0.00309837,2.57E-39,0.00036622,1.55E-06,0.000170006,4.02E-05,0.002124252,4.02E-05,0.005928854,0.010419333
9307072,0.000373912,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000141617,0,0.001976285,0
9307073,0.000853031,0.000536346,0.007337194,0.001550475,0.000774503,3.55E-33,0.00733661,5.07E-06,0.000682427,0.000541922,0.001038523,0.000536346,0.011857708,0.010419333
9307074,0.000995203,2.77E-05,0.004137611,0.008527212,0.002323778,1.41E-37,0.003662202,9.44E-07,0.00156406,2.77E-05,0.0202512,2.77E-05,0.037549407,0
9307075,1.12E-18,0,0,0.003100861,0.003872963,0,0,1.14E-06,0,0,0,0,0,0.010419333
9307076,6.08E-09,9.53E-07,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,2.49E-06,0.000340012,9.54E-07,0.00953553,9.53E-07,0.007905138,0
9307079,0.001066289,0.00015582,0.004000826,0.006201633,0.001549006,3.02E-36,0.003906348,9.11E-05,0.001297147,0.000172499,0.001368962,0.00015582,0.033596838,0
9307080,4.41E-05,5.39E-05,0.000444485,0.001550475,0.001549006,2.57E-39,0.00036622,0.000120393,0.000170006,5.44E-05,0.000188822,5.39E-05,0.005928854,0
9307083,1.12E-18,0,0,0,0.000774503,0,0,4.81E-21,0,0,0,0,0,0.010419333
9307085,1.12E-18,0,0,0.006976826,0.007745926,0,0,0.001117342,0,0,0,0,0,0
9307086,3.43E-08,0,0,0.001550475,0.001549006,7.69E-27,0,2.88E-07,0.000188896,0,0.005523055,0,0.003952569,0.010419333
9307087,0.000142172,1.74E-06,0.00088897,0.007752019,0.006971333,5.14E-39,0.00073244,4.78E-05,0.000340012,1.74E-06,0.000236028,1.74E-06,0.007905138,0
9307089,1.39E-05,0,0.000444485,0.000775103,0.000774503,2.57E-39,0.00036622,3.23E-08,0.000170006,0,0.000566467,0,0.005928854,0
9307091,4.76E-06,1.96E-05,0.003111754,0.006976826,0.002323778,1.08E-36,0.002563541,1.35E-06,0.001242745,1.91E-05,0.007033634,1.96E-05,0.035573123,0
9307092,0.000183402,8.49E-05,0.001333609,0.003876054,0.002323778,7.67E-39,0.00109866,4.70E-05,0.000510018,8.50E-05,0.010101997,8.49E-05,0.007905138,0
9307093,1.12E-18,0,0,0.000775103,0.001549006,0,0,3.03E-05,0,0,0,0,0,0
9307095,1.12E-18,0,0,0,0.000774503,0,0,4.63E-21,0,0,0,0,0,0.020842283
9307097,1.12E-18,0,0,0,0.000774503,0,0,6.18E-07,0,0,0,0,0,0
9307099,1.12E-18,0,0,0.003100861,0.003872963,0,0,6.97E-07,0,0,0,0,0,0
9307101,0.000125822,7.14E-06,0.001333609,0.002325668,0.000774503,7.67E-39,0.00109866,3.02E-08,0.000510018,7.15E-06,0.001368962,7.14E-06,0.009881423,0
