,Rank,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality
0,1,9711200,210157,9905111,304232,304232,210157,9711200,110055,9711200,9905111,303115,9905111,210157
1,2,9802150,303172,9803001,301250,301250,303172,9802150,210157,9802150,9803001,204089,9803001,204089
2,3,9802109,304241,10069,212269,212269,204089,9802109,3136,9802109,10069,304241,10069,110055
3,4,9610043,303095,1204,212118,302060,210292,9905111,9812196,9610043,1204,303095,1204,206038
4,5,9407087,210224,9906056,303107,212118,304018,9510017,203157,9407087,9906056,302150,9906056,206062
5,6,9908142,210292,3136,302060,303107,304241,9906064,205100,9908142,3136,301136,3136,303172
6,7,9906064,211178,9910053,211178,211178,303095,9610043,108172,9906064,9910053,205187,9910053,211178
7,8,9510017,302005,9711200,210224,210224,303087,9803131,210217,9510017,9711200,210157,9711200,209160
8,9,9503124,212215,9709220,211220,211220,211178,9503124,209067,9503124,9709220,301213,9709220,206094
9,10,9905111,208187,9806199,303060,303060,210224,9805114,9812037,9408099,9806199,211178,9806199,208014
10,11,9408099,208165,9908142,210153,210153,302005,9510209,9807195,9711162,9908142,211030,9908142,209145
11,12,9711162,303170,9710046,301009,301009,206038,9908142,7191,9410167,9710046,212092,9710046,108172
12,13,9410167,211042,9802067,211032,303223,212215,9611050,204089,9510209,9802067,201210,9802067,201210
13,14,9510209,209160,9804058,303223,212111,211042,9803002,11166,9905111,9804058,304143,9802150,212281
14,15,9510135,211195,12210,212111,211032,208187,9407087,9156,9510135,12210,303172,12210,301136
15,16,110055,304018,9802150,212166,209160,211195,9410167,106014,9611050,9802150,304232,9804058,210292
16,17,9611050,303087,9505052,209160,212166,208165,9601029,2172,9601029,9505052,212281,9505052,205134
17,18,210157,206062,9909215,209145,209145,209160,9510135,1054,9602022,9909215,301217,9909215,209067
18,19,9601029,210035,7018,208178,208178,207214,9802042,204054,9603142,7018,210070,7018,212253
19,20,204089,204089,9902122,304183,304183,206062,9603167,8081,9711165,9902122,208202,9803214,204054
20,21,9910053,302027,9803214,210102,303115,209067,9711162,103090,9603167,9803214,304018,9902122,301217
21,22,9602022,302060,9602052,303115,302005,302027,9806087,9807135,9803131,9602052,301196,9804160,208079
22,23,9602052,209004,9804160,209201,209201,210035,9408099,4009,9611230,9804160,303199,9602052,207214
23,24,9603167,207214,12179,209002,206062,303170,9409089,5230,9411149,12179,303223,6219,210200
24,25,9711165,211181,6219,212208,210102,212277,9802183,107167,9401139,6219,207176,12179,203157
25,26,9603142,303013,9809172,206167,302027,110055,9703166,108205,9412184,9809172,211053,9811237,205089
26,27,9803131,212277,9702076,212231,301217,301136,9904017,11111,9703166,9702076,303170,9906142,210262
27,28,9411149,206038,9906142,212297,212231,209004,9807080,202193,9510169,9906142,211263,9809172,302060
28,29,9412184,209067,202021,301217,210262,302060,9804058,103112,9501068,202021,302060,9702076,302005
29,30,9611230,302150,9811237,302005,301196,301217,9804085,9812218,9204099,9811237,112193,9802126,208187
30,31,9401139,211031,9706110,210262,212297,204054,9711165,11086,9409089,9706110,304195,202021,304232
31,32,9703166,303173,9912001,301196,208079,206094,9803001,101099,9602052,9912001,304181,9707259,301196
32,33,9508143,209043,9803109,301035,206167,303173,9611230,9803109,9508143,9803109,110055,9706110,9911022
33,34,9710046,206094,9707259,208232,301136,303013,9510169,8130,9512077,9707259,301009,9912001,302027
34,35,9501068,208079,9802126,302027,304241,301196,9512077,111238,9602070,9802126,210305,9503027,212111
35,36,9510169,209145,9506106,301187,209002,209145,9501068,202021,9612115,9506106,302005,3160,205100
