Id,betweenness_centrality
1001,0.00042945
5068,0.000299237
7195,0.011440361
11075,0.003288907
212114,2.80E-05
9304045,2.72E-05
9406055,3.31E-05
9409110,2.22E-06
9509049,0.000176538
9609167,0.000154001
9404186,0.000297985
9405086,0.000255416
9511152,2.97E-05
9308122,4.09E-05
9506112,0.000175286
9508155,0.000383124
9601108,0.0006448
9605222,0.001168153
9412115,0.000224115
9506091,0.000122074
9506110,0.000512084
9509009,0.000231627
9412236,9.82E-05
9512017,9.70E-05
9601014,0.001176917
9602102,0.00010129
9412117,0.002755551
9605154,0.000610995
9603108,8.28E-05
9610162,0.000130212
9403187,0.000975339
9606049,0.00095155
9310187,0.000241644
9710046,0.001843202
9912188,0.000206587
9604057,0.000891452
9608104,0.00023914
9406008,0.001183177
9602147,0.000176538
9812068,2.23E-05
9807124,0.000290473
9504114,2.60E-05
9504115,1.36E-05
9812253,0.000588459
9705068,0.000126456
9510218,0.000349319
9511206,6.24E-06
9611053,0.000186554
9611110,0.000194066
3298,4.73E-06
9604096,0.00050332
9607223,2.40E-07
102198,1.68E-06
108234,1.67E-07
109013,0.00075498
109155,0.000210343
211121,2.22E-05
212020,0.000267936
9909032,4.90E-06
9507075,0.001393758
9603059,0.000689874
9609163,4.58E-05
9610119,0
9701094,5.45E-06
9707022,1.50E-05
9309097,1.73E-07
9504090,0
9510234,0
9603150,2.83E-07
9702155,0.000189058
9702198,6.76E-05
9711036,0.000738703
9501111,0.000276701
9406032,0.000277953
9503208,0.002745961
9508107,0.000752476
9404060,1.93E-05
9608039,0.000225367
9605200,7.55E-05
9710021,6.26E-06
9706110,2.50E-05
9807040,3.93E-05
1025,7.09E-05
9612181,0.026113087
9407025,0.00031927
9708065,1.10E-05
9704151,0.000155253
9711090,0.000256668
9711124,0.000409417
9404092,0.000463255
9811004,0.000631028
9604043,0.00152114
9810244,0.000102292
9811131,5.81E-05
9806059,0.00019031
9412074,0.007043912
9806177,0.000394392
1206,8.09E-05
9410184,6.26E-05
9707198,3.37E-05
9911068,0.007152013
9811258,0.002125274
2205,2.44E-05
2222,0.001863874
9712011,1.08E-05
7075,0.001191942
9801175,0.000171529
11197,0.002777888
104147,5.40E-08
9409072,0.000588459
107217,4.31E-05
109069,3.73E-06
111154,0.005930961
112006,1.82E-05
203111,0.000707402
206012,4.31E-06
303087,5.75E-05
9409124,0.000825094
9512149,0.00088394
9612075,0.000359335
9311042,0.008007006
9602114,0.00068737
9905036,3.31E-05
9507012,0.000114186
9801022,4.80E-05
9808192,0.034910092
2004,0
11059,6.10E-06
11101,0.000812574
12041,0.000224115
109164,0
9401139,3.17E-07
9611137,0
9712028,0
9908144,1.01E-05
9410167,0.000180294
9502057,0.000453238
9504006,0.001704514
9504034,0.00063854
9506126,2.69E-05
9504081,9.73E-05
9507090,0.006834621
9508056,2.24E-05
9412209,1.93E-05
9508143,0.001841425
9508154,5.47E-06
9509106,8.41E-06
9406178,0.000593467
9709180,0
9907061,0.004965839
9902012,0.002847739
9509171,0.003275285
9609112,0.00246161
9905078,0.00070615
9510023,4.47E-05
9607201,0.000861403
9707099,0.000143985
9603089,6.44E-05
9603186,6.76E-05
9604013,0.001294383
9610024,0.002037431
9610062,2.07E-06
9712084,0.000235383
9505052,0.003591801
9802051,0.000701142
9802067,0.003655142
1021,3.48E-06
9505186,0.000271693
9701178,0.010333558
9704157,0.001596701
9503045,0.001629492
9408060,0.00049706
9504148,0.00062602
9507112,0.001625711
9610032,0.000137724
9509095,0.000552149
9509123,0.001158137
9704137,0.004368541
9911080,9.28E-05
9806030,0.000343059
9803088,0.001109307
9909215,0.000363091
9807161,0.005237995
9812037,0.000249156
9709062,0.008654711
9411028,0.000520848
9701019,0.046527729
9502038,9.79E-05
9708086,2.05E-06
9510079,4.61E-06
9810224,0.000391888
9407198,0.001411374
9803086,4.78E-05
9405002,0.000857647
9802099,0.000425693
9412079,0.000225367
9512188,2.12E-06
9510098,7.88E-06
9805191,0.00049706
9411198,0.000532117
9703206,0.0010129
9708089,5.85E-05
9605023,0.000550897
9612254,0.002187476
9707205,0.002073741
9807135,0.003023913
9703195,0.000946542
9612192,0.001089274
9703136,0.001493883
9909219,0.000174033
