Id,eigenvector_centrality
1001,2.69E-09
5068,6.13E-05
7195,0.002691844
11075,0.00493607
212114,0.000129903
9304045,0.004685237
9406055,0.098082622
9409110,1.23E-38
9509049,4.95E-34
9609167,4.66E-31
9404186,1.01E-36
9405086,1.25E-36
9511152,2.78E-37
9308122,1.28E-33
9506112,0.001387312
9508155,6.16E-38
9601108,4.72E-24
9605222,2.56E-20
9412115,4.05E-20
9506091,5.55E-34
9506110,4.12E-35
9509009,7.69E-25
9412236,1.49E-23
9512017,2.98E-22
9601014,3.73E-33
9602102,2.70E-22
9412117,4.85E-22
9605154,2.50E-19
9603108,9.19E-35
9610162,2.00E-18
9403187,1.36E-15
9606049,1.77E-15
9310187,1.04E-21
9710046,5.14E-16
9912188,2.96E-36
9604057,3.32E-17
9608104,3.11E-06
9406008,5.81E-16
9602147,2.49E-06
9812068,7.92E-18
9807124,3.99E-36
9504114,3.45E-07
9504115,3.93E-09
9812253,1.05E-16
9705068,4.40E-34
9510218,1.33E-34
9511206,2.50E-35
9611053,5.46E-06
9611110,1.53E-07
3298,1.52E-15
9604096,4.95E-06
9607223,9.45E-25
102198,2.19E-32
108234,1.09E-31
109013,2.78E-05
109155,1.62E-15
211121,5.68E-17
212020,2.29E-06
9909032,9.22E-07
9507075,0.000849372
9603059,0.001274137
9609163,0.000925536
9610119,0.000921504
9701094,1.72E-06
9707022,2.90E-06
9309097,2.39E-34
9504090,3.70E-22
9510234,9.03E-20
9603150,9.54E-18
9702155,6.99E-06
9702198,1.23E-38
9711036,9.67E-32
9501111,8.14E-28
9406032,1.64E-21
9503208,2.03E-19
9508107,2.47E-16
9404060,1.86E-33
9608039,5.30E-34
9605200,5.20E-30
9710021,2.65E-37
9706110,1.49E-21
9807040,2.79E-15
1025,4.85E-15
9612181,1.24E-06
9407025,4.12E-07
9708065,8.62E-11
9704151,3.08E-16
9711090,2.78E-37
9711124,1.98E-07
9404092,2.36E-14
9811004,2.40E-14
9604043,1.06E-14
9810244,7.18E-15
9811131,1.45E-14
9806059,1.62E-14
9412074,5.46E-06
9806177,7.63E-36
1206,1.18E-14
9410184,1.94E-14
9707198,4.98E-14
9911068,0.000988527
9811258,0.000369705
2205,1.39E-19
2222,0.005038961
9712011,2.58E-15
7075,6.00E-30
9801175,3.02E-37
11197,0.0012571
104147,2.78E-37
9409072,3.16E-15
107217,7.76E-07
109069,8.11E-16
111154,0.006213182
112006,2.27E-05
203111,0.00081064
206012,3.32E-15
303087,1.21E-31
9409124,0.000100858
9512149,0.005658409
9612075,0.001137548
9311042,0.00171182
9602114,0.000632795
9905036,0.001084645
9507012,0.000648945
9801022,0.000823573
9808192,0.005013089
2004,3.99E-05
11059,0.000930987
11101,0.073681594
12041,0.004145716
109164,1.18E-09
9401139,2.45E-35
9611137,1.71E-21
9712028,2.53E-37
9908144,1.23E-38
9410167,5.07E-21
9502057,1.83E-25
9504006,1.62E-20
9504034,1.11E-17
9506126,3.02E-10
9504081,1.87E-20
9507090,0.000142031
9508056,0.000274487
9412209,0.001477223
9508143,0.00084837
9508154,1.53E-05
9509106,8.27E-05
9406178,0.002145624
9709180,5.30E-06
9907061,2.42E-34
9902012,1.72E-32
9509171,5.90E-17
9609112,1.30E-31
9905078,7.09E-30
9510023,4.69E-30
9607201,1.96E-33
9707099,3.26E-30
9603089,9.93E-32
9603186,1.96E-29
9604013,3.54E-30
9610024,7.88E-23
9610062,1.82E-25
9712084,1.97E-23
9505052,1.22E-22
9802051,1.66E-22
9802067,7.95E-24
1021,1.86E-33
9505186,2.79E-29
9701178,1.48E-06
9704157,1.61E-08
9503045,4.40E-16
9408060,1.30E-15
9504148,1.08E-32
9507112,5.49E-24
9610032,5.36E-07
9509095,1.36E-08
9509123,2.69E-22
9704137,5.71E-16
9911080,1.91E-13
9806030,3.73E-09
9803088,2.81E-18
9909215,8.08E-08
9807161,6.77E-28
9812037,3.54E-20
9709062,5.39E-14
9411028,3.00E-07
9701019,1.77E-05
9502038,1.31E-29
9708086,7.25E-25
9510079,3.99E-28
9810224,1.27E-30
9407198,2.01E-29
9803086,1.81E-25
9405002,1.81E-25
9802099,1.81E-25
9412079,3.64E-25
9512188,4.40E-31
9510098,1.54E-29
9805191,1.81E-25
9411198,3.16E-05
9703206,1.89E-05
9708089,4.85E-21
9605023,9.83E-18
9612254,0.000331663
9707205,2.52E-08
9807135,9.99E-32
9703195,9.80E-16
9612192,8.01E-16
9703136,3.77E-29
9909219,1.54E-21
9610005,7.02E-06
9611209,1.85E-33
9411242,5.46E-06
9510092,1.01E-20
9603015,1.86E-33
9509013,2.52E-06
9404063,1.76E-06
9804208,2.29E-29
9604196,2.98E-18
9706210,1.73E-19
9404191,1.85E-33
9404184,0.000184162
9910053,1.22E-15
9812061,4.28E-15
9602145,3.80E-15
9609152,1.93E-15
9807195,1.35E-05
9703160,1.87E-29
9707202,4.85E-20
2070,4.63E-21
9909061,1.86E-33
9407099,3.64E-25
9703009,1.81E-25
9506205,6.45E-18
9705058,1.85E-33
9708153,5.46E-25
9811019,4.24E-31
9904033,5.46E-25
9902187,1.85E-15
9706107,1.93E-33
9812235,4.63E-31
9602084,1.36E-17
9704178,1.94E-33
9812072,1.85E-33
9711153,9.19E-15
9606077,1.90E-33
9509145,1.91E-16
9512124,1.92E-25
9911205,6.67E-22
2165,8.59E-20
9712057,0.000172033
9406189,2.06E-24
9903152,4.60E-16
9411195,8.65E-16
9508159,2.95E-29
9507005,5.36E-17
9604186,5.27E-32
3177,8.36E-13
9510103,1.53E-06
9502119,1.72E-08
9708164,3.64E-17
4078,6.35E-32
9611107,2.48E-33
9710179,0.000297148
9811006,4.98E-14
4120,1.15E-08
4159,9.73E-07
9405120,0.000214483
5113,1.85E-33
9507063,2.74E-16
9909227,0.000780708
5227,2.69E-18
9602059,2.81E-29
6019,3.83E-29
6228,2.97E-28
7169,6.10E-29
9605074,6.22E-28
9510190,3.17E-17
9009,7.66E-33
9084,3.54E-05
9182,6.73E-19
11032,1.64E-17
12188,1.58E-29
9608130,3.13E-07
101041,4.24E-19
9711199,2.82E-17
9909150,2.97E-21
9804057,9.10E-15
9801181,1.85E-33
104089,2.80E-16
104143,0.000152564
9506192,1.45E-18
9911203,6.13E-29
9606042,7.21E-07
109162,1.86E-33
110055,0.003074767
9704110,2.55E-06
110067,0.002833636
204189,3.51E-05
9705167,1.81E-25
204089,0.001819253
9511178,0.013572281
204145,1.85E-33
204186,5.78E-09
205134,1.85E-33
207238,1.13E-18
207276,1.05E-18
208026,6.48E-06
208187,2.82E-09
210012,6.70E-09
210044,1.85E-33
211056,4.18E-09
211116,0.009323696
211147,1.83E-25
212085,8.20E-33
9503038,2.73E-31
303173,0.011351304
304206,0.002280213
9504161,9.67E-06
9506213,0.003179116
9508095,0.010805837
9603085,1.85E-15
9605070,1.14E-18
9610159,5.14E-16
9702132,6.51E-05
9703064,0.097458323
9708142,7.76E-18
9709124,0.001865032
9712196,0.006971469
9807057,0.014070038
9811093,3.99E-06
9404151,2.76E-05
9505162,5.43E-07
9507050,0.006784214
9510142,0.008661454
9707014,0.004512103
9408083,0.003059654
9504027,0.00031566
9507168,1.78E-32
9512016,2.29E-29
9512196,1.50E-29
9512219,1.29E-32
9703157,4.05E-28
9611184,1.82E-25
7170,1.34E-31
10281,2.28E-28
106104,5.46E-17
9407087,2.62E-18
9408099,6.70E-17
9501030,3.29E-08
9503124,4.95E-17
9505105,2.59E-18
9506144,0.000522649
9510225,1.06E-06
9511030,0.004128417
9607163,5.84E-35
9607207,9.54E-25
9608086,8.23E-22
9609239,7.25E-31
9702094,1.77E-23
9811217,2.74E-23
9412184,2.03E-27
9411149,6.80E-21
9503179,6.57E-18
9411048,7.50E-15
9411057,2.65E-21
9503163,0.000271934
9505023,4.53E-06
9505062,2.09E-08
9506075,0.000104688
9506024,0.000132137
9506077,0.002029673
9505150,2.45E-09
9510182,1.07E-31
9512053,1.09E-23
9602120,1.13E-21
9603042,1.57E-22
9602167,9.73E-17
9509132,1.60E-16
9608109,1.25E-16
