,Unnamed: 0,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
0,0,0.0,0.024978619,0.00042945,2.69e-09,0.273693874,0.004490852,0.084749041,0.009361276,0.011908574,0.00042945,0.332775783,0.078838174,0.000440047,0.0
2,2,0.000622422,0.109388586,0.011440361,0.002691844,0.562666303,0.020391509,0.200707866,0.045088252,0.114220682,0.011440361,0.684676459,0.253112033,0.011688932,0.137334845
3,3,0.000624944,0.064599619,0.003288907,0.00493607,0.583799345,0.001159842,0.273917008,0.093374337,0.118122641,0.003288907,0.689865981,0.185338866,0.003366834,0.130795163
4,4,0.021009273,0.012920059,2.8e-05,0.000129903,0.466408658,9.12e-05,0.024320162,0.090113406,0.022097463,2.8e-05,0.521037823,0.048409405,2.92e-05,0.24197011
5,5,0.021300255,0.027562592,2.72e-05,0.004685237,0.633601149,0.000433526,0.086929131,0.044375554,0.080588287,2.72e-05,0.711196028,0.092669433,2.86e-05,0.019620208
6,6,0.021311252,0.027562592,3.31e-05,0.098082622,0.90346993,1.7e-05,0.003671654,0.263727329,0.188362416,3.31e-05,0.865208359,0.092669433,3.3e-05,0.03269974
10,10,0.94862475,0.014642707,0.000297985,1.01e-36,0.002057663,0.016194295,0.001246908,0.005534014,0.000422875,0.000297985,0.001954347,0.011065007,0.000304844,0.189652478
15,15,0.939042345,0.05081841,0.000383124,6.16e-38,0.001929053,0.034581045,0.001712227,0.00222395,0.000480542,0.000383124,0.001628623,0.013831259,0.000381374,0.130795163
16,16,0.959018554,0.082687471,0.0006448,4.72e-24,0.032770022,0.115119489,0.088818396,0.002585988,0.002710424,0.0006448,0.034037829,0.030428769,0.000658158,0.228890746
17,17,0.968603179,0.055986355,0.001168153,2.56e-20,0.057303354,0.044589139,0.163702685,0.008068282,0.007385123,0.001168153,0.065844477,0.065006916,0.001158153,0.071937841
20,20,0.948923299,0.03100791,0.000512084,4.12e-35,0.004133697,0.017540561,0.007161543,0.002327389,0.00105911,0.000512084,0.003908695,0.022130014,0.00052423,0.013080526
21,21,0.959009675,0.012920059,0.000231627,7.69e-25,0.029163964,0.011909174,0.084916264,0.002430829,0.001647926,0.000231627,0.029784797,0.017980636,0.000187498,0.15041421
22,22,0.959123384,0.016365355,9.82e-05,1.49e-23,0.030511199,0.007910547,0.067263244,0.000827516,0.001612404,9.82e-05,0.030855423,0.017980636,9.43e-05,0.071937841
23,23,0.959310847,0.02928524,9.7e-05,2.98e-22,0.043490192,0.03213003,0.20732484,0.003154905,0.005122797,9.7e-05,0.050228581,0.037344398,9.78e-05,0.03269974
24,24,0.949546931,0.035314531,0.001176917,3.73e-33,0.006861733,0.016255116,0.00930637,0.007344206,0.001363194,0.001176917,0.007920536,0.030428769,0.00120152,0.104636426
25,25,0.959614339,0.018949328,0.00010129,2.7e-22,0.046583944,0.008364229,0.162914915,0.004654778,0.003848113,0.00010129,0.052635711,0.041493776,0.000109948,0.085017213
26,26,0.959320633,0.047373092,0.002755551,4.85e-22,0.059407656,0.007597461,0.27058271,0.012671341,0.012422352,0.002755551,0.067553724,0.134163209,0.002937309,0.156953892
27,27,0.968703468,0.032730559,0.000610995,2.5e-19,0.07309061,0.015692168,0.109723921,0.00424102,0.007403203,0.000610995,0.078038965,0.05670816,0.000610964,0.287747901
29,29,0.968804969,0.02928524,0.000130212,2e-18,0.083206363,0.023921319,0.089695231,0.004809938,0.00902668,0.000130212,0.085405674,0.045643154,0.00012755,0.176573113
30,30,0.969525662,0.049095762,0.000975339,1.36e-15,0.097641534,0.032614406,0.179074554,0.007706244,0.019041782,0.000975339,0.103103634,0.089903181,0.000950247,0.163493741
31,31,0.978684107,0.031869234,0.00095155,1.77e-15,0.104603629,0.008085797,0.026864873,0.019912107,0.009851072,0.00095155,0.105570998,0.030428769,0.000961727,0.026159891
32,32,0.959324669,0.018088004,0.000241644,1.04e-21,0.042092733,0.013871216,0.044920685,0.005016817,0.002987238,0.000241644,0.046529668,0.030428769,0.000233416,0.006538528
33,33,0.969516682,0.061154322,0.001843202,5.14e-16,0.109904381,0.016466646,0.17981761,0.026015039,0.025556351,0.001843202,0.116281261,0.124481328,0.001846234,0.026159891
35,35,0.969101701,0.046511767,0.000891452,3.32e-17,0.090446981,0.02568838,0.139265466,0.0086372,0.017035288,0.000891452,0.09543463,0.091286307,0.000909431,0.006538528
37,37,0.969314085,0.05081841,0.001183177,5.81e-16,0.109143992,0.021443288,0.220093107,0.01717096,0.022133055,0.001183177,0.115014684,0.123098202,0.001202796,0.039239422
38,38,0.999989608,0.024978619,0.000176538,2.49e-06,0.353760304,0.003352227,0.009451782,0.00641325,0.007414327,0.000176538,0.420070414,0.037344398,0.000179845,0.039239422
