,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
0,0,0.024978619,0.00042945,2.69E-09,0.273693874,0.004490852,0.084749041,0.009361276,0.011908574,0.00042945,0.332775783,0.078838174,0.000440047,0
1,0.00041034,0.014642707,0.000299237,6.13E-05,0.455249453,0.001145698,0.014104967,0.017015801,0.012904701,0.000299237,0.51451897,0.04011065,0.000311222,0.215811214
2,0.000622422,0.109388586,0.011440361,0.002691844,0.562666303,0.020391509,0.200707866,0.045088252,0.114220682,0.011440361,0.684676459,0.253112033,0.011688932,0.137334845
3,0.000624944,0.064599619,0.003288907,0.00493607,0.583799345,0.001159842,0.273917008,0.093374337,0.118122641,0.003288907,0.689865981,0.185338866,0.003366834,0.130795163
4,0.021009273,0.012920059,2.80E-05,0.000129903,0.466408658,9.12E-05,0.024320162,0.090113406,0.022097463,2.80E-05,0.521037823,0.048409405,2.92E-05,0.24197011
5,0.021300255,0.027562592,2.72E-05,0.004685237,0.633601149,0.000433526,0.086929131,0.044375554,0.080588287,2.72E-05,0.711196028,0.092669433,2.86E-05,0.019620208
6,0.021311252,0.027562592,3.31E-05,0.098082622,0.90346993,1.70E-05,0.003671654,0.263727329,0.188362416,3.31E-05,0.865208359,0.092669433,3.30E-05,0.03269974
7,0.938630996,0.006890768,2.22E-06,1.23E-38,0.000385742,0.001414442,2.19E-05,0.000982675,9.61E-05,2.22E-06,0.000325725,0.001383126,2.26E-06,0.366224437
8,0.949231533,0.012920059,0.000176538,4.95E-34,0.004107182,0.006280121,0.005780128,0.003206625,0.000646721,0.000176538,0.004451569,0.01659751,0.000177294,0.039239422
9,0.959314882,0.007752092,0.000154001,4.66E-31,0.010467187,0.000370584,0.013959555,0.005430575,0.00106977,0.000154001,0.011235171,0.020746888,0.000156886,0.006538528
10,0.94862475,0.014642707,0.000297985,1.01E-36,0.002057663,0.016194295,0.001246908,0.005534014,0.000422875,0.000297985,0.001954347,0.011065007,0.000304844,0.189652478
11,0.958510043,0.003445449,0.000255416,1.25E-36,0.002232192,0.000248234,9.27E-05,0.010550831,0.000432489,0.000255416,0.00211721,0.013831259,0.000258926,0.052318794
