Id,betweenness_centrality
,
11088,0.000202301
,
9510148,9.70E-05
,
9611088,3.23E-05
,
9510228,2.89E-05
,
9602031,4.44E-05
,
9603034,1.31E-05
,
9607210,1.28E-05
,
9608077,6.71E-07
,
9611020,1.18E-05
,
9611197,0.000232323
,
9411149,0.005446254
,
9503086,0.00011781
,
9503121,0.000440817
,
9503179,0.000225277
,
9505004,0.00018392
,
9505051,5.77E-05
,
9505067,4.80E-05
,
9505088,5.21E-05
,
9506148,0.000127488
,
9507018,4.99E-05
,
9510135,0.008978019
,
9602035,2.67E-05
,
9605232,2.11E-05
,
9609230,5.25E-08
,
9610043,0.037090515
,
9701020,3.92E-06
,
9402044,0.00183844
,
9403198,0.000185676
,
9407106,3.36E-05
,
9509066,0.003707613
,
9603158,0.000158441
,
9607200,6.91E-06
,
9612207,8.77E-05
,
9701045,2.72E-05
,
9407087,0.070352544
,
9408099,0.024617773
,
9408155,0.000118692
,
9411048,0.001025562
,
9411057,0.000547454
,
9504080,2.04E-05
,
9504102,3.39E-05
,
9505062,0.000271408
,
9505075,0.000134591
,
9505100,9.22E-05
,
9507008,3.04E-05
,
9507032,1.16E-05
,
9509130,1.24E-05
,
9509175,0.000135304
,
9509176,1.78E-05
,
9510222,9.41E-05
,
9511154,0.000165603
,
9512140,1.85E-06
,
9603002,1.82E-05
,
9603042,0.000103462
,
9603051,9.23E-06
,
9607151,8.57E-06
,
9608084,1.06E-06
,
9608111,0.000272215
,
9609059,2.59E-05
,
9611049,1.24E-06
,
9611097,1.03E-06
,
9611152,8.69E-06
,
9701009,8.02E-06
,
9701191,2.00E-06
,
9505006,0.000105923
,
9605108,8.14E-06
,
9605113,3.70E-05
,
9606184,4.87E-06
,
9607021,1.23E-05
,
9608046,1.18E-06
,
9609183,2.72E-07
,
9610139,4.31E-05
,
9702179,3.10E-06
,
9711157,0.000393849
,
9209016,7.33E-05
,
9304154,0.004188961
,
9305142,0.000140792
,
9402032,0.002632525
,
9410167,0.008983101
,
9503124,0.019970351
,
9503221,0
,
9504113,0.000299192
,
9505105,0.00075667
,
9508143,0.001455533
,
9510209,0.010399171
,
9606045,2.46E-05
,
9611050,0.011804062
,
9611230,0.002473908
,
9701012,0.000133164
,
9701019,1.71E-05
,
9701155,3.04E-05
,
9702014,0.000325186
,
9702094,0.000137068
,
9703166,0.002249263
,
9704104,0.00068868
,
9705003,7.31E-05
,
9708078,3.30E-05
,
9708134,1.96E-05
,
9712010,2.43E-06
,
9712116,1.65E-06
,
9506098,0.000479182
,
9506139,0.000392259
,
9506196,8.15E-06
,
9710105,4.23E-05
,
9801173,0.000115952
,
9503163,0.000185575
,
9505035,0.001272248
,
9507169,6.19E-05
,
9509161,0.000267471
,
9511118,3.74E-05
,
9511180,3.13E-06
,
9512005,1.08E-05
,
9606043,2.80E-06
,
9609041,0.000502729
,
9609145,3.56E-05
,
9610156,0.000419722
,
9701055,4.50E-05
,
9704067,1.87E-05
,
9706076,1.47E-05
,
9707071,6.19E-06
,
9710001,3.18E-05
,
