Id,degree_centrality
,
11088,0.002862941
,
9510148,0.002210625
,
9611088,0.001232152
,
9510228,0.002029427
,
9602031,0.00159455
,
9603034,0.001268392
,
9607210,0.001848228
,
9608077,0.000507357
,
9611020,0.001123433
,
9611197,0.001630789
,
9411149,0.012067841
,
9503086,0.002899181
,
9503121,0.004131333
,
9503179,0.004385011
,
9505004,0.003189099
,
9505051,0.001993187
,
9505067,0.001630789
,
9505088,0.002174386
,
9506148,0.0030079
,
9507018,0.002138146
,
9510135,0.017250127
,
9602035,0.000833515
,
9605232,0.001195912
,
9609230,0.000543596
,
9610043,0.032108429
,
9701020,0.000652316
,
9402044,0.00764659
,
9403198,0.003913894
,
9407106,0.002283105
,
9509066,0.006668116
,
9603158,0.001630789
,
9607200,0.001195912
,
9612207,0.002971661
,
9701045,0.00155831
,
9407087,0.037906791
,
9408099,0.028810611
,
9408155,0.003261579
,
9411048,0.008661303
,
9411057,0.007429151
,
9504080,0.001123433
,
9504102,0.003660216
,
9505062,0.004493731
,
9505075,0.005907081
,
9505100,0.005291005
,
9507008,0.003623976
,
9507032,0.002391824
,
9509130,0.001304631
,
9509175,0.005291005
,
9509176,0.00308038
,
9510222,0.002355585
,
9511154,0.002717982
,
9512140,0.000579836
,
9603002,0.001667029
,
9603042,0.002717982
,
9603051,0.001848228
,
9607151,0.001377111
,
9608084,0.000253678
,
9608111,0.0030079
,
9609059,0.002065666
,
9611049,0.000761035
,
9611097,0.000761035
,
9611152,0.000724795
,
9701009,0.001340871
,
9701191,0.001340871
,
9505006,0.0030079
,
9605108,0.001050953
,
9605113,0.001630789
,
9606184,0.001195912
,
9607021,0.000869754
,
9608046,0.000724795
,
9609183,0.000543596
,
9610139,0.001920707
,
9702179,0.001014713
,
9711157,0.001739509
,
9209016,0.001884468
,
9304154,0.006233239
,
9305142,0.002391824
,
9402032,0.00608828
,
9410167,0.018772197
,
9503124,0.027034863
,
9503221,0.000108719
,
9504113,0.00144959
,
9505105,0.007537871
,
9508143,0.008226426
,
9510209,0.020946583
,
9606045,0.000253678
,
9611050,0.017141408
,
9611230,0.011777923
,
9701012,0.000833515
,
9701019,0.000724795
,
9701155,0.001232152
,
9702014,0.004964847
,
9702094,0.001811988
,
9703166,0.011777923
,
9704104,0.004674929
,
9705003,0.002138146
,
9708078,0.001014713
,
9708134,0.001050953
,
9712010,0.000761035
,
9712116,0.000761035
,
9506098,0.001920707
,
9506139,0.00159455
,
9506196,0.001304631
,
9710105,0.002138146
,
9801173,0.002138146
,
9503163,0.004022614
,
9505035,0.006015801
,
9507169,0.00159455
,
9509161,0.005653403
,
9511118,0.000289918
,
9511180,0.001848228
,
9512005,0.001703269
,
9606043,0.001630789
,
9609041,0.003877655
,
9609145,0.003225339
,
9610156,0.003370298
,
9701055,0.002609263
,
9704067,0.001739509
,
9706076,0.00159455
,
9707071,0.000978474
,
9710001,0.001087193
,
9801187,0.000724795
,
9602180,0.000942234
,
9702059,0.000942234
,
9709081,0.000761035
,
9802092,0.000869754
,
9410203,0.000688555
,
9506084,0.001050953
,
9703159,0.000905994
,
9704114,0.001087193
,
9801007,0.000362398
,
9801207,0.002899181
,
9803087,0.000905994
,
9710024,0.000652316
,
9804061,0.001848228
,
9803139,0.000905994
,
9808125,0.000616076
,
9606139,0.006196999
,
9703051,0.002391824
,
9704043,0.002826701
,
9707027,0.002355585
,
9708118,0.004022614
,
9802067,0.004711169
,
9812015,7.25E-05
,
9812155,0.001123433
,
9810014,0.001123433
,
9811119,0.001304631
,
9904210,0.000833515
,
107152,0.002717982
,
1132,0.001159672
,
2037,0.001884468
,
3242,0.001993187
,
3263,0.00308038
,
5049,0.003406538
,
6047,0.002536783
,
6100,0.002319345
,
6189,0.002065666
,
6224,0.002609263
,
9072,0.00152207
,
9112,0.002101906
,
9247,0.001739509
,
10196,0.002500544
,
10217,0.00144959
,
10222,0.00152207
,
10223,0.002862941
,
11017,0.003660216
,
11079,0.002283105
,
12041,0.002681742
,
12054,0.002464304
,
101114,0.002391824
,
101135,0.002101906
,
104041,0.000833515
,
104147,0.002283105
,
