Id,eigenvector_centrality
,
11088,0.00862291
,
9510148,0.003733823
,
9611088,0.003146959
,
9510228,0.004008186
,
9602031,0.002892077
,
9603034,0.00228617
,
9607210,0.002164794
,
9608077,0.00063553
,
9611020,0.002067816
,
9611197,0.003573689
,
9411149,0.020299021
,
9503086,0.0055108
,
9503121,0.013970766
,
9503179,0.007203051
,
9505004,0.006978613
,
9505051,0.003893279
,
9505067,0.003783446
,
9505088,0.005356087
,
9506148,0.006190362
,
9507018,0.004003543
,
9510135,0.041406859
,
9602035,0.001044116
,
9605232,0.003799685
,
9609230,0.001004427
,
9610043,0.078242519
,
9701020,0.000927043
,
9402044,0.010021188
,
9403198,0.00439866
,
9407106,0.002978998
,
9509066,0.009624754
,
9603158,0.002273963
,
9607200,0.001638995
,
9612207,0.002859539
,
9701045,0.004560509
,
9407087,0.062805874
,
9408099,0.048807363
,
9408155,0.00428198
,
9411048,0.019112624
,
9411057,0.016792717
,
9504080,0.003717282
,
9504102,0.008203935
,
9505062,0.011086894
,
9505075,0.011680424
,
9505100,0.01075959
,
9507008,0.008055263
,
9507032,0.006985025
,
9509130,0.004671795
,
9509175,0.013304788
,
9509176,0.006754398
,
9510222,0.004344125
,
9511154,0.005689064
,
9512140,0.002526074
,
9603002,0.003447539
,
9603042,0.004813395
,
9603051,0.005476532
,
9607151,0.004564062
,
9608084,0.000137409
,
9608111,0.006793377
,
9609059,0.006012868
,
9611049,0.001857007
,
9611097,0.001640443
,
9611152,0.003319677
,
9701009,0.004097046
,
9701191,0.001699496
,
9505006,0.00441872
,
9605108,0.000979087
,
9605113,0.003146334
,
9606184,0.001362311
,
9607021,0.001145931
,
9608046,0.000869641
,
9609183,0.000884393
,
9610139,0.002269016
,
9702179,0.001783657
,
9711157,0.007434837
,
9209016,0.002547402
,
9304154,0.007477659
,
9305142,0.003326831
,
9402032,0.010465752
,
9410167,0.040425256
,
9503124,0.057040924
,
9503221,0.000136378
,
9504113,0.005033396
,
9505105,0.014161756
,
9508143,0.018549158
,
9510209,0.042350086
,
9606045,0.000131593
,
9611050,0.041103171
,
9611230,0.030649477
,
9701012,0.002429844
,
9701019,0.002080316
,
9701155,0.001911581
,
9702014,0.013262433
,
9702094,0.003171208
,
9703166,0.03445837
,
9704104,0.01572723
,
9705003,0.003217501
,
9708078,0.004828328
,
9708134,0.002178481
,
9712010,0.001155282
,
9712116,0.000903065
,
9506098,0.002884141
,
9506139,0.002020119
,
9506196,0.001781678
,
9710105,0.002123853
,
9801173,0.005213055
,
9503163,0.011873097
,
9505035,0.01147628
,
9507169,0.00293107
,
9509161,0.010743096
,
9511118,7.10E-05
,
9511180,0.004951007
,
9512005,0.005323413
,
9606043,0.005133321
,
9609041,0.010490622
,
9609145,0.009398994
,
9610156,0.009228677
,
9701055,0.007595863
,
9704067,0.004390949
,
9706076,0.004690765
,
9707071,0.004264401
,
9710001,0.002555263
,
9801187,0.000882953
,
9602180,0.000857765
,
9702059,0.001399282
,
9709081,0.002636992
,
9802092,0.000984599
,
9410203,0.000142041
,
9506084,0.003164483
,
9703159,0.001008052
,
9704114,0.001628718
,
9801007,0.00062766
,
9801207,0.008189046
,
9803087,0.001142879
,
9710024,0.001032935
,
9804061,0.004919567
,
9803139,0.002436849
,
9808125,0.003044184
,
9606139,0.0145031
,
9703051,0.005958263
,
9704043,0.007986496
,
9707027,0.006095911
,
9708118,0.014494413
,
9802067,0.014880686
,
9812015,0.000144785
,
9812155,0.001553494
,
9810014,0.001342476
,
9811119,0.00138306
,
9904210,0.00136225
,
107152,0.005360675
,
1132,0.002047111
,
2037,0.002742509
,
3242,0.002776399
,
3263,0.005514693
,
5049,0.016199428
,
6047,0.004810023
,
6100,0.004875995
,
6189,0.00479795
,
6224,0.004215362
,
9072,0.002009697
,
9112,0.005352196
,
9247,0.011237012
,
10196,0.003952607
,
10217,0.002560637
,
10222,0.012676045
,
10223,0.007110505
,
11017,0.006345764
,
11079,0.01771514
,
12041,0.005496317
,
12054,0.008562915
,
101114,0.006528493
,
101135,0.003382998
,
104041,0.00212984
,
104147,0.004574185
,
104200,0.006377092
,
105014,0.003381127
,
105063,0.001555167
,
105077,0.004636125
,
105159,0.012161525
,
105216,0.003621008
,
106079,0.003497939
,
106262,0.001881162
,
107063,0.000910118
,
9507158,0.0138702
,
9508072,0.007543809
,
9602111,0.003399371
,
9603090,0.006362693
,
9606040,0.004932586
,
9607108,0.002718553
,
9608005,0.005659738
,
9610105,0.008129901
,
9610157,0.009083026
,
9611161,0.001578736
,
9612076,0.001168644
,
9701054,0.004537137
,
9702103,0.004452599
,
9703082,0.002712259
,
9703101,0.002548807
,
9704147,0.003231484
,
9708065,0.001378559
,
9712186,0.006968139
,
9801205,0.002655042
,
9802033,0.002362987
,
9803142,0.001942462
,
9805220,0.001137712
,
9807056,0.001438891
,
9807087,0.002392516
,
9812049,0.014466177
,
9902100,0.005895296
,
9906200,0.007189417
,
9907013,0.001601719
,
9907131,0.002040604
,
9908135,0.003038169
,
9910170,0.00320145
,
9910172,0.002382473
,
9911161,0.021691384
,
9912147,0.002015333
,
9912188,0.002206481
,
107153,0.003152717
,
3025,0.007044848
,
4073,0.002446614
,
6011,0.003682565
,
102095,0.003354965
,
103170,0.006141549
,
103183,0.00349161
,
105101,0.004075275
,
106267,0.002010453
,
208020,0.010706019
,
9505054,0.001986247
,
9506048,0.001371927
,
9510101,0.0169843
,
9512059,0.018553858
,
9512077,0.025948003
,
9601038,0.019790378
,
9604041,0.009411544
,
9604178,0.007407245
,
9607163,0.008748643
,
9608163,0.007585764
,
9609017,0.003692647
,
9611090,0.004750236
,
9712028,0.007374188
,
9802012,0.00057162
,
9802049,0.00163449
,
9802108,0.000907995
,
9804208,0.011172879
,
9805141,0.002085676
,
9805168,0.000922235
,
9805201,8.82E-05
,
9806226,0.003838174
,
9806238,0.004633122
,
9812209,0.001061951
,
9906011,0.005419012
,
9912271,0.022418896
,
9506026,7.10E-05
,
107154,0.000192352
,
6160,0.007284193
,
8083,0.004812596
,
10160,0.003158134
,
107155,0.002945544
,
2016,0.005482414
,
5222,0.003596703
,
10268,0.00307481
,
107216,0.002862167
,
9602011,0.001313578
,
9602022,0.022260822
,
9607112,0.002244952
,
9609086,0.001445343
,
9703214,0.001193777
,
9706148,0.000520359
,
9710136,0.00423438
,
9711162,0.055500203
,
9712004,0.008173665
,
9803031,0.011626861
,
9807199,0.000580009
,
9810072,0.013260761
,
9903205,0.021631268
,
9908142,0.077816911
,
9911068,0.003849533
,
4104,0.003729999
,
6091,0.007538401
,
9153,0.003688813
,
105094,0.009166173
,
107156,0.007887403
,
2091,0.017766998
,
3118,0.003436982
,
3237,0.020572694
,
10141,0.01630709
,
11118,0.003164126
,
101027,0.003779487
,
105048,0.026180859
,
9711200,0.298986715
,
9905012,0.016613521
,
9905111,0.116187201
,
9906064,0.072548265
,
9906182,0.016756604
,
9908076,0.007297962
,
9911043,0.006497948
,
9912001,0.019793767
,
107157,1.39E-05
,
5282,0.000738253
,
9209027,3.70E-06
,
9307080,5.87E-05
,
9401086,5.26E-06
,
9401115,0.000138091
,
9407026,1.10E-05
,
9410105,1.25E-05
,
9506058,0.000155351
,
9705103,1.19E-05
,
9301003,0.0001809
,
9306091,0.000212382
,
9303046,0.001922934
,
9209049,0.001455504
,
9212149,0.002019753
,
9301068,0.00284084
,
9306013,0.001112645
,
9307111,0.001521324
,
9309128,0.000104646
,
9311015,0.00073999
,
9401044,0.000707625
,
9401153,0.000247686
,
9501092,3.59E-05
,
9507088,4.47E-05
,
9508003,0.000244608
,
107158,5.64E-05
,
5263,3.20E-06
,
6003,0.000637873
,
102049,9.91E-06
,
104247,0.00057999
,
105050,0.000411811
,
9302044,0.000119771
,
9906065,9.28E-07
,
107159,0.000828192
,
6201,0.00263744
,
12124,0.000933628
,
9205068,0.002317271
,
9310151,0.00079037
,
9509115,0.000363624
,
9606087,0.00106462
,
9703059,0.002944739
,
9704177,0.001396873
,
9807011,0.003864216
,
9807067,0.000321138
,
9812118,0.002606848
,
9907112,0.000707136
,
9907184,0.002597441
,
9909116,0.00110071
,
9912108,0.001253492
,
107160,0.0124092
,
2142,0.000436309
,
3029,0.001210712
,
3184,0.003734007
,
7007,0.013942343
,
9096,0.012442582
,
9137,0.001062698
,
11102,0.008130833
,
12128,0.012750533
,
12149,0.001027285
,
102156,0.002479761
,
103064,0.002710315
,
103197,0.000813402
,
105046,0.005038716
,
105123,0.003380144
,
105248,0.002457726
,
9201080,0.00060996
,
9207032,0.000407249
,
9303160,0.004096848
,
9307037,0.000226111
,
9308037,0.000231047
,
9407151,0.00117331
,
9503209,0.002327344
,
9509166,0.002594876
,
9510149,0.001095031
,
9511134,0.003743745
,
9512175,0.00047461
,
9512210,0.002576871
,
9603156,0.003510919
,
9604026,0.001219301
,
9605062,0.001303667
,
9605151,0.002221757
,
9606050,0.001415008
,
9606102,0.003692607
,
9606130,0.000804355
,
9606138,0.001879624
,
9606154,0.000665118
,
9609238,0.003838517
,
9610168,0.001661272
,
9611160,0.001725066
,
9703028,0.001731755
,
9705240,0.002273041
,
9707090,0.001475038
,
9710248,0.003921836
,
9802109,0.229446003
,
9802150,0.243178662
,
9807034,0.010190857
,
9807091,0.001513161
,
9808124,0.008643512
,
9808169,0.004294508
,
9812016,0.012631096
,
9903162,0.019178515
,
9909068,0.002162722
,
9911163,0.011973208
,
9912143,0.001194152
,
9206063,2.72E-05
,
9302027,3.50E-05
,
9304011,0.005434577
,
9201079,9.20E-06
,
9204097,9.47E-06
,
107161,0.000118527
,
104003,0.000141033
,
9211059,0.000455061
,
9407190,0.003000463
,
9902098,0.005935052
,
9912281,0.000239546
,
107162,0.001264554
,
6120,0.00377352
,
10269,0.002077052
,
11257,0.00120952
,
12141,0.012638275
,
102122,0.00342246
,
102183,0.003146079
,
102201,0.004241377
,
9201056,0.00153581
,
9206084,0.004850639
,
9207094,0.005437781
,
9406095,0.000239469
,
9705038,0.003828062
,
9705241,0.003984661
,
9811237,0.007506577
,
9912151,0.003883898
,
107163,0.010086676
,
3004,0.001318348
,
4036,0.000499672
,
7146,0.018160521
,
101176,0.006982303
,
102077,0.01801716
,
105038,0.008037017
,
106109,0.027423698
,
106112,0.019193837
,
106113,0.04219798
,
9202085,0.000381978
,
9203079,0.000830647
,
9204099,0.023330489
,
9306069,0.009725067
,
9307168,0.004242831
,
9308100,0.002468974
,
9308139,0.005702807
,
9309145,0.009641392
,
9401070,0.005777008
,
9409089,0.043521581
,
9412232,0.000533053
,
9511227,0.00234141
,
9601029,0.044326824
,
9602052,0.022541939
,
9607235,0.012616957
,
9612197,0.000240802
,
9712251,0.014982357
,
9806026,0.0091332
,
9812013,0.004629082
,
9812056,0.004868637
,
9812193,0.005995503
,
9907030,0.00169498
,
9912224,0.001512693
,
9205095,5.11E-05
,
9302127,2.67E-05
,
9307057,3.17E-05
,
9402125,0.000497216
,
9402136,0.000956653
,
9503016,0.000452592
,
9506138,0.00193695
,
9506182,0.000380534
,
9504147,0.007475453
,
9602043,0.02157771
,
9603078,0.008086088
,
9605112,0.004043912
,
9609075,0.003356864
,
9612146,0.012330869
,
9707170,0.003497196
,
9803025,2.93E-05
,
107164,0.000391852
,
3272,0.001401306
,
4186,0.012436055
,
8031,0.00120807
,
8225,0.006371161
,
12016,0.000252739
,
9603136,0.005677826
,
9605038,4.70E-06
,
9712211,0.00156443
,
9902005,0.000630319
,
9906119,0.000370146
,
9907014,0.000764979
,
9907090,0.000284911
,
9909035,0.000283492
,
9909218,0.000145926
,
9912082,0.000517116
,
9912083,0.000543639
,
9601146,6.16E-05
,
9605229,0.002178168
,
9702161,0.000138951
,
9704153,0.000165062
,
9708006,2.98E-05
,
9709080,0.000253048
,
9803127,0.000994681
,
9804139,0.000576228
,
9804164,0.000922519
,
9804174,0.001309597
,
9901107,0.00021744
,
9902111,0.00066992
,
9903095,1.75E-06
,
9907157,5.42E-05
,
107165,0.001386711
,
12072,0.011907729
,
104136,0.010531605
,
105314,0.001417155
,
106235,0.001764263
,
107116,0.00509712
,
9701137,0.006018026
,
9808141,0.019594102
,
9810188,0.023999052
,
9903128,0.00037743
,
9906055,0.004112753
,
9908030,0.000449411
,
9605033,0.014521112
,
9710206,0.003602591
,
9811035,0.010306398
,
9902196,0.001632106
,
107166,0.014369514
,
1133,0.001309626
,
2103,0.002171959
,
4165,0.007428771
,
5067,0.013740051
,
6049,0.002278824
,
7024,0.014164044
,
7090,0.011007875
,
8142,0.028193737
,
8173,0.004797588
,
8230,0.004677786
,
8250,0.009877823
,
10091,0.003676384
,
11073,0.013639333
,
11089,0.012492369
,
11130,0.003649873
,
11256,0.013997491
,
11269,0.007094876
,
12156,0.008139037
,
12157,0.003721218
,
101096,0.017016702
,
101206,0.004303918
,
103115,0.014224648
,
103167,0.015113039
,
103177,0.005061617
,
105096,0.015644458
,
105155,0.011171069
,
105208,0.007454626
,
106026,0.004137179
,
106034,0.008489834
,
106040,0.011791552
,
106162,0.006159603
,
106177,0.017037835
,
107036,0.005329286
,
107138,0.008870664
,
107143,0.008856342
,
9410206,0.000515693
,
9503030,0.006536711
,
9508033,0.00030492
,
9511030,0.017270619
,
9602032,0.000569807
,
9603167,0.037377116
,
9605049,0.005095831
,
9606169,0.005920813
,
9610106,0.000500608
,
9701057,0.000387063
,
9704059,0.004076755
,
9704151,0.009911815
,
9704185,0.001422578
,
9705163,0.005318689
,
9706051,0.004101644
,
9706158,0.00172944
,
9708040,0.004151697
,
9710149,0.002454678
,
9711201,0.003092804
,
9801114,0.003532133
,
9802103,0.003262956
,
9803141,0.002890122
,
9804026,0.004542404
,
9804110,0.003361468
,
9805157,0.006401756
,
9806008,0.003322588
,
9806044,0.002671302
,
9806080,0.001968053
,
9807235,0.005291119
,
9808139,0.005238638
,
9812071,0.004984535
,
9812088,0.007930948
,
9903051,0.003588548
,
9905098,0.001915095
,
9907086,0.003205502
,
9908023,0.005822548
,
9908072,0.006072276
,
9908130,0.005428103
,
9909172,0.005201324
,
9911021,0.002197897
,
9911190,0.00214523
,
9912204,0.006132897
,
9409096,0.000120349
,
9409184,6.43E-06
,
9506006,0.000232654
,
9202046,0.000687032
,
9304104,0.001767326
,
9307171,0.000364885
,
9505080,0.000117646
,
9508073,0.000208724
,
9510009,0.000757173
,
9510094,0.000144133
,
9601036,0.005639706
,
9203025,0.000608755
,
9406132,0.000580765
,
9501131,0.000288969
,
9502077,0.002135253
,
9505098,0.001211669
,
9507162,0.000200051
,
9512034,0.000279101
,
9512155,0.002656744
,
9602045,0.002127231
,
9603074,0.00410747
,
9604112,0.000892434
,
9605170,0.000320477
,
9605221,0.000177124
,
9607138,0.000169234
,
9607144,0.001061086
,
9609027,0.000291847
,
9609137,0.000131328
,
9607137,8.28E-05
,
107167,0.016659691
,
1212,0.001450056
,
2190,0.005759315
,
3054,0.005280624
,
4057,0.002995549
,
5016,0.006695411
,
5217,0.01020034
,
6059,0.003692602
,
6215,0.006730229
,
8041,0.006570511
,
8054,0.007230114
,
8128,0.007103918
,
9022,0.007923119
,
9199,0.007494048
,
11111,0.016950482
,
11245,0.005577983
,
12049,0.005524821
,
102125,0.017930222
,
103031,0.017086891
,
9510017,0.069731625
,
9602070,0.013815148
,
9603133,0.006327615
,
9603142,0.02682004
,
9611213,0.004542677
,
9612128,0.009295459
,
9709093,0.000415827
,
9802183,0.033909919
,
9803015,0.024443032
,
9803076,0.010599176
,
9803086,0.008474737
,
9803214,0.006091745
,
9804092,0.003975011
,
9804184,0.017198962
,
9806091,0.001938706
,
9806143,0.001953335
,
9807082,0.002160311
,
9808048,0.001941209
,
9809147,0.005558251
,
9810010,0.003227041
,
9811193,0.002009759
,
9812163,0.002253184
,
9902080,0.000559458
,
9904007,0.000938349
,
9904211,0.000938349
,
9905033,0.000938349
,
9905137,0.002041816
,
107168,0.000511309
,
2009,0.001765257
,
6137,0.003858681
,
101029,0.007547633
,
103013,0.005193271
,
103179,0.004400568
,
106011,0.003124211
,
106016,0.000757753
,
9710191,0.001029056
,
107169,0.010819123
,
2145,0.009182616
,
12052,0.0176423
,
103171,0.027596897
,
104180,0.009518251
,
104181,0.008266524
,
105017,0.001313909
,
106201,0.025424106
,
9605016,0.010101724
,
9610068,0.004759569
,
9611175,0.003228752
,
9905177,0.011857398
,
9906022,0.014899831
,
9410215,0.001119712
,
9411187,0.006885801
,
9506200,0.005829437
,
9511064,0.007121926
,
9601177,0.010631779
,
9602051,0.014821488
,
9602065,0.007527589
,
9603060,0.007010833
,
9603061,0.007057376
,
9603109,0.010588782
,
9603195,0.004596435
,
9604042,0.009966745
,
9605091,0.005783556
,
9606031,0.002111908
,
9606185,0.0112271
,
9607149,0.00884604
,
9512031,0.00895393
,
9604166,0.011653351
,
9608108,0.006450171
,
9609076,0.006196991
,
9610172,0.008284579
,
107170,2.73E-49
,
7132,3.36E-49
,
107171,1.30E-06
,
10199,6.32E-05
,
107172,0.010486708
,
4147,0.01844545
,
7089,0.008845526
,
8013,0.01900185
,
8042,0.015801247
,
8075,0.021319586
,
8144,0.008789258
,
8205,0.014267286
,
9101,0.008347996
,
10122,0.013970517
,
10204,0.0103137
,
10258,0.000524581
,
11125,0.013468248
,
11131,0.023871696
,
11147,0.006731158
,
12145,0.013049835
,
12218,0.021458404
,
101016,0.01087638
,
102158,0.015361201
,
103124,0.014275592
,
104036,0.010357766
,
104045,0.006837529
,
104139,0.010553001
,
105139,0.007933684
,
105166,0.01129582
,
106024,0.006463825
,
106048,0.041828016
,
106121,0.005158629
,
106217,0.004966892
,
107087,0.006930408
,
107106,0.006299535
,
9510161,0.011252435
,
9601057,0.009240987
,
9603194,0.005009202
,
9611173,0.012434998
,
9710230,0.009103212
,
9711165,0.0371863
,
9802088,0.004091402
,
9805034,0.005962786
,
9809100,0.003638877
,
9811213,0.001804588
,
9901080,0.007186156
,
9904095,0.007355994
,
9907132,0.001231998
,
9907166,0.016974418
,
9908056,0.013831951
,
9908134,0.018729037
,
9908152,0.006939167
,
9909214,0.008591105
,
9910004,0.015173015
,
9910052,0.008134516
,
9910053,0.03754267
,
9911041,0.008545297
,
107173,0.014233931
,
2230,0.028399564
,
9501127,0.000671423
,
9806004,0.013259201
,
9806087,0.033085136
,
9808032,0.007318556
,
9812032,0.015995024
,
9910267,0.007487603
,
9609085,0.000921306
,
9709064,0.001070585
,
9711002,0.014907293
,
9802203,0.013615934
,
9803028,0.020128118
,
9803119,0.003041757
,
9803131,0.060974538
,
9803251,0.02457561
,
9804035,0.012480121
,
9804041,0.000158969
,
9804058,0.030217725
,
9804083,0.014973215
,
9804099,0.011403367
,
9804170,0.011086615
,
9805114,0.034670497
,
9805171,0.022282401
,
107174,0.001899229
,
1197,0.012727825
,
1206,0.011894728
,
3002,0.00202659
,
