,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz Centrality,Page-Rank.1,Percolation-Centrality,score
0,,,,,,,,,,,,,
1,11088.0,0.002862941,0.000202301,0.00862291,0.26922489,0.000128961,0.000128961,0.002862941,8.18e-05,0.26922489,8.18e-05,0.000202301,0.000224193
2,,,,,,,,,,,,,
3,9510148.0,0.002210625,9.7e-05,0.003733823,0.26291328,5.61e-05,5.61e-05,0.002210625,6.59e-05,0.26291328,6.59e-05,9.7e-05,0.000102539
4,,,,,,,,,,,,,
5,9611088.0,0.001232152,3.23e-05,0.003146959,0.262133855,4.73e-05,4.73e-05,0.001232152,3.85e-05,0.262133855,3.85e-05,3.23e-05,3.07e-05
6,,,,,,,,,,,,,
7,9510228.0,0.002029427,2.89e-05,0.004008186,0.26086281,6.02e-05,6.02e-05,0.002029427,5.91e-05,0.26086281,5.91e-05,2.89e-05,2.66e-05
8,,,,,,,,,,,,,
9,9602031.0,0.00159455,4.44e-05,0.002892077,0.257686421,4.34e-05,4.34e-05,0.00159455,4.98e-05,0.257686421,4.98e-05,4.44e-05,4.06e-05
10,,,,,,,,,,,,,
11,9603034.0,0.001268392,1.31e-05,0.00228617,0.250886467,3.44e-05,3.44e-05,0.001268392,3.94e-05,0.250886467,3.94e-05,1.31e-05,1.42e-05
12,,,,,,,,,,,,,
13,9607210.0,0.001848228,1.28e-05,0.002164794,0.244026513,3.25e-05,3.25e-05,0.001848228,5.41e-05,0.244026513,5.41e-05,1.28e-05,1.64e-05
14,,,,,,,,,,,,,
15,9608077.0,0.000507357,6.71e-07,0.00063553,0.233466498,9.56e-06,9.56e-06,0.000507357,1.88e-05,0.233466498,1.88e-05,6.71e-07,9.46e-07
16,,,,,,,,,,,,,
17,9611020.0,0.001123433,1.18e-05,0.002067816,0.251768218,3.11e-05,3.11e-05,0.001123433,3.49e-05,0.251768218,3.49e-05,1.18e-05,1.7e-05
18,,,,,,,,,,,,,
19,9611197.0,0.001630789,0.000232323,0.003573689,0.26553728,5.37e-05,5.37e-05,0.001630789,4.78e-05,0.26553728,4.78e-05,0.000232323,0.000285939
20,,,,,,,,,,,,,
21,9411149.0,0.012067841,0.005446254,0.020299021,0.290326552,0.000305434,0.000305434,0.012067841,0.00039873,0.290326552,0.00039873,0.005446254,0.005462001
22,,,,,,,,,,,,,
23,9503086.0,0.002899181,0.00011781,0.0055108,0.266403314,8.28e-05,8.28e-05,0.002899181,8.37e-05,0.266403314,8.37e-05,0.00011781,0.000111669
24,,,,,,,,,,,,,
25,9503121.0,0.004131333,0.000440817,0.013970766,0.270691025,0.000210612,0.000210612,0.004131333,0.000114762,0.270691025,0.000114762,0.000440817,0.000450748
26,,,,,,,,,,,,,
27,9503179.0,0.004385011,0.000225277,0.007203051,0.265597824,0.000108308,0.000108308,0.004385011,0.000124802,0.265597824,0.000124802,0.000225277,0.00023121
28,,,,,,,,,,,,,
29,9505004.0,0.003189099,0.00018392,0.006978613,0.274986297,0.000104925,0.000104925,0.003189099,9.24e-05,0.274986297,9.24e-05,0.00018392,0.000160023
30,,,,,,,,,,,,,
31,9505051.0,0.001993187,5.77e-05,0.003893279,0.26249341,5.85e-05,5.85e-05,0.001993187,5.94e-05,0.26249341,5.94e-05,5.77e-05,4.98e-05
32,,,,,,,,,,,,,
33,9505067.0,0.001630789,4.8e-05,0.003783446,0.2661995,5.69e-05,5.69e-05,0.001630789,5.03e-05,0.2661995,5.03e-05,4.8e-05,4.6e-05
34,,,,,,,,,,,,,
35,9505088.0,0.002174386,5.21e-05,0.005356087,0.265292751,8.05e-05,8.05e-05,0.002174386,6.07e-05,0.265292751,6.07e-05,5.21e-05,4.91e-05
36,,,,,,,,,,,,,
37,9506148.0,0.0030079,0.000127488,0.006190362,0.273654957,9.3e-05,9.3e-05,0.0030079,8.54e-05,0.273654957,8.54e-05,0.000127488,0.000120097
38,,,,,,,,,,,,,
39,9507018.0,0.002138146,4.99e-05,0.004003543,0.261759938,6.02e-05,6.02e-05,0.002138146,6.25e-05,0.261759938,6.25e-05,4.99e-05,4.43e-05
40,,,,,,,,,,,,,
41,9510135.0,0.017250127,0.008978019,0.041406859,0.310170586,0.000622651,0.000622651,0.017250127,0.000524719,0.310170586,0.000524719,0.008978019,0.008777565
42,,,,,,,,,,,,,
43,9602035.0,0.000833515,2.67e-05,0.001044116,0.240720176,1.57e-05,1.57e-05,0.000833515,2.95e-05,0.240720176,2.95e-05,2.67e-05,3e-05
44,,,,,,,,,,,,,
45,9605232.0,0.001195912,2.11e-05,0.003799685,0.269900217,5.71e-05,5.71e-05,0.001195912,3.58e-05,0.269900217,3.58e-05,2.11e-05,1.88e-05
46,,,,,,,,,,,,,
47,9609230.0,0.000543596,5.25e-08,0.001004427,0.233119126,1.51e-05,1.51e-05,0.000543596,1.9e-05,0.233119126,1.9e-05,5.25e-08,6.1e-08
48,,,,,,,,,,,,,
49,9610043.0,0.032108429,0.037090515,0.078242519,0.324947422,0.001176695,0.001176695,0.032108429,0.00104477,0.324947422,0.00104477,0.037090515,0.034677903
50,,,,,,,,,,,,,
51,9701020.0,0.000652316,3.92e-06,0.000927043,0.237323414,1.39e-05,1.39e-05,0.000652316,2.32e-05,0.237323414,2.32e-05,3.92e-06,5.1e-06
52,,,,,,,,,,,,,
53,9402044.0,0.00764659,0.00183844,0.010021188,0.277875426,0.000150744,0.000150744,0.00764659,0.000251685,0.277875426,0.000251685,0.00183844,0.001977732
54,,,,,,,,,,,,,
55,9403198.0,0.003913894,0.000185676,0.00439866,0.254586456,6.61e-05,6.61e-05,0.003913894,0.00011955,0.254586456,0.00011955,0.000185676,0.000237233
56,,,,,,,,,,,,,
57,9407106.0,0.002283105,3.36e-05,0.002978998,0.245252878,4.48e-05,4.48e-05,0.002283105,6.57e-05,0.245252878,6.57e-05,3.36e-05,4.41e-05
58,,,,,,,,,,,,,
59,9509066.0,0.006668116,0.003707613,0.009624754,0.28416184,0.000144803,0.000144803,0.006668116,0.000236657,0.28416184,0.000236657,0.003707613,0.00371072
60,,,,,,,,,,,,,
61,9603158.0,0.001630789,0.000158441,0.002273963,0.257310248,3.42e-05,3.42e-05,0.001630789,5.67e-05,0.257310248,5.67e-05,0.000158441,0.000177782
62,,,,,,,,,,,,,
63,9607200.0,0.001195912,6.91e-06,0.001638995,0.243273147,2.46e-05,2.46e-05,0.001195912,3.66e-05,0.243273147,3.66e-05,6.91e-06,9.34e-06
64,,,,,,,,,,,,,
65,9612207.0,0.002971661,8.77e-05,0.002859539,0.249039467,4.3e-05,4.3e-05,0.002971661,9.18e-05,0.249039467,9.18e-05,8.77e-05,0.000107077
66,,,,,,,,,,,,,
67,9701045.0,0.00155831,2.72e-05,0.004560509,0.256910533,6.85e-05,6.85e-05,0.00155831,4.32e-05,0.256910533,4.32e-05,2.72e-05,2.45e-05
68,,,,,,,,,,,,,
69,9407087.0,0.037906791,0.070352544,0.062805874,0.334255495,0.000944169,0.000944169,0.037906791,0.001391058,0.334255495,0.001391058,0.070352544,0.063452271
70,,,,,,,,,,,,,
71,9408099.0,0.028810611,0.024617773,0.048807363,0.317349509,0.000733662,0.000733662,0.028810611,0.00097655,0.317349509,0.00097655,0.024617773,0.021477028
72,,,,,,,,,,,,,
73,9408155.0,0.003261579,0.000118692,0.00428198,0.257964307,6.43e-05,6.43e-05,0.003261579,0.00010447,0.257964307,0.00010447,0.000118692,0.000158201
74,,,,,,,,,,,,,
75,9411048.0,0.008661303,0.001025562,0.019112624,0.283719487,0.000287144,0.000287144,0.008661303,0.000231335,0.283719487,0.000231335,0.001025562,0.000961579
76,,,,,,,,,,,,,
77,9411057.0,0.007429151,0.000547454,0.016792717,0.278823954,0.000252319,0.000252319,0.007429151,0.000196421,0.278823954,0.000196421,0.000547454,0.000507386
78,,,,,,,,,,,,,
79,9504080.0,0.001123433,2.04e-05,0.003717282,0.270063453,5.59e-05,5.59e-05,0.001123433,3.53e-05,0.270063453,3.53e-05,2.04e-05,1.89e-05
80,,,,,,,,,,,,,
81,9504102.0,0.003660216,3.39e-05,0.008203935,0.255879995,0.000123157,0.000123157,0.003660216,9.13e-05,0.255879995,9.13e-05,3.39e-05,3.82e-05
82,,,,,,,,,,,,,
83,9505062.0,0.004493731,0.000271408,0.011086894,0.271966003,0.000166792,0.000166792,0.004493731,0.000123773,0.271966003,0.000123773,0.000271408,0.000286341
84,,,,,,,,,,,,,
85,9505075.0,0.005907081,0.000134591,0.011680424,0.26322066,0.000175387,0.000175387,0.005907081,0.000151682,0.26322066,0.000151682,0.000134591,0.000143109
86,,,,,,,,,,,,,
87,9505100.0,0.005291005,9.22e-05,0.01075959,0.260305221,0.000161588,0.000161588,0.005291005,0.000135869,0.260305221,0.000135869,9.22e-05,0.000104295
88,,,,,,,,,,,,,
89,9507008.0,0.003623976,3.04e-05,0.008055263,0.253584043,0.000120924,0.000120924,0.003623976,8.94e-05,0.253584043,8.94e-05,3.04e-05,3.45e-05
90,,,,,,,,,,,,,
91,9507032.0,0.002391824,1.16e-05,0.006985025,0.265676837,0.000104862,0.000104862,0.002391824,6.08e-05,0.265676837,6.08e-05,1.16e-05,1.51e-05
92,,,,,,,,,,,,,
93,9509130.0,0.001304631,1.24e-05,0.004671795,0.270909995,7.02e-05,7.02e-05,0.001304631,3.91e-05,0.270909995,3.91e-05,1.24e-05,1.39e-05
94,,,,,,,,,,,,,
95,9509175.0,0.005291005,0.000135304,0.013304788,0.270866173,0.000199809,0.000199809,0.005291005,0.000130309,0.270866173,0.000130309,0.000135304,0.000149434
96,,,,,,,,,,,,,
97,9509176.0,0.00308038,1.78e-05,0.006754398,0.24863271,0.000101385,0.000101385,0.00308038,7.58e-05,0.24863271,7.58e-05,1.78e-05,2.1e-05
98,,,,,,,,,,,,,
99,9510222.0,0.002355585,9.41e-05,0.004344125,0.260502639,6.53e-05,6.53e-05,0.002355585,6.8e-05,0.260502639,6.8e-05,9.41e-05,0.000102937
100,,,,,,,,,,,,,
101,9511154.0,0.002717982,0.000165603,0.005689064,0.261908352,8.56e-05,8.56e-05,0.002717982,8.08e-05,0.261908352,8.08e-05,0.000165603,0.000179349
102,,,,,,,,,,,,,
103,9512140.0,0.000579836,1.85e-06,0.002526074,0.257659161,3.8e-05,3.8e-05,0.000579836,2.03e-05,0.257659161,2.03e-05,1.85e-06,1.17e-06
104,,,,,,,,,,,,,
105,9603002.0,0.001667029,1.82e-05,0.003447539,0.247857558,5.18e-05,5.18e-05,0.001667029,4.78e-05,0.247857558,4.78e-05,1.82e-05,2.13e-05
106,,,,,,,,,,,,,
107,9603042.0,0.002717982,0.000103462,0.004813395,0.257664117,7.23e-05,7.23e-05,0.002717982,7.89e-05,0.257664117,7.89e-05,0.000103462,0.000128758
108,,,,,,,,,,,,,
109,9603051.0,0.001848228,9.23e-06,0.005476532,0.263414757,8.23e-05,8.23e-05,0.001848228,4.94e-05,0.263414757,4.94e-05,9.23e-06,1.13e-05
110,,,,,,,,,,,,,
111,9607151.0,0.001377111,8.57e-06,0.004564062,0.262537138,6.86e-05,6.86e-05,0.001377111,3.77e-05,0.262537138,3.77e-05,8.57e-06,8.25e-06
112,,,,,,,,,,,,,
113,9608084.0,0.000253678,1.06e-06,0.000137409,0.211981477,2.06e-06,2.06e-06,0.000253678,1.65e-05,0.211981477,1.65e-05,1.06e-06,2.13e-06
114,,,,,,,,,,,,,
115,9608111.0,0.0030079,0.000272215,0.006793377,0.268012954,0.000102225,0.000102225,0.0030079,8.99e-05,0.268012954,8.99e-05,0.000272215,0.000289211
116,,,,,,,,,,,,,
117,9609059.0,0.002065666,2.59e-05,0.006012868,0.261089059,9.03e-05,9.03e-05,0.002065666,5.33e-05,0.261089059,5.33e-05,2.59e-05,2.5e-05
118,,,,,,,,,,,,,
119,9611049.0,0.000761035,1.24e-06,0.001857007,0.239493648,2.79e-05,2.79e-05,0.000761035,2.29e-05,0.239493648,2.29e-05,1.24e-06,1.59e-06
120,,,,,,,,,,,,,
121,9611097.0,0.000761035,1.03e-06,0.001640443,0.238374957,2.46e-05,2.46e-05,0.000761035,2.3e-05,0.238374957,2.3e-05,1.03e-06,1.21e-06
122,,,,,,,,,,,,,
123,9611152.0,0.000724795,8.69e-06,0.003319677,0.270126079,4.99e-05,4.99e-05,0.000724795,2.43e-05,0.270126079,2.43e-05,8.69e-06,8.18e-06
124,,,,,,,,,,,,,
125,9701009.0,0.001340871,8.02e-06,0.004097046,0.259066835,6.15e-05,6.15e-05,0.001340871,3.7e-05,0.259066835,3.7e-05,8.02e-06,7.31e-06
126,,,,,,,,,,,,,
127,9701191.0,0.001340871,2e-06,0.001699496,0.239249841,2.55e-05,2.55e-05,0.001340871,4.07e-05,0.239249841,4.07e-05,2e-06,2.95e-06
128,,,,,,,,,,,,,
129,9505006.0,0.0030079,0.000105923,0.00441872,0.258392228,6.64e-05,6.64e-05,0.0030079,8.59e-05,0.258392228,8.59e-05,0.000105923,0.000103524
130,,,,,,,,,,,,,
131,9605108.0,0.001050953,8.14e-06,0.000979087,0.235121984,1.47e-05,1.47e-05,0.001050953,3.7e-05,0.235121984,3.7e-05,8.14e-06,1.11e-05
132,,,,,,,,,,,,,
133,9605113.0,0.001630789,3.7e-05,0.003146334,0.257552655,4.73e-05,4.73e-05,0.001630789,5.06e-05,0.257552655,5.06e-05,3.7e-05,3.22e-05
134,,,,,,,,,,,,,
135,9606184.0,0.001195912,4.87e-06,0.001362311,0.241201283,2.05e-05,2.05e-05,0.001195912,3.87e-05,0.241201283,3.87e-05,4.87e-06,6.41e-06
136,,,,,,,,,,,,,
137,9607021.0,0.000869754,1.23e-05,0.001145931,0.24503082,1.72e-05,1.72e-05,0.000869754,2.92e-05,0.24503082,2.92e-05,1.23e-05,1.78e-05
138,,,,,,,,,,,,,
139,9608046.0,0.000724795,1.18e-06,0.000869641,0.235504333,1.31e-05,1.31e-05,0.000724795,2.63e-05,0.235504333,2.63e-05,1.18e-06,1.49e-06
140,,,,,,,,,,,,,
141,9609183.0,0.000543596,2.72e-07,0.000884393,0.236291528,1.33e-05,1.33e-05,0.000543596,1.99e-05,0.236291528,1.99e-05,2.72e-07,9.92e-07
142,,,,,,,,,,,,,
143,9610139.0,0.001920707,4.31e-05,0.002269016,0.249060303,3.41e-05,3.41e-05,0.001920707,5.85e-05,0.249060303,5.85e-05,4.31e-05,5.23e-05
144,,,,,,,,,,,,,
145,9702179.0,0.001014713,3.1e-06,0.001783657,0.248519701,2.68e-05,2.68e-05,0.001014713,3.14e-05,0.248519701,3.14e-05,3.1e-06,5.52e-06
146,,,,,,,,,,,,,
147,9711157.0,0.001739509,0.000393849,0.007434837,0.284014236,0.000111809,0.000111809,0.001739509,5.56e-05,0.284014236,5.56e-05,0.000393849,0.000380697
148,,,,,,,,,,,,,
149,9209016.0,0.001884468,7.33e-05,0.002547402,0.255779838,3.83e-05,3.83e-05,0.001884468,6.63e-05,0.255779838,6.63e-05,7.33e-05,8e-05
150,,,,,,,,,,,,,
151,9304154.0,0.006233239,0.004188961,0.007477659,0.280097801,0.000112488,0.000112488,0.006233239,0.000241881,0.280097801,0.000241881,0.004188961,0.003916308
152,,,,,,,,,,,,,
153,9305142.0,0.002391824,0.000140792,0.003326831,0.256676709,5e-05,5e-05,0.002391824,8.15e-05,0.256676709,8.15e-05,0.000140792,0.000150728
154,,,,,,,,,,,,,
155,9402032.0,0.00608828,0.002632525,0.010465752,0.285184201,0.000157399,0.000157399,0.00608828,0.000228169,0.285184201,0.000228169,0.002632525,0.00261061
156,,,,,,,,,,,,,
157,9410167.0,0.018772197,0.008983101,0.040425256,0.307610077,0.000608177,0.000608177,0.018772197,0.00056909,0.307610077,0.00056909,0.008983101,0.008211263
158,,,,,,,,,,,,,
159,9503124.0,0.027034863,0.019970351,0.057040924,0.31972785,0.000858193,0.000858193,0.027034863,0.000846707,0.31972785,0.000846707,0.019970351,0.018509295
160,,,,,,,,,,,,,
161,9503221.0,0.000108719,0.0,0.000136378,0.221688276,2.05e-06,2.05e-06,0.000108719,9.38e-06,0.221688276,9.38e-06,0.0,0.0
162,,,,,,,,,,,,,
163,9504113.0,0.00144959,0.000299192,0.005033396,0.273551576,7.57e-05,7.57e-05,0.00144959,5.05e-05,0.273551576,5.05e-05,0.000299192,0.000305572
164,,,,,,,,,,,,,
165,9505105.0,0.007537871,0.00075667,0.014161756,0.278175479,0.000212839,0.000212839,0.007537871,0.00020785,0.278175479,0.00020785,0.00075667,0.000694906
166,,,,,,,,,,,,,
167,9508143.0,0.008226426,0.001455533,0.018549158,0.287652082,0.000279092,0.000279092,0.008226426,0.000245601,0.287652082,0.000245601,0.001455533,0.001466382
168,,,,,,,,,,,,,
169,9510209.0,0.020946583,0.010399171,0.042350086,0.300314023,0.000637899,0.000637899,0.020946583,0.000631394,0.300314023,0.000631394,0.010399171,0.009537699
170,,,,,,,,,,,,,
171,9606045.0,0.000253678,2.46e-05,0.000131593,0.22431275,1.98e-06,1.98e-06,0.000253678,2e-05,0.22431275,2e-05,2.46e-05,2.89e-05
172,,,,,,,,,,,,,
173,9611050.0,0.017141408,0.011804062,0.041103171,0.313220184,0.000618361,0.000618361,0.017141408,0.000539658,0.313220184,0.000539658,0.011804062,0.011663197
174,,,,,,,,,,,,,
175,9611230.0,0.011777923,0.002473908,0.030649477,0.289626668,0.000461251,0.000461251,0.011777923,0.000310039,0.289626668,0.000310039,0.002473908,0.00236683
176,,,,,,,,,,,,,
177,9701012.0,0.000833515,0.000133164,0.002429844,0.261951885,3.65e-05,3.65e-05,0.000833515,3.78e-05,0.261951885,3.78e-05,0.000133164,0.000134466
178,,,,,,,,,,,,,
179,9701019.0,0.000724795,1.71e-05,0.002080316,0.253824286,3.13e-05,3.13e-05,0.000724795,2.74e-05,0.253824286,2.74e-05,1.71e-05,2.17e-05
180,,,,,,,,,,,,,
181,9701155.0,0.001232152,3.04e-05,0.001911581,0.244322484,2.87e-05,2.87e-05,0.001232152,3.96e-05,0.244322484,3.96e-05,3.04e-05,2.9e-05
182,,,,,,,,,,,,,
183,9702014.0,0.004964847,0.000325186,0.013262433,0.277340403,0.000199504,0.000199504,0.004964847,0.000124731,0.277340403,0.000124731,0.000325186,0.000312353
184,,,,,,,,,,,,,
185,9702094.0,0.001811988,0.000137068,0.003171208,0.263225832,4.77e-05,4.77e-05,0.001811988,6.57e-05,0.263225832,6.57e-05,0.000137068,0.000158704
186,,,,,,,,,,,,,
187,9703166.0,0.011777923,0.002249263,0.03445837,0.290856058,0.000518651,0.000518651,0.011777923,0.000307045,0.290856058,0.000307045,0.002249263,0.002126628
188,,,,,,,,,,,,,
189,9704104.0,0.004674929,0.00068868,0.01572723,0.293429949,0.000236514,0.000236514,0.004674929,0.000119292,0.293429949,0.000119292,0.00068868,0.000644671
190,,,,,,,,,,,,,
191,9705003.0,0.002138146,7.31e-05,0.003217501,0.24982437,4.84e-05,4.84e-05,0.002138146,6.44e-05,0.24982437,6.44e-05,7.31e-05,8e-05
192,,,,,,,,,,,,,
