Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz Centrality,Page-Rank,Percolation-Centrality,score
,,,,,,,,,,,,
11088,0.002862941,0.000202301,0.00862291,0.26922489,0.000128961,0.000128961,0.002862941,8.18E-05,0.26922489,8.18E-05,0.000202301,0.000224193
,,,,,,,,,,,,
9510148,0.002210625,9.70E-05,0.003733823,0.26291328,5.61E-05,5.61E-05,0.002210625,6.59E-05,0.26291328,6.59E-05,9.70E-05,0.000102539
,,,,,,,,,,,,
9611088,0.001232152,3.23E-05,0.003146959,0.262133855,4.73E-05,4.73E-05,0.001232152,3.85E-05,0.262133855,3.85E-05,3.23E-05,3.07E-05
,,,,,,,,,,,,
9510228,0.002029427,2.89E-05,0.004008186,0.26086281,6.02E-05,6.02E-05,0.002029427,5.91E-05,0.26086281,5.91E-05,2.89E-05,2.66E-05
,,,,,,,,,,,,
9602031,0.00159455,4.44E-05,0.002892077,0.257686421,4.34E-05,4.34E-05,0.00159455,4.98E-05,0.257686421,4.98E-05,4.44E-05,4.06E-05
,,,,,,,,,,,,
9603034,0.001268392,1.31E-05,0.00228617,0.250886467,3.44E-05,3.44E-05,0.001268392,3.94E-05,0.250886467,3.94E-05,1.31E-05,1.42E-05
,,,,,,,,,,,,
9607210,0.001848228,1.28E-05,0.002164794,0.244026513,3.25E-05,3.25E-05,0.001848228,5.41E-05,0.244026513,5.41E-05,1.28E-05,1.64E-05
,,,,,,,,,,,,
9608077,0.000507357,6.71E-07,0.00063553,0.233466498,9.56E-06,9.56E-06,0.000507357,1.88E-05,0.233466498,1.88E-05,6.71E-07,9.46E-07
,,,,,,,,,,,,
9611020,0.001123433,1.18E-05,0.002067816,0.251768218,3.11E-05,3.11E-05,0.001123433,3.49E-05,0.251768218,3.49E-05,1.18E-05,1.70E-05
,,,,,,,,,,,,
9611197,0.001630789,0.000232323,0.003573689,0.26553728,5.37E-05,5.37E-05,0.001630789,4.78E-05,0.26553728,4.78E-05,0.000232323,0.000285939
,,,,,,,,,,,,
9411149,0.012067841,0.005446254,0.020299021,0.290326552,0.000305434,0.000305434,0.012067841,0.00039873,0.290326552,0.00039873,0.005446254,0.005462001
,,,,,,,,,,,,
