Id,score
,
11088,0.000224193
,
9510148,0.000102539
,
9611088,3.07E-05
,
9510228,2.66E-05
,
9602031,4.06E-05
,
9603034,1.42E-05
,
9607210,1.64E-05
,
9608077,9.46E-07
,
9611020,1.70E-05
,
9611197,0.000285939
,
9411149,0.005462001
,
9503086,0.000111669
,
9503121,0.000450748
,
9503179,0.00023121
,
9505004,0.000160023
,
9505051,4.98E-05
,
9505067,4.60E-05
,
9505088,4.91E-05
,
9506148,0.000120097
,
9507018,4.43E-05
,
9510135,0.008777565
,
9602035,3.00E-05
,
9605232,1.88E-05
,
9609230,6.10E-08
,
9610043,0.034677903
,
9701020,5.10E-06
,
9402044,0.001977732
,
9403198,0.000237233
,
9407106,4.41E-05
,
9509066,0.00371072
,
9603158,0.000177782
,
9607200,9.34E-06
,
9612207,0.000107077
,
9701045,2.45E-05
,
9407087,0.063452271
,
9408099,0.021477028
,
9408155,0.000158201
,
9411048,0.000961579
,
9411057,0.000507386
,
9504080,1.89E-05
,
9504102,3.82E-05
,
9505062,0.000286341
,
9505075,0.000143109
,
9505100,0.000104295
,
9507008,3.45E-05
,
9507032,1.51E-05
,
9509130,1.39E-05
,
9509175,0.000149434
,
9509176,2.10E-05
,
9510222,0.000102937
,
9511154,0.000179349
,
9512140,1.17E-06
,
9603002,2.13E-05
,
9603042,0.000128758
,
9603051,1.13E-05
,
9607151,8.25E-06
,
9608084,2.13E-06
,
9608111,0.000289211
,
9609059,2.50E-05
,
9611049,1.59E-06
,
9611097,1.21E-06
,
9611152,8.18E-06
,
9701009,7.31E-06
,
9701191,2.95E-06
,
9505006,0.000103524
,
9605108,1.11E-05
,
9605113,3.22E-05
,
9606184,6.41E-06
,
9607021,1.78E-05
,
9608046,1.49E-06
,
9609183,9.92E-07
,
9610139,5.23E-05
,
9702179,5.52E-06
,
9711157,0.000380697
,
9209016,8.00E-05
,
9304154,0.003916308
,
9305142,0.000150728
,
9402032,0.00261061
,
9410167,0.008211263
,
9503124,0.018509295
,
9503221,0
,
9504113,0.000305572
,
9505105,0.000694906
,
9508143,0.001466382
,
9510209,0.009537699
,
9606045,2.89E-05
,
9611050,0.011663197
,
9611230,0.00236683
,
9701012,0.000134466
,
9701019,2.17E-05
,
9701155,2.90E-05
,
9702014,0.000312353
,
9702094,0.000158704
,
9703166,0.002126628
,
9704104,0.000644671
,
9705003,8.00E-05
,
9708078,3.45E-05
,
9708134,2.51E-05
,
9712010,4.26E-06
,
9712116,1.99E-06
,
9506098,0.000515494
,
9506139,0.000362697
,
9506196,1.06E-05
,
9710105,4.68E-05
,
9801173,0.00010827
,
9503163,0.00020613
,
9505035,0.001250114
,
9507169,5.83E-05
,
9509161,0.0002828
,
9511118,4.11E-05
,
9511180,4.22E-06
,
9512005,9.75E-06
,
9606043,4.21E-06
,
9609041,0.000452349
,
9609145,3.58E-05
,
9610156,0.000374101
,
9701055,4.59E-05
,
9704067,1.99E-05
,
9706076,1.60E-05
,
9707071,5.90E-06
,
9710001,3.00E-05
,
9801187,6.88E-07
,
9602180,3.23E-05
,
9702059,2.76E-06
,
9709081,8.63E-06
,
9802092,3.37E-05
,
9410203,0.000248155
,
9506084,6.04E-05
,
9703159,3.60E-06
,
9704114,0.000248256
,
9801007,6.14E-07
,
9801207,9.07E-05
,
9803087,3.72E-06
,
9710024,1.79E-05
,
9804061,5.81E-05
,
9803139,1.37E-05
,
9808125,9.36E-06
,
9606139,0.0007262
,
9703051,2.65E-05
,
9704043,6.64E-05
,
9707027,1.56E-05
,
9708118,0.000258739
,
9802067,0.001053343
,
9812015,4.41E-08
,
9812155,2.92E-06
,
