Id,Degree-Centrality
9306112,7.64E-05
9306115,3.82E-05
9306116,3.82E-05
9306117,0.000343629
9306118,0.000114543
9306119,0.000152724
9306120,0.000152724
9306122,0.000305448
9306123,7.64E-05
9306125,0.000114543
9306129,3.82E-05
9306130,0.000152724
9306131,0.000152724
9306132,0.000458173
9306134,0.000152724
9306135,0.000114543
9306137,3.82E-05
9306139,7.64E-05
9306140,0.000114543
9306141,0.000229086
9306142,3.82E-05
9306144,3.82E-05
9306145,0.000419992
9306146,0.000458173
9306147,0.000419992
9306148,0.000114543
9306149,3.82E-05
9306150,0.000152724
9306152,3.82E-05
9306153,0.002634493
9306154,0.000229086
9306155,3.82E-05
9306156,0.000305448
9306157,0.000152724
9306161,0.000305448
9306162,0.000458173
9306163,0.000343629
9306164,0.000114543
9307001,0.000649078
9307002,0.000114543
9307003,7.64E-05
9307007,7.64E-05
9307008,0.000190905
9307009,3.82E-05
9307010,0.000763621
9307011,0.000114543
9307012,7.64E-05
9307013,0.000190905
9307015,0.000305448
9307016,3.82E-05
9307017,0.000114543
9307018,3.82E-05
9307022,7.64E-05
9307023,3.82E-05
9307024,7.64E-05
9307025,0.000152724
9307027,0.000229086
9307029,3.82E-05
9307030,0.000152724
9307031,0.000267267
9307032,3.82E-05
9307033,7.64E-05
9307034,7.64E-05
9307035,0.000305448
9307036,0.000572716
9307037,0.000114543
9307038,0.000419992
9307039,0.000381811
9307040,0.000190905
9307042,0.000190905
9307043,0.000114543
9307045,0.000649078
9307046,0.000267267
9307047,3.82E-05
9307048,0.000229086
9307049,0.001909053
9307050,0.000267267
9307052,0.000419992
9307053,0.000114543
9307054,0.000343629
9307055,3.82E-05
9307056,0.000267267
9307057,7.64E-05
9307059,0.000267267
9307061,3.82E-05
9307063,0.000343629
9307064,0.000114543
9307065,0.000190905
9307066,7.64E-05
9307067,3.82E-05
9307068,3.82E-05
9307069,3.82E-05
9307071,0.000152724
9307072,3.82E-05
9307073,7.64E-05
9307074,0.000305448
9307075,7.64E-05
9307076,0.000114543
9307079,0.000152724
9307080,3.82E-05
9307083,3.82E-05
9307085,0.000229086
9307086,7.64E-05
9307087,0.000190905
9307089,3.82E-05
9307091,0.000229086
9307092,0.000190905
9307093,3.82E-05
9307095,3.82E-05
9307097,7.64E-05
9307099,0.000152724
9307101,0.000152724
9307102,7.64E-05
9307103,3.82E-05
9307104,0.000152724
9307106,0.000229086
9307107,0.000229086
9307108,0.00072544
9307109,0.000114543
9307110,3.82E-05
9307111,0.000954526
9307112,3.82E-05
1001,0.000229086
9307113,3.82E-05
9307115,0.000229086
9307116,0.000305448
1002,0.000458173
9307118,0.000190905
9307119,3.82E-05
1008,3.82E-05
9307120,0.000114543
1010,0.000190905
9307123,0.000267267
1012,0.000801802
1013,0.000267267
9307124,3.82E-05
9307126,0.000229086
1014,3.82E-05
1017,7.64E-05
9307129,7.64E-05
1019,0.000152724
1016,0.000229086
9307125,3.82E-05
9307128,3.82E-05
1023,0.000114543
9307136,0.000114543
1024,0.000534535
1025,0.000343629
1027,0.00106907
9307140,0.000152724
1029,7.64E-05
9307139,0.000114543
9307143,0.000496354
1032,0.00072544
1033,0.002061777
9307145,0.000229086
9307147,0.000458173
1035,0.00106907
1037,0.00072544
9307148,0.000114543
9307151,0.000114543
1039,0.000114543
1041,0.000419992
1042,3.82E-05
9307155,0.000419992
9307154,0.000267267
9307157,0.000114543
9307158,0.001107251
9307159,0.000114543
9307160,0.000229086
1049,0.000229086
1048,3.82E-05
1050,0.000114543
1046,3.82E-05
1053,0.002214501
1054,0.000152724
1055,0.000572716
9307168,0.000992707
9307169,0.000305448
9307170,0.000305448
9307171,0.000572716
1056,0.000496354
9307173,0.000267267
9307174,0.000687259
9307175,0.000343629
9307176,0.000229086
1063,0.000305448
9307177,0.000419992
9307179,3.82E-05
1068,0.000381811
9307181,0.000114543
9307180,0.000267267
1071,0.001603604
9307183,0.000190905
1066,0.000190905
9307186,0.000305448
1074,7.64E-05
1076,3.82E-05
1077,0.000114543
9307190,0.000343629
9307189,7.64E-05
9307185,0.000229086
9307188,3.82E-05
9307194,0.000305448
1083,0.000190905
1084,0.002023596
1082,0.000801802
9307197,0.000114543
9307195,0.000152724
9307196,0.000687259
1085,0.000152724
1089,0.000267267
1086,3.82E-05
1092,0.000878164
1093,3.82E-05
1090,7.64E-05
1091,3.82E-05
1088,3.82E-05
1097,0.000114543
1098,3.82E-05
1095,3.82E-05
1100,3.82E-05
1101,3.82E-05
1102,3.82E-05
1103,0.000458173
1096,3.82E-05
1105,0.000114543
1106,0.000229086
1107,0.000343629
1108,3.82E-05
1109,3.82E-05
1110,3.82E-05
1111,0.000190905
1112,0.000229086
1113,0.002825398
1114,7.64E-05
1115,3.82E-05
1118,0.000190905
1119,3.82E-05
1121,3.82E-05
1122,0.000419992
1123,0.000114543
1124,7.64E-05
1125,3.82E-05
1126,0.000305448
1127,0.000114543
1128,0.000152724
1129,0.000152724
1130,7.64E-05
1131,0.000381811
1132,0.000649078
1133,0.000267267
1134,7.64E-05
1135,0.000114543
1136,3.82E-05
1137,0.000190905
1138,0.000458173
1140,7.64E-05
1141,3.82E-05
1143,0.000496354
1144,0.000305448
1145,0.000305448
1149,3.82E-05
1150,3.82E-05
1151,7.64E-05
1152,3.82E-05
1155,3.82E-05
1156,3.82E-05
1157,3.82E-05
1158,3.82E-05
1159,0.001221794
1160,7.64E-05
1161,7.64E-05
1162,3.82E-05
1163,3.82E-05
1164,0.000114543
1165,7.64E-05
1166,0.000152724
1167,0.000610897
1168,0.000152724
1169,0.000152724
1170,0.000152724
1171,3.82E-05
1172,3.82E-05
1173,7.64E-05
1174,7.64E-05
1175,7.64E-05
1176,7.64E-05
1177,0.000190905
1178,0.000267267
1179,7.64E-05
1180,0.000229086
1181,3.82E-05
1182,0.000801802
1183,0.000305448
1184,0.000458173
1185,0.000114543
1186,3.82E-05
1188,0.000229086
1189,0.000114543
1190,0.000114543
1192,0.001221794
1193,0.000267267
1195,7.64E-05
1197,0.003283571
1198,0.000152724
1199,0.000496354
1200,0.000534535
1201,0.001183613
1202,0.000190905
1203,0.001221794
1204,0.000649078
1205,0.000267267
1206,0.00290176
1207,3.82E-05
1208,3.82E-05
1209,0.000419992
1210,7.64E-05
1211,0.000229086
1212,0.000381811
1213,0.000419992
1214,7.64E-05
1215,0.001145432
1216,0.000305448
1217,0.000114543
1218,3.82E-05
1221,3.82E-05
1222,7.64E-05
9509113,0.000152724
9509114,7.64E-05
9509122,3.82E-05
9509125,0.000114543
9509128,3.82E-05
9509129,3.82E-05
9509131,3.82E-05
9509132,0.001030888
9509134,0.000458173
9509136,0.000267267
9509138,7.64E-05
9509144,3.82E-05
9509150,7.64E-05
9509154,7.64E-05
9509157,3.82E-05
9701001,3.82E-05
9701002,7.64E-05
9701003,7.64E-05
9701004,0.000114543
9701005,0.000190905
9509159,0.000152724
9701006,3.82E-05
9701008,0.000534535
9701009,0.000916345
9701010,0.000114543
9701011,0.000419992
9701012,0.000534535
9701013,0.000114543
9701014,0.000572716
