Id,EigenVector-centrality
9306112,6.12E-46
9306115,4.82E-48
9306116,4.82E-48
9306117,4.82E-48
9306118,4.82E-48
9306119,3.09E-46
9306120,4.82E-48
9306122,3.09E-46
9306123,3.09E-46
9306125,6.12E-46
9306129,4.82E-48
9306130,3.09E-46
9306131,4.82E-48
9306132,4.82E-48
9306134,3.09E-46
9306135,3.09E-46
9306137,4.82E-48
9306139,4.82E-48
9306140,6.12E-46
9306141,1.22E-45
9306142,4.82E-48
9306144,4.82E-48
9306145,4.82E-48
9306146,9.16E-46
9306147,3.09E-46
9306148,4.82E-48
9306149,4.82E-48
9306150,4.82E-48
9306152,4.82E-48
9306153,3.76E-43
9306154,3.09E-46
9306155,4.82E-48
9306156,3.56E-24
9306157,4.82E-48
9306161,4.82E-48
9306162,2.04E-44
9306163,6.12E-46
9306164,4.82E-48
9307001,4.82E-48
9307002,6.12E-46
9307003,4.82E-48
9307007,1.33E-28
9307008,1.33E-28
9307009,4.82E-48
9307010,4.82E-48
9307011,4.82E-48
9307012,4.82E-48
9307013,4.82E-48
9307015,1.02E-42
9307016,3.09E-46
9307017,6.12E-46
9307018,4.82E-48
9307022,3.09E-46
9307023,4.82E-48
9307024,3.09E-46
9307025,1.78E-28
9307027,3.09E-46
9307029,4.82E-48
9307030,4.82E-48
9307031,6.23E-43
9307032,4.82E-48
9307033,4.82E-48
9307034,4.82E-48
9307035,3.09E-46
9307036,4.82E-48
9307037,4.82E-48
9307038,4.82E-48
9307039,1.98E-44
9307040,4.82E-48
9307042,3.09E-46
9307043,6.12E-46
9307045,4.82E-48
9307046,2.11E-43
9307047,4.82E-48
9307048,4.82E-48
9307049,2.89E-44
9307050,1.00E-44
9307052,4.07E-44
9307053,1.03E-44
9307054,2.13E-45
9307055,4.82E-48
9307056,2.21E-43
9307057,4.82E-48
9307059,6.12E-43
9307061,4.82E-48
9307063,1.22E-45
9307064,9.16E-46
9307065,1.22E-45
9307066,4.82E-48
9307067,4.82E-48
9307068,4.82E-48
9307069,4.82E-48
9307071,3.09E-46
9307072,3.09E-46
9307073,6.68E-42
9307074,1.12E-44
9307075,4.82E-48
9307076,6.12E-46
9307079,3.09E-46
9307080,4.82E-48
9307083,4.82E-48
9307085,4.82E-48
9307086,4.45E-29
9307087,6.12E-46
9307089,4.82E-48
9307091,1.22E-45
9307092,6.12E-46
9307093,4.82E-48
9307095,4.82E-48
9307097,3.09E-46
9307099,4.82E-48
9307101,6.12E-46
9307102,4.82E-48
9307103,3.09E-46
9307104,3.09E-46
9307106,6.12E-46
9307107,9.16E-46
9307108,3.09E-46
9307109,3.09E-46
9307110,4.82E-48
9307111,4.82E-48
9307112,4.82E-48
1001,4.82E-48
9307113,4.82E-48
9307115,1.03E-44
9307116,1.52E-45
1002,4.82E-48
9307118,4.82E-48
9307119,4.82E-48
1008,4.82E-48
9307120,4.82E-48
1010,4.82E-48
9307123,9.16E-46
1012,4.82E-48
1013,4.82E-48
9307124,3.09E-46
9307126,2.92E-44
1014,4.82E-48
1017,4.82E-48
9307129,6.12E-46
1019,4.82E-48
1016,4.82E-48
9307125,4.82E-48
9307128,3.09E-46
1023,4.82E-48
9307136,3.09E-46
1024,4.82E-48
1025,4.82E-48
1027,4.82E-48
9307140,6.12E-46
1029,4.82E-48
9307139,4.82E-48
9307143,3.19E-44
1032,4.82E-48
1033,4.82E-48
9307145,4.80E-44
9307147,5.89E-44
1035,4.82E-48
1037,4.82E-48
9307148,9.73E-45
9307151,6.12E-46
1039,4.82E-48
1041,4.82E-48
1042,4.82E-48
9307155,4.82E-48
9307154,2.92E-44
9307157,6.12E-46
9307158,1.94E-44
9307159,6.12E-46
9307160,1.00E-44
1049,4.82E-48
1048,4.82E-48
1050,4.82E-48
1046,4.82E-48
1053,4.82E-48
1054,4.82E-48
1055,4.82E-48
9307168,4.82E-48
9307169,6.12E-46
9307170,6.32E-43
9307171,1.06E-44
1056,4.82E-48
9307173,1.83E-45
9307174,4.82E-48
9307175,1.98E-44
9307176,1.22E-45
1063,4.82E-48
9307177,8.32E-41
9307179,3.09E-46
1068,4.82E-48
9307181,6.12E-46
9307180,3.95E-44
1071,4.82E-48
9307183,4.82E-48
1066,4.82E-48
9307186,3.09E-46
1074,4.82E-48
1076,4.82E-48
1077,4.82E-48
9307190,3.11E-28
9307189,4.82E-48
9307185,6.12E-46
9307188,4.82E-48
9307194,1.66E-40
1083,4.82E-48
1084,4.82E-48
1082,4.82E-48
9307197,6.12E-46
9307195,9.73E-45
9307196,3.09E-46
1085,4.82E-48
1089,4.82E-48
1086,4.82E-48
1092,4.82E-48
1093,4.82E-48
1090,4.82E-48
1091,4.82E-48
1088,4.82E-48
1097,4.82E-48
1098,4.82E-48
1095,4.82E-48
1100,4.82E-48
1101,4.82E-48
1102,4.82E-48
1103,4.82E-48
1096,4.82E-48
1105,4.82E-48
1106,4.82E-48
1107,4.82E-48
1108,4.82E-48
1109,4.82E-48
1110,4.82E-48
1111,4.82E-48
1112,4.82E-48
1113,4.82E-48
1114,4.82E-48
1115,4.82E-48
1118,4.82E-48
1119,4.82E-48
1121,4.82E-48
1122,4.82E-48
1123,4.82E-48
1124,4.82E-48
1125,4.82E-48
1126,4.82E-48
1127,4.82E-48
1128,4.82E-48
1129,4.82E-48
1130,4.82E-48
1131,4.82E-48
1132,4.82E-48
1133,4.82E-48
1134,4.82E-48
1135,4.82E-48
1136,4.82E-48
1137,4.82E-48
1138,4.82E-48
1140,4.82E-48
1141,4.82E-48
1143,4.82E-48
1144,4.82E-48
1145,4.82E-48
1149,4.82E-48
1150,4.82E-48
1151,4.82E-48
1152,4.82E-48
1155,4.82E-48
1156,4.82E-48
1157,4.82E-48
1158,4.82E-48
1159,4.82E-48
1160,4.82E-48
1161,4.82E-48
1162,4.82E-48
1163,4.82E-48
1164,4.82E-48
1165,4.82E-48
1166,4.82E-48
1167,4.82E-48
1168,4.82E-48
1169,4.82E-48
1170,4.82E-48
1171,4.82E-48
1172,4.82E-48
1173,4.82E-48
1174,4.82E-48
1175,4.82E-48
1176,4.82E-48
1177,4.82E-48
1178,4.82E-48
1179,4.82E-48
1180,4.82E-48
1181,4.82E-48
1182,4.82E-48
1183,4.82E-48
1184,4.82E-48
1185,4.82E-48
1186,4.82E-48
1188,4.82E-48
1189,4.82E-48
1190,4.82E-48
1192,4.82E-48
1193,4.82E-48
1195,4.82E-48
1197,4.82E-48
1198,4.82E-48
1199,4.82E-48
1200,4.82E-48
1201,4.82E-48
1202,4.82E-48
1203,4.82E-48
1204,4.82E-48
1205,4.82E-48
1206,4.82E-48
1207,4.82E-48
1208,4.82E-48
1209,4.82E-48
1210,4.82E-48
1211,4.82E-48
1212,4.82E-48
1213,4.82E-48
1214,4.82E-48
1215,4.82E-48
1216,4.82E-48
1217,4.82E-48
1218,4.82E-48
1221,4.82E-48
1222,4.82E-48
9509113,4.12E-43
9509114,3.09E-46
9509122,2.01E-43
9509125,4.82E-48
9509128,3.09E-46
9509129,4.82E-48
9509131,4.82E-48
9509132,7.27E-40
9509134,5.03E-41
9509136,6.04E-43
9509138,1.94E-44
9509144,4.82E-48
9509150,4.82E-48
9509154,1.91E-44
9509157,4.82E-48
9701001,9.73E-45
9701002,5.92E-41
9701003,3.09E-46
9701004,6.12E-46
9701005,4.82E-48
9509159,4.82E-48
9701006,3.79E-40
9701008,4.82E-48
9701009,2.22E-27
9701010,4.82E-48
9701011,1.01E-24
9701012,3.07E-44
9701013,9.73E-45
9701014,4.82E-48
9701015,7.92E-35
9701007,4.82E-48
9701017,2.22E-28
9701018,4.82E-48
9701019,4.82E-48
9701020,8.61E-29
9701021,3.09E-46
9701022,1.51E-41
9701023,4.82E-48
9701024,6.12E-46
9701025,4.82E-48
9701026,4.82E-48
9701027,6.12E-46
9701028,4.82E-48
9701029,3.09E-46
9509164,3.09E-46
9701032,3.11E-42
9701033,4.82E-48
9701034,5.85E-41
9701035,2.44E-45
9701037,2.41E-25
9701039,4.82E-48
9509166,9.62E-42
9701041,4.82E-48
9701042,4.82E-48
9701043,6.97E-31
9701044,4.82E-48
9701045,4.45E-27
9701040,4.82E-48
9701047,4.82E-48
9701048,9.12E-32
9701049,4.82E-48
9701050,3.09E-46
9509168,3.09E-46
9701052,1.11E-27
9701053,6.77E-22
9701054,1.56E-35
9701055,8.35E-33
9509169,6.12E-46
9701057,3.67E-26
9701058,4.82E-48
9701059,1.31E-37
9701060,2.02E-43
9701061,4.82E-48
9701062,4.96E-34
9701056,3.89E-44
9701064,3.09E-46
9701065,4.82E-48
9701066,1.00E-44
9701063,4.82E-48
9701067,4.82E-48
9701069,4.82E-48
9701071,8.04E-43
9701072,4.82E-48
9701073,4.13E-38
9701074,6.12E-46
9701075,4.82E-48
9701076,5.68E-41
9701077,4.84E-24
9701078,4.85E-40
9701079,9.73E-45
9701080,1.26E-38
9701081,3.68E-38
9701082,4.82E-48
9701083,4.82E-48
9701084,3.86E-44
9701085,4.82E-48
9701087,4.82E-48
9701088,5.25E-22
9701090,3.09E-46
9701091,4.82E-48
9701092,5.36E-22
9701093,4.82E-48
9701094,4.03E-33
9701095,1.36E-22
9701096,9.16E-46
9701097,2.00E-27
9701098,6.12E-46
9701099,5.93E-36
9701100,6.99E-41
9701101,1.05E-42
9701102,1.26E-38
9701103,2.53E-41
9701104,4.41E-43
9701105,4.82E-48
9701106,6.67E-39
9701107,4.82E-48
9701108,3.69E-42
9701109,1.00E-44
9701111,3.09E-46
