,Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-centrality,Page-Rank,Percolation-Centrality,score
0,9306112.0,1.43e-09,0.0,7.64e-05,7.64e-05,0.0,6.12e-46,2.0,0.0,0.001057949,0.0,1.62e-05,0.0,42444400000000.0
1,9306115.0,0.0,0.0,0.0,3.82e-05,3.82e-05,4.82e-48,0.0,7.03e-24,0.000881624,0.0,1.31e-05,0.0,254540000000000.0
2,9306116.0,0.0,0.0,0.0,3.82e-05,3.82e-05,4.82e-48,0.0,1.49e-23,0.000881624,0.0,1.31e-05,0.0,42444400000000.0
3,9306117.0,0.0,0.0,0.0,0.000343629,0.000343629,4.82e-48,0.0,1.48e-08,0.000881624,0.0,1.31e-05,0.0,84888900000000.0
4,9306118.0,0.0,0.0,0.0,0.000114543,0.000114543,4.82e-48,0.0,1.24e-08,0.000881624,0.0,1.31e-05,0.0,42444400000000.0
5,9306119.0,1.54e-09,3.64e-10,3.82e-05,0.000152724,0.000114543,3.09e-46,1.0,4.28e-09,0.000969787,3.64e-10,1.47e-05,3.64e-10,42444400000000.0
6,9306120.0,0.0,0.0,0.0,0.000152724,0.000152724,4.82e-48,0.0,4.2e-08,0.000881624,0.0,1.31e-05,0.0,42444400000000.0
7,9306122.0,2.94e-06,2.99e-07,3.82e-05,0.000305448,0.000267267,3.09e-46,1.0,2.35e-05,0.000969787,3e-07,1.33e-05,2.99e-07,84888900000000.0
8,9306123.0,-3.01e-22,1.46e-09,3.82e-05,7.64e-05,3.82e-05,3.09e-46,1.0,4.29e-24,0.000969787,1.46e-09,2.42e-05,1.46e-09,42444400000000.0
9,9306125.0,4.65e-06,1.34e-07,7.64e-05,0.000114543,3.82e-05,6.12e-46,2.0,1.11e-07,0.001057949,1.35e-07,1.38e-05,1.34e-07,42444400000000.0
10,9306129.0,0.0,0.0,0.0,3.82e-05,3.82e-05,4.82e-48,0.0,1.92e-08,0.000881624,0.0,1.31e-05,0.0,42444400000000.0
11,9306130.0,-1.4999999999999997e-23,3.64e-09,3.82e-05,0.000152724,0.000114543,3.09e-46,1.0,1.5099999999999998e-23,0.000969787,3.64e-09,1.53e-05,3.64e-09,42444400000000.0
12,9306131.0,0.0,0.0,0.0,0.000152724,0.000152724,4.82e-48,0.0,3.29e-12,0.000881624,0.0,1.31e-05,0.0,169693000000000.0
13,9306132.0,0.0,0.0,0.0,0.000458173,0.000458173,4.82e-48,0.0,2.32e-09,0.000881624,0.0,1.31e-05,0.0,509081000000000.0
14,9306134.0,4.06e-10,8.3e-07,3.82e-05,0.000152724,0.000114543,3.09e-46,1.0,4.99e-09,0.000969787,4.24e-07,1.49e-05,8.3e-07,42444400000000.0
15,9306135.0,3.3e-08,2.41e-06,3.82e-05,0.000114543,7.64e-05,3.09e-46,1.0,2.26e-08,0.000969787,2.41e-06,1.87e-05,2.41e-06,1360000000000000.0
