Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-centrality,Page-Rank,Percolation-Centrality,score
9306112,1.43E-09,0,7.64E-05,7.64E-05,0,6.12E-46,2,0,0.001057949,0,1.62E-05,0,4.24444E+13
9306115,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,7.03E-24,0.000881624,0,1.31E-05,0,2.5454E+14
9306116,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.49E-23,0.000881624,0,1.31E-05,0,4.24444E+13
9306117,0,0,0,0.000343629,0.000343629,4.82E-48,0,1.48E-08,0.000881624,0,1.31E-05,0,8.48889E+13
9306118,0,0,0,0.000114543,0.000114543,4.82E-48,0,1.24E-08,0.000881624,0,1.31E-05,0,4.24444E+13
9306119,1.54E-09,3.64E-10,3.82E-05,0.000152724,0.000114543,3.09E-46,1,4.28E-09,0.000969787,3.64E-10,1.47E-05,3.64E-10,4.24444E+13
9306120,0,0,0,0.000152724,0.000152724,4.82E-48,0,4.20E-08,0.000881624,0,1.31E-05,0,4.24444E+13
9306122,2.94E-06,2.99E-07,3.82E-05,0.000305448,0.000267267,3.09E-46,1,2.35E-05,0.000969787,3.00E-07,1.33E-05,2.99E-07,8.48889E+13
9306123,-3.01E-22,1.46E-09,3.82E-05,7.64E-05,3.82E-05,3.09E-46,1,4.29E-24,0.000969787,1.46E-09,2.42E-05,1.46E-09,4.24444E+13
9306125,4.65E-06,1.34E-07,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,1.11E-07,0.001057949,1.35E-07,1.38E-05,1.34E-07,4.24444E+13
9306129,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.92E-08,0.000881624,0,1.31E-05,0,4.24444E+13
9306130,-1.50E-23,3.64E-09,3.82E-05,0.000152724,0.000114543,3.09E-46,1,1.51E-23,0.000969787,3.64E-09,1.53E-05,3.64E-09,4.24444E+13
9306131,0,0,0,0.000152724,0.000152724,4.82E-48,0,3.29E-12,0.000881624,0,1.31E-05,0,1.69693E+14
9306132,0,0,0,0.000458173,0.000458173,4.82E-48,0,2.32E-09,0.000881624,0,1.31E-05,0,5.09081E+14
9306134,4.06E-10,8.30E-07,3.82E-05,0.000152724,0.000114543,3.09E-46,1,4.99E-09,0.000969787,4.24E-07,1.49E-05,8.30E-07,4.24444E+13
9306135,3.30E-08,2.41E-06,3.82E-05,0.000114543,7.64E-05,3.09E-46,1,2.26E-08,0.000969787,2.41E-06,1.87E-05,2.41E-06,1.36E+15
9306137,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.25E-08,0.000881624,0,1.31E-05,0,1.69693E+14
9306139,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,1.26E-07,0.000881624,0,1.31E-05,0,8.48889E+13
9306140,3.63E-22,3.79E-08,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,2.55E-10,0.001057949,3.79E-08,3.53E-05,3.79E-08,1.2727E+14
9306141,1.74E-07,7.23E-07,0.000152724,0.000229086,7.64E-05,1.22E-45,4,5.41E-07,0.001234274,7.18E-07,1.86E-05,7.23E-07,5.51504E+14
9306142,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,4.48E-10,0.000881624,0,1.31E-05,0,4.66658E+14
9306144,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,2.76E-15,0.000881624,0,1.31E-05,0,4.24444E+13
9306145,0,0,0,0.000419992,0.000419992,4.82E-48,0,2.18E-06,0.000881624,0,1.31E-05,0,8.48889E+13
9306146,1.99E-07,9.68E-08,0.000114543,0.000458173,0.000343629,9.16E-46,3,8.06E-08,0.001146111,9.66E-08,1.56E-05,9.68E-08,2.5454E+14
9306147,3.31E-08,1.52E-06,3.82E-05,0.000419992,0.000381811,3.09E-46,1,3.04E-06,0.000969787,1.50E-06,1.53E-05,1.52E-06,4.24444E+13
9306148,0,0,0,0.000114543,0.000114543,4.82E-48,0,4.04E-09,0.000881624,0,1.31E-05,0,8.48889E+13
9306149,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-1.97E-24,0.000881624,0,1.31E-05,0,4.24444E+13
9306150,0,0,0,0.000152724,0.000152724,4.82E-48,0,1.98E-07,0.000881624,0,1.31E-05,0,8.48889E+13
9306152,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-9.04E-25,0.000881624,0,1.31E-05,0,8.48889E+13
9306153,3.34E-06,6.83E-05,0.00083186,0.002634493,0.001947234,3.76E-43,24.83333333,0.000109364,0.002636938,6.83E-05,6.73E-05,6.83E-05,4.24444E+13
9306154,1.95E-09,4.11E-07,3.82E-05,0.000229086,0.000190905,3.09E-46,1,2.87E-08,0.000969787,4.25E-07,1.42E-05,4.11E-07,4.24444E+13
9306155,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,-8.82E-24,0.000881624,0,1.31E-05,0,4.24444E+13
9306156,1.26E-09,9.28E-06,0.00027151,0.000305448,3.82E-05,3.56E-24,7.5,2.80E-08,0.001618828,9.22E-06,6.33E-05,9.28E-06,2.96963E+14
9306157,0,0,0,0.000152724,0.000152724,4.82E-48,0,7.74E-07,0.000881624,0,1.31E-05,0,8.48889E+13
9306161,0,0,0,0.000305448,0.000305448,4.82E-48,0,1.95E-05,0.000881624,0,1.31E-05,0,8.06044E+14
9306162,4.28E-08,5.59E-06,0.00019636,0.000458173,0.000267267,2.04E-44,5.5,5.54E-07,0.001340069,5.60E-06,3.98E-05,5.59E-06,4.24444E+13
9306163,3.14E-10,7.33E-07,7.64E-05,0.000343629,0.000267267,6.12E-46,2,4.96E-09,0.001057949,7.34E-07,1.63E-05,7.33E-07,4.24444E+13
9306164,0,0,0,0.000114543,0.000114543,4.82E-48,0,1.14E-07,0.000881624,0,1.31E-05,0,3.8181E+14
9307001,0,0,0,0.000649078,0.000649078,4.82E-48,0,1.32E-05,0.000881624,0,1.31E-05,0,2.67E+15
9307002,2.21E-07,1.52E-06,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,4.19E-06,0.001057949,1.49E-06,1.90E-05,1.52E-06,1.2727E+14
9307003,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,-6.99E-24,0.000881624,0,1.31E-05,0,1.2727E+14
9307007,-1.84E-22,0,8.73E-05,7.64E-05,3.82E-05,1.33E-28,2.5,3.59E-11,0.001007189,0,0.000128597,0,5.09081E+14
9307008,8.51E-10,4.37E-09,0.000152724,0.000190905,3.82E-05,1.33E-28,4,-7.77E-24,0.001255646,4.37E-09,0.000115784,4.37E-09,4.24444E+13
9307009,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,2.11E-07,0.000881624,0,1.31E-05,0,2.12117E+14
9307010,0,0,0,0.000763621,0.000763621,4.82E-48,0,0.000196957,0.000881624,0,1.31E-05,0,4.66658E+14
9307011,0,0,0,0.000114543,0.000114543,4.82E-48,0,1.74E-08,0.000881624,0,1.31E-05,0,2.5454E+14
9307012,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,1.04E-05,0.000881624,0,1.31E-05,0,4.24234E+14
9307013,0,0,0,0.000190905,0.000190905,4.82E-48,0,2.40E-07,0.000881624,0,1.31E-05,0,5.09081E+14
9307015,2.30E-08,8.02E-08,0.000289372,0.000305448,0.000114543,1.02E-42,8.5,8.28E-11,0.001388558,8.02E-08,4.95E-05,8.02E-08,4.24444E+13
9307016,4.85E-07,0,3.82E-05,3.82E-05,0,3.09E-46,1,0,0.000969787,0,1.53E-05,0,2.5454E+14
9307017,4.86E-07,5.02E-07,7.64E-05,0.000114543,3.82E-05,6.12E-46,2,1.36E-09,0.001057949,5.02E-07,2.64E-05,5.02E-07,1.23E+15
9307018,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,9.80E-24,0.000881624,0,1.31E-05,0,1.32E+15
9307022,3.53E-09,1.17E-08,3.82E-05,7.64E-05,3.82E-05,3.09E-46,1,1.27E-08,0.000969787,1.17E-08,1.40E-05,1.17E-08,8.48889E+13
9307023,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.98E-07,0.000881624,0,1.31E-05,0,1.69693E+14
9307024,1.54E-09,1.49E-07,3.82E-05,7.64E-05,3.82E-05,3.09E-46,1,1.62E-07,0.000969787,1.47E-07,1.47E-05,1.49E-07,4.24234E+14
9307025,7.03E-07,7.29E-10,0.000122179,0.000152724,3.82E-05,1.78E-28,3.5,2.92E-08,0.001185295,7.29E-10,1.77E-05,7.29E-10,1.2727E+14
9307027,2.14E-10,6.92E-06,3.82E-05,0.000229086,0.000190905,3.09E-46,1,4.22E-06,0.000969787,6.92E-06,1.68E-05,6.92E-06,4.24444E+13
9307029,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,2.26E-07,0.000881624,0,1.31E-05,0,8.48889E+13
9307030,0,0,0,0.000152724,0.000152724,4.82E-48,0,1.14E-06,0.000881624,0,1.31E-05,0,6.36351E+14
9307031,1.27E-07,5.67E-06,0.000206178,0.000267267,0.000114543,6.23E-43,6.333333333,6.98E-07,0.001281,5.62E-06,2.47E-05,5.67E-06,8.90891E+14
9307032,0,0,0,3.82E-05,3.82E-05,4.82E-48,0,1.37E-12,0.000881624,0,1.31E-05,0,9.75738E+14
9307033,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,3.60E-07,0.000881624,0,1.31E-05,0,5.93928E+14
9307034,0,0,0,7.64E-05,7.64E-05,4.82E-48,0,2.25E-12,0.000881624,0,1.31E-05,0,4.24234E+14
9307035,1.91E-10,1.63E-08,3.82E-05,0.000305448,0.000267267,3.09E-46,1,3.22E-08,0.000969787,1.63E-08,1.45E-05,1.63E-08,1.2727E+14
9307036,0,0,0,0.000572716,0.000572716,4.82E-48,0,4.09E-06,0.000881624,0,1.31E-05,0,3.8181E+14
9307037,0,0,0,0.000114543,0.000114543,4.82E-48,0,6.12E-09,0.000881624,0,1.31E-05,0,1.57E+15
