,Rank,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-centrality,Page-Rank,Percolation-Centrality
0,1,7170.0,3136.0,3086.0,9711200.0,9703166.0,2244.0,2244.0,9701025.0,9701053.0,9306153.0,9701161.0,9701144.0
1,2,,7170.0,3093.0,9711162.0,9703030.0,2226.0,2214.0,9307049.0,9701095.0,9307049.0,9307007.0,2211.0
2,3,,7018.0,4068.0,7170.0,3160.0,2256.0,2223.0,9701125.0,9701187.0,9307158.0,9307008.0,9701037.0
3,4,,4074.0,3025.0,9711165.0,2075.0,2235.0,2231.0,1197.0,9701191.0,9307115.0,9701121.0,9701078.0
4,5,,10060.0,3032.0,3136.0,9704080.0,2249.0,2211.0,1206.0,9701117.0,9306156.0,9701011.0,9701045.0
5,6,3136.0,9202.0,3136.0,9703166.0,2091.0,2222.0,9509166.0,1053.0,9701088.0,9307059.0,9701163.0,9701185.0
6,7,9139.0,8076.0,4040.0,3160.0,5031.0,2242.0,9702155.0,1192.0,9701186.0,9307171.0,9701078.0,9306153.0
7,8,,4187.0,3190.0,7191.0,9701125.0,2215.0,9702075.0,9701093.0,9701128.0,9307065.0,9701057.0,9701088.0
8,9,,8015.0,3183.0,9202.0,3136.0,9702086.0,9701102.0,1071.0,9701163.0,9307126.0,9701076.0,9701187.0
9,10,,5048.0,4009.0,11197.0,1197.0,9702164.0,9701148.0,1113.0,9701045.0,9307027.0,9701097.0,9701128.0
10,11,,4125.0,4077.0,9703030.0,5040.0,9702109.0,2233.0,9701088.0,9701170.0,9307052.0,9701132.0,9509166.0
11,12,,8241.0,3251.0,7018.0,5048.0,9702079.0,9701079.0,9509132.0,2211.0,9307151.0,9701002.0,9701115.0
12,13,4187.0,5204.0,3219.0,9148.0,9702187.0,9701115.0,2258.0,9308075.0,9701121.0,9307031.0,9701043.0,9701191.0
13,14,,5067.0,4037.0,12251.0,5129.0,9702077.0,9509157.0,1159.0,9701129.0,9306162.0,9701117.0,9701186.0
14,15,9202.0,5040.0,3050.0,5031.0,2211.0,9702106.0,9701172.0,1084.0,9701009.0,9307054.0,9306153.0,9701140.0
15,16,,7044.0,4080.0,7195.0,1206.0,9701128.0,9702065.0,9701166.0,9701185.0,9307157.0,9307086.0,9701148.0
16,17,4198.0,5129.0,3261.0,9103.0,9701025.0,9702075.0,9701171.0,9701069.0,9701037.0,9307050.0,9306156.0,9701048.0
17,18,,3007.0,3281.0,10108.0,9705221.0,9702168.0,2238.0,1056.0,2205.0,9307145.0,9701045.0,9701132.0
18,19,,5015.0,4074.0,10060.0,1113.0,9701053.0,9702098.0,1204.0,9701144.0,9307046.0,9701071.0,9701011.0
