Id,rank-Prestige
0,1
1,116
2,62
3,3
4,2
5,38
6,2
7,8
8,0
9,1
10,12
11,42
12,3
13,26
14,14
15,3
16,31
17,22
18,43
19,17
20,2
21,16
22,2
23,12
24,41
25,42
26,2
27,42
28,12
29,50
30,5
31,5
32,14
33,132
34,9
35,14
36,12
37,32
38,1
39,1
40,2
41,74
42,16
43,32
44,5
45,9
46,13
47,8
48,47
49,1
50,30
51,2
52,26
53,68
54,59
55,14
56,54
57,7
58,5
59,10
60,26
61,11
62,27
63,66
64,8
65,43
66,2
67,20
68,48
69,10
70,10
71,16
72,5
73,17
74,98
75,14
76,14
77,64
78,102
79,11
80,21
81,4
82,5
83,1
84,55
85,5
86,2
87,22
88,45
89,18
90,0
91,4
92,17
93,41
94,4
95,33
96,3
97,50
98,20
99,35
100,19
101,9
102,44
103,37
104,45
105,9
106,0
107,29
108,0
109,2
110,2
111,5
112,0
113,18
114,57
115,41
116,29
117,52
118,30
119,53
120,11
121,6
122,20
123,42
124,47
125,43
126,18
127,37
128,18
129,23
130,66
131,13
132,9
133,52
134,36
135,40
136,17
137,4
138,6
139,29
140,21
141,5
142,3
143,3
144,3
145,8
146,19
147,4
148,43
149,0
150,11
151,0
152,26
153,26
154,17
155,40
156,23
157,42
158,29
159,56
160,4
161,27
162,23
163,8
164,19
165,16
166,51
167,33
168,25
169,25
170,0
171,14
172,25
173,28
174,14
175,15
176,4
177,25
178,27
179,47
180,5
181,77
182,42
183,19
184,4
185,4
186,34
187,31
188,22
189,66
190,48
191,23
192,11
193,39
194,37
195,42
196,10
197,29
198,40
199,5
200,40
201,120
202,100
203,21
204,33
205,64
206,9
207,19
208,13
209,10
210,7
211,4
212,3
213,1
214,3
215,2
216,1
217,10
218,6
219,24
220,3
221,9
222,10
223,31
224,1
225,1
226,7
227,48
228,11
229,0
230,1
231,64
232,3
233,12
234,3
235,0
236,0
237,1
238,0
239,0
240,2
241,11
242,44
243,0
244,0
245,4
246,48
247,8
248,0
249,24
250,1
251,16
252,0
253,0
254,0
255,1
256,59
257,29
258,37
259,16
260,0
261,3
262,11
263,3
264,13
265,0
266,2
267,5
268,3
269,1
270,2
271,4
272,0
273,14
274,0
275,9
276,1
277,16
278,13
279,0
280,4
281,7
282,22
283,0
284,2
285,4
286,1
287,46
288,1
289,5
290,48
291,32
292,17
293,62
294,3
295,7
296,4
297,3
298,4
299,0
300,6
301,7
302,7
303,20
304,9
305,4
306,3
307,0
308,0
309,3
310,16
311,5
312,62
313,1
314,5
315,10
316,9
317,0
318,28
319,0
320,16
321,3
322,30
323,5
324,41
325,0
