Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality,Harmonic centrality,score
1001,0.025598997,0.000814455,0.000257296,0.417326085,0.003112065,0.037182489,0.004142502,0.112403101,0.05658858,0.000814455,0.481659768,0.0292564
1002,0.029256047,0.001150869,0.009839899,0.49617728,0.010646276,0.064017965,0.017812759,0.060077519,0.01365364,0.001150869,0.545130122,0.006095083
1016,0.010564448,0.000781229,0.001971959,0.482076531,0.003197115,0.239929186,0.003314,0.03003876,0.016696921,0.000781229,0.510311642,0.005688744
1017,0.005688387,0.006868127,8.06E-08,0.288848083,0.000329376,1.42E-05,0.002071255,0.021317829,0.014393898,0.006868127,0.282811727,0.01097115
1027,0.029662386,0.001365626,0.000341654,0.417209721,0.007047338,0.03164183,0.022783763,0.040697674,0.006004312,0.001365626,0.469616735,0.002438033
1033,0.069889954,0.018733665,0.022614833,0.500157756,0.014258127,0.063617436,0.045981777,0.127906977,0.066396171,0.018733665,0.557429643,0.001219017
1035,0.023973637,0.00227554,0.000135918,0.328969768,0.006172635,0.006809001,0.021955261,0.013565891,0.005181803,0.00227554,0.356983632,0.005688744
1041,0.029256047,0.004644768,0.006334133,0.488064892,0.012480384,0.254196715,0.013256007,0.071705426,0.049186005,0.004644768,0.535309891,0.004063389
1053,0.049166656,0.005129369,0.001616426,0.475162111,0.022804474,0.022162632,0.045153275,0.025193798,0.005099552,0.005129369,0.503679039,0.0146282
1054,0.014627846,0.000287104,0.007110236,0.502762596,0.002304088,0.288274432,0.003314,0.065891473,0.0097056,0.000287104,0.59235069,0.022348639
1055,0.022348286,0.000750559,0.001567621,0.449273469,0.007353712,0.266709256,0.011184752,0.057170543,0.016943674,0.000750559,0.513726476,0.013002844
1056,0.013002487,0.001886314,0.002764417,0.450157653,0.008698201,0.218358003,0.009527756,0.013565891,0.005017301,0.001886314,0.492700545,0.011377489
1057,0.011377128,1.14E-06,0.002903796,0.425426946,0.001237094,0.267289357,0.000828401,0.052325581,0.007320325,1.14E-06,0.484387316,0.002031694
