Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality
0,0.025598997,0.000814455,0.000257296,0.417326085,0.003112065,0.037182489,0.004142502,0.112403101,0.05658858,0.000814455
1.01E-07,0.029256047,0.001150869,0.009839899,0.49617728,0.010646276,0.064017965,0.017812759,0.060077519,0.01365364,0.001150869
2.02E-07,0.006094718,1.15E-07,0.000109999,0.393445309,0.001422658,0.000137515,0.006213757,0.002906977,0.000904759,1.15E-07
3.03E-07,0.000405879,0,2.10E-34,0.000345748,4.21E-09,1.47E-08,0.00041462,0.001937984,0.004606047,0
4.04E-07,0.007720078,0.000123531,4.61E-05,0.343268014,6.92E-06,0.003324395,0.00041462,0.036821705,0.019986955,0.000123531
5.04E-07,0.000405879,0.000850236,7.02E-14,0.071948974,9.39E-05,6.67E-05,0.00041462,0.001937984,0.001809519,0.000850236
6.05E-07,0.000812317,0,8.76E-05,0.394809501,2.59E-21,0.000556068,0,0.007751938,0.011103864,0
7.06E-07,0.000405879,0,0,0,1.83E-07,5.12E-19,0.000828401,0,0,0
8.07E-07,0.000405879,0,2.10E-34,0.000345748,9.78E-15,4.82E-12,0.00041462,0.000968992,0.003454535,0
9.08E-07,0.006501058,4.52E-05,0.000408953,0.355033929,0.001917496,0.003925189,0.004971004,0.011627907,0.002385274,4.52E-05
1.01E-06,0.008939097,1.66E-05,8.82E-05,0.411054056,0.000444581,0.116704283,0.001657004,0.040697674,0.016038915,1.66E-05
1.11E-06,0.015440518,0.00034248,3.73E-06,0.308127423,0.001225496,0.000127502,0.015327262,0.002906977,0.001562766,0.00034248
1.21E-06,0.010564448,0.000200206,0.002999356,0.449532172,0.001113385,0.017623298,0.006627999,0.025193798,0.010199105,0.000200206
1.31E-06,0.003656688,2.22E-06,1.02E-18,0.011824531,1.13E-06,2.61E-06,0.001242753,0.013565891,0.015134155,2.22E-06
1.41E-06,0,0,1.60E-29,0.001653697,2.59E-21,1.53E-08,0,0.002906977,0.002796529,0
1.51E-06,0.010564448,0.000781229,0.001971959,0.482076531,0.003197115,0.239929186,0.003314,0.03003876,0.016696921,0.000781229
1.61E-06,0.005688387,0.006868127,8.06E-08,0.288848083,0.000329376,1.42E-05,0.002071255,0.021317829,0.014393898,0.006868127
1.72E-06,0.010970788,0.000179759,0.002821509,0.454343709,0.001766725,0.025767398,0.004142502,0.041666667,0.01562766,0.000179759
1.82E-06,0.005688387,0.000317774,4.68E-17,0.030929457,4.33E-07,3.79E-05,0.002485498,0.016472868,0.044168703,0.000317774
1.92E-06,0,0,2.10E-34,0.000345748,2.59E-21,0.000109478,0,0.001937984,0.001151512,0
2.02E-06,0.004875707,4.34E-05,5.50E-18,0.028165091,2.02E-07,0.000336445,0.000828401,0.015503876,0.050584269,4.34E-05
2.12E-06,0.000812317,3.53E-07,1.01E-16,0.029283529,0.000211852,7.34E-05,0.00041462,0.001937984,0.00287878,3.53E-07
