Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality,Harmonic centrality,score
9307025,4.94E-05,0,6.86E-35,4.94E-05,0,6.43E-08,0,1,2.04E-05,0,1,0.161597171
1001,0.003158778,9.56E-05,8.14E-05,0.059626986,8.05E-05,5.57E-05,0.000493559,116,8.88E-05,9.56E-05,1627.697232,0.184321773
1002,0.003602981,0.000135088,0.003113015,0.070893138,0.000275388,9.59E-05,0.002122304,62,3.66E-05,0.000135088,1842.185812,0.040399293
1003,0.000789694,1.35E-08,3.48E-05,0.056214933,3.68E-05,2.06E-07,0.000740339,3,2.11E-05,1.35E-08,1337.967645,0.005049912
1004,9.87E-05,0,6.86E-35,4.94E-05,1.09E-10,2.20E-11,4.94E-05,2,2.56E-05,0,1,0.050499116
1005,0.000987118,1.45E-05,1.46E-05,0.049045669,1.79E-07,4.98E-06,4.94E-05,38,4.43E-05,1.45E-05,1368.785988,0.005049912
1006,9.87E-05,9.98E-05,2.22E-14,0.010279972,2.43E-06,9.99E-08,4.94E-05,2,2.22E-05,9.98E-05,226.2622794,0.007574867
1007,0.000148068,0,2.77E-05,0.056409847,0,8.33E-07,0,8,3.35E-05,0,1381.54959,0.005049912
1008,9.87E-05,0,2.29E-36,0,4.74E-09,0,9.87E-05,0,2.00E-05,0,0,0.005049912
1009,9.87E-05,0,6.86E-35,4.94E-05,2.53E-16,7.22E-15,4.94E-05,1,2.42E-05,0,1,0.042924248
1010,0.00083905,5.31E-06,0.000129379,0.050726767,4.96E-05,5.88E-06,0.000592271,12,2.29E-05,5.31E-06,1325.270947,0.058073983
1011,0.001135186,1.95E-06,2.79E-05,0.058730847,1.15E-05,0.000174825,0.000197424,42,3.95E-05,1.95E-06,1582.07534,0.098473276
1012,0.00192488,4.02E-05,1.18E-06,0.044024829,3.17E-05,1.91E-07,0.001826169,3,2.19E-05,4.02E-05,1114.56443,0.068173806
1013,0.001332609,2.35E-05,0.000948896,0.064228548,2.88E-05,2.64E-05,0.000789694,26,3.24E-05,2.35E-05,1635.83473,0.025249558
1014,0.000493559,2.60E-07,3.23E-19,0.001689473,2.92E-08,3.91E-09,0.000148068,14,3.84E-05,2.60E-07,44.87968975,0.002524956
1015,4.94E-05,0,5.07E-30,0.000236278,0,2.29E-11,0,3,2.34E-05,0,5.616666667,0.068173806
1016,0.001332609,9.17E-05,0.000623862,0.068878442,8.27E-05,0.000359418,0.000394847,31,4.03E-05,9.17E-05,1724.521959,0.037874337
1017,0.000740339,0.000806175,2.55E-08,0.041270223,8.52E-06,2.13E-08,0.00024678,22,3.75E-05,0.000806175,955.7199846,0.070698762
1018,0.001381965,2.11E-05,0.000892631,0.064916014,4.57E-05,3.86E-05,0.000493559,43,3.90E-05,2.11E-05,1711.055365,0.037874337
1019,0.000740339,3.73E-05,1.48E-17,0.004419159,1.12E-08,5.68E-08,0.000296135,17,7.37E-05,3.73E-05,112.6640665,0.002524956
1020,4.94E-05,0,6.86E-35,4.94E-05,0,1.64E-07,0,2,2.14E-05,0,1,0.032824425
1021,0.000641627,5.09E-06,1.74E-18,0.00402419,5.23E-09,5.04E-07,9.87E-05,16,8.15E-05,5.09E-06,103.2725469,0.007574867
1022,0.000148068,4.14E-08,3.19E-17,0.004183991,5.48E-06,1.10E-07,4.94E-05,2,2.35E-05,4.14E-08,92.84184704,0.035349381
1023,0.000690983,0.000281889,4.72E-06,0.053410242,2.44E-05,2.31E-07,0.000444203,12,4.86E-05,0.000281889,1328.834216,0.113623011
1024,0.002221016,0.000202641,4.16E-05,0.058994881,5.07E-05,8.91E-06,0.001332609,41,4.96E-05,0.000202641,1561.212933,0.088373453
1025,0.001727457,2.32E-05,1.87E-05,0.05257941,3.06E-05,1.44E-05,0.00083905,42,3.09E-05,2.32E-05,1484.64782,0.002524956
1026,4.94E-05,0,1.98E-31,0.000118454,0,5.40E-08,0,2,2.53E-05,0,2.916666667,0.186846728
1027,0.003652337,0.000160296,0.000108088,0.05961036,0.000182294,4.74E-05,0.002714575,42,2.73E-05,0.000160296,1586.999601,0.017674691
1028,0.000345491,2.35E-07,3.18E-08,0.043576527,4.35E-08,2.73E-06,4.94E-05,12,2.82E-05,2.35E-07,1165.486788,0.078273629
1029,0.001530033,4.98E-05,2.45E-05,0.052000707,3.66E-05,2.77E-05,0.000345491,50,4.58E-05,4.98E-05,1451.327734,0.007574867
1030,0.000148068,0,2.01E-34,0.000148068,0,4.35E-09,0,5,3.09E-05,0,3,0.020199646
1031,0.000394847,1.44E-06,2.40E-05,0.057847547,2.39E-05,1.44E-05,0.00024678,5,2.22E-05,1.44E-06,1482.334428,0.106048143
1032,0.002072948,4.34E-06,4.91E-05,0.057877563,5.47E-05,1.59E-05,0.001776813,14,2.27E-05,4.34E-06,1480.778262,0.436817352
1033,0.008538572,0.002198942,0.007154577,0.071461863,0.000368816,9.53E-05,0.005478506,132,0.000100724,0.002198942,1883.750206,0.010099823
1034,0.000197424,0,9.36E-32,0.000222102,0,3.10E-09,0,9,4.99E-05,0,5,0.151497347
1035,0.002961354,0.000267101,4.30E-05,0.047002755,0.000159668,1.02E-05,0.002615863,14,2.63E-05,0.000267101,1206.372857,0.037874337
1036,0.000740339,3.36E-08,6.23E-20,0.001107502,2.47E-06,1.41E-06,0.000542915,12,2.23E-05,3.36E-08,28.76298146,0.118672922
1037,0.002319728,1.52E-05,1.16E-05,0.048682237,4.45E-05,7.50E-06,0.001579389,32,2.86E-05,1.52E-05,1369.720006,0.005049912
1038,9.87E-05,0,6.86E-35,4.94E-05,6.75E-07,2.86E-09,4.94E-05,1,2.84E-05,0,1,0.015149735
