Id,betweenness_centrality
1001,1.56E-05
1002,0.000112804
1003,2.12E-08
1004,0
1005,1.34E-06
1006,7.17E-05
1007,0
1008,2.09E-08
1009,0
1010,5.29E-06
1011,1.68E-06
1012,0.000101224
1013,1.57E-05
1014,1.50E-06
1015,0
1016,1.57E-05
1017,0.000491075
1018,1.73E-05
1019,4.33E-05
1020,0
1021,1.22E-05
1022,6.89E-08
1023,0.000282596
1024,0.00016518
1025,2.23E-05
1026,0
1027,0.000158018
1028,2.20E-07
1029,6.18E-05
1030,0
1031,1.91E-06
1032,4.62E-06
1033,0.001638351
1034,0
1035,0.000212776
1036,4.56E-07
1037,2.00E-05
1038,6.54E-10
1039,3.60E-06
1040,1.31E-09
1041,0.000336713
1042,7.21E-05
1044,1.90E-06
1045,0
1046,0.000101666
1047,3.49E-06
1048,8.07E-09
1049,6.65E-05
1050,1.97E-06
1051,3.30E-07
1052,0
1053,0.000411972
1054,1.91E-05
1055,8.77E-05
1056,0.000177912
1057,1.15E-07
1060,5.52E-08
1061,0
1062,5.53E-05
1063,1.81E-06
1064,3.99E-07
1065,9.55E-06
1066,0.000123415
1067,8.18E-07
1068,2.85E-05
1069,0
1070,1.02E-06
1071,0.000122886
1072,2.20E-09
1073,1.73E-06
1074,1.26E-06
1075,0
1076,1.42E-08
1077,0.000107825
1080,0
1081,0.000124032
1082,0.000612052
1083,0.000304307
1084,2.94E-05
1085,7.31E-05
1086,1.31E-09
1087,0
1088,3.58E-06
1089,9.39E-05
1090,5.60E-08
1091,3.33E-08
1092,6.09E-06
1093,1.07E-05
1094,0
1096,3.93E-09
1097,6.54E-06
1098,5.97E-05
1100,3.49E-05
1101,1.41E-06
1102,1.69E-05
1103,0.000567608
1105,9.37E-05
1106,2.48E-06
1107,2.57E-06
1108,8.77E-08
1109,0.000223067
1110,1.25E-07
1111,0.00016905
1112,5.57E-07
1113,0
1114,3.06E-05
1115,5.34E-09
1116,0
1117,0
1118,1.32E-05
1119,4.48E-08
1121,1.80E-05
1122,0.000131478
1123,0.000260876
1124,0.000264405
1125,6.21E-06
1126,1.58E-05
1127,2.51E-05
1128,1.09E-05
1129,2.99E-07
1130,6.32E-06
1131,5.10E-05
1132,4.24E-05
1133,9.59E-05
1134,2.88E-05
1135,5.54E-05
1136,3.49E-05
1137,1.67E-07
1138,5.58E-06
1140,9.79E-06
1141,2.89E-06
1142,0
1143,0.000180023
1144,5.54E-05
1145,2.52E-05
1146,0
1147,0
1148,0
1149,4.21E-06
1150,2.02E-10
1151,0.000160305
1152,2.17E-06
1153,0
1154,0
1155,0
1156,2.05E-08
1157,5.05E-06
1158,9.17E-07
1159,0.000175655
1161,2.94E-05
1162,2.61E-07
1163,4.06E-05
1164,2.77E-05
1165,5.12E-05
1166,4.67E-06
1167,9.71E-05
1168,6.51E-06
1169,3.25E-06
1170,3.10E-05
1171,0
1172,1.08E-07
1173,5.17E-06
1174,3.16E-07
1175,1.60E-05
1176,6.81E-07
1177,2.92E-05
1178,1.38E-05
1179,0.00011783
1180,5.64E-05
1182,0.000117905
1183,5.01E-05
1184,2.80E-05
1185,2.03E-06
1186,6.93E-07
1187,0
1188,2.16E-05
1189,2.36E-05
1190,6.72E-05
1191,0
1192,0.00056291
1193,0.000348051
1194,0
1195,4.45E-09
1196,0
1197,0.001006235
1198,0.000223158
1199,1.33E-05
1200,7.95E-05
1201,0.000754086
1202,9.84E-08
1203,9.19E-05
1204,6.15E-05
1205,0.000180084
1206,0.00185984
1207,4.13E-06
1208,4.52E-06
1209,2.82E-05
1210,1.24E-08
1211,0.000111034
1212,0.000301992
1213,9.81E-05
1214,4.45E-07
1215,0.000403662
1216,9.05E-05
1217,3.48E-05
1218,6.77E-06
1219,0
1220,0
1221,5.67E-09
1222,2.51E-06
2001,3.08E-07
2002,3.94E-05
2003,0
2004,4.42E-06
2006,4.13E-05
2007,0.000217128
2008,5.40E-05
2009,3.62E-05
2010,3.84E-05
2011,0.000103847
2012,1.36E-06
2013,3.11E-08
2014,0
2015,2.29E-08
2016,0.000437364
2017,0
2019,1.25E-06
2020,3.29E-05
2021,4.87E-05
2022,1.80E-05
2023,6.83E-05
2024,5.53E-07
2025,8.72E-06
2026,1.84E-08
2027,4.57E-05
2028,0.000106062
2029,9.63E-05
2030,2.01E-05
2031,8.78E-09
2032,8.42E-08
2033,6.82E-08
2034,0.000846256
2035,0.00012301
2037,3.82E-05
2038,1.91E-05
2039,1.51E-05
2040,7.20E-05
2041,0
2042,3.39E-06
2043,0.00051126
2044,0.00013483
2045,5.02E-07
2046,0.000511034
2047,2.23E-05
2049,1.78E-05
2050,5.54E-05
2051,6.00E-09
2052,1.25E-05
2053,1.84E-06
2054,5.83E-05
2055,0
2056,7.64E-06
2057,0.000387649
2058,6.77E-08
2059,0
2060,8.80E-05
2061,3.93E-05
2062,1.54E-07
2063,5.11E-07
2064,0
2065,8.32E-05
2066,3.44E-05
2067,0.000503857
2068,1.05E-08
2069,3.13E-08
2070,0.000122365
2071,1.80E-05
2072,1.15E-06
2073,0.000167595
2074,1.90E-05
2075,6.28E-05
2076,3.50E-05
2077,3.21E-06
2078,4.75E-05
2080,0
2081,0
2082,3.66E-05
2083,0
2084,0.000252606
2085,2.29E-06
2086,2.38E-05
2087,0.000104198
2088,1.79E-05
2089,0
2090,5.78E-05
2091,0.000821398
2092,3.92E-09
2093,4.76E-05
2094,0.000636425
2096,1.77E-05
2097,0
2098,9.63E-05
2099,2.16E-05
2100,9.71E-05
2101,3.80E-06
2102,1.26E-05
2103,6.48E-05
2104,9.60E-06
2105,1.78E-05
2106,1.71E-05
2107,3.74E-06
2108,5.39E-05
2109,0
2110,7.59E-06
2111,1.50E-05
2112,0
2113,2.24E-08
2114,3.15E-05
2115,0
2116,7.80E-05
2117,0.000774795
2118,0.000362047
2119,2.27E-05
2120,2.77E-08
2121,2.03E-05
2122,1.33E-07
2123,3.86E-08
2125,6.68E-05
2126,8.19E-05
2127,8.63E-05
2128,1.85E-06
2129,6.78E-07
2130,0.000101241
2131,8.39E-07
2132,1.91E-05
2133,8.73E-08
2134,2.31E-07
2135,1.06E-06
2136,3.23E-07
2138,8.44E-05
2139,1.28E-07
2140,0.00011665
2141,3.14E-05
2142,4.61E-07
2143,9.06E-05
2144,0
2145,0.000147878
2146,6.12E-07
2147,3.73E-05
2148,6.99E-08
2149,0.000319119
2150,1.07E-05
2151,2.62E-09
2152,7.24E-08
2153,8.64E-06
2154,0.000311594
2155,1.85E-05
2156,2.62E-05
2157,2.21E-05
2158,1.96E-05
2159,0.000884548
2160,0.0016671
2161,8.69E-06
2162,2.44E-05
2164,8.64E-06
2165,1.40E-06
2166,2.81E-06
2167,9.12E-05
2168,0
2169,2.20E-05
2170,5.18E-05
2171,0.000161625
2172,4.32E-05
2173,1.73E-06
2174,6.48E-05
2175,7.73E-05
2176,6.70E-05
2177,0
2178,0
2180,6.62E-05
2181,1.29E-06
2182,2.31E-08
2183,0.000124247
2184,5.93E-05
2185,7.72E-08
2186,0.001295543
2187,5.04E-06
2188,4.00E-05
2189,5.63E-05
2190,1.57E-06
2191,7.94E-05
2192,7.45E-05
2193,5.33E-06
2194,8.98E-06
2195,1.79E-06
2196,2.67E-05
2197,2.62E-08
2198,3.36E-05
2199,3.79E-06
2200,0
2201,0
2202,0
2203,1.80E-05
2204,2.58E-06
2205,1.52E-05
2206,0
2207,0
2208,9.80E-07
2209,8.29E-06
2210,2.60E-07
2211,0.00015939
2212,2.27E-06
2213,7.81E-06
2214,1.46E-05
2215,7.88E-07
2216,1.74E-07
2217,2.47E-05
2218,1.82E-07
2219,0.000202465
2220,0
2221,0
2222,0.000317861
2223,6.57E-05
2224,0
2225,2.22E-06
2226,0.000815954
2227,5.18E-07
2228,3.37E-05
2229,6.63E-07
2230,0.000698307
2231,5.31E-07
2232,0
2233,1.21E-06
2234,1.59E-05
2235,2.96E-07
2236,3.65E-05
2237,0.000189546
2238,1.31E-09
2239,0.000213323
2240,1.55E-07
2241,2.63E-05
2242,9.07E-05
2243,1.60E-06
2244,0.000923562
2245,0.001206575
2246,0
2247,1.56E-05
2248,0
2249,0
2250,1.05E-06
2251,7.55E-07
2252,0
2254,1.79E-05
2255,3.01E-06
2256,0.00011579
2258,0
2259,0
3001,1.82E-05
3002,1.08E-06
3003,2.54E-07
3004,0.000120242
3005,0.000123954
3006,0.000390684
3007,0.000771899
3008,3.01E-08
3009,1.63E-05
3010,1.88E-08
3012,6.61E-05
3013,1.75E-07
3014,1.57E-08
3015,0
3016,4.38E-08
3017,5.96E-05
3018,1.95E-05
3019,0
3020,6.25E-05
3021,0
3022,1.76E-06
3023,9.07E-07
3024,0.000152871
3025,0.000301168
3026,9.45E-08
3027,1.07E-07
3028,0
3029,1.28E-05
3030,0
3031,1.43E-05
3032,5.01E-05
3033,9.93E-05
3034,5.14E-09
3035,8.75E-05
3036,9.38E-07
3037,0.000270719
3038,1.92E-06
3039,5.11E-05
3040,0
3041,1.24E-07
3042,1.89E-05
3043,8.09E-07
3044,4.85E-06
3045,6.13E-06
3046,1.80E-06
3047,0
3048,8.28E-05
3049,3.61E-06
3050,0.000661847
3051,1.15E-05
3052,0.000390592
3053,3.58E-06
3054,1.16E-05
3055,0.000164524
3056,0.000156199
3057,3.57E-05
3058,2.10E-05
3059,0.001472668
3060,0
3061,9.96E-05
3062,2.43E-08
3063,8.07E-05
3064,0.0002417
3065,3.68E-08
3066,1.60E-06
3067,3.16E-05
3068,1.41E-05
3069,0
3070,4.45E-07
3071,1.56E-06
3072,9.84E-06
3073,1.80E-06
3074,3.26E-05
3075,0.002400426
3076,0.000347289
3077,4.75E-05
3078,2.06E-07
3080,0
3081,0.000347101
3082,1.58E-08
3083,0
3084,2.14E-06
3085,0.000166216
3086,0.001468448
3087,3.92E-07
3089,0
3090,0
3091,0
3092,6.56E-08
3093,7.79E-05
3094,0
3095,9.81E-10
3096,1.35E-05
3097,4.20E-07
3098,1.19E-06
3099,0.000131917
3100,4.59E-05
3101,0.000816964
3102,1.07E-05
3103,1.01E-05
3105,0
3106,8.16E-05
3108,1.41E-05
3109,7.36E-05
3110,0.000551023
3111,6.43E-08
3112,3.18E-07
3113,5.05E-05
3114,0.000192346
3115,4.36E-06
3116,5.96E-05
3117,9.44E-06
3118,8.70E-05
3119,0
3120,0.000209498
3121,1.15E-05
3122,0.00028866
3123,6.91E-05
3124,1.22E-05
3125,0
3126,0
3127,6.04E-09
3128,2.04E-06
3129,2.95E-05
3130,5.32E-05
3131,3.28E-05
3132,0
3133,1.45E-06
3134,2.88E-08
3135,1.77E-05
3136,0.015002283
3137,8.22E-06
3138,3.38E-05
3139,8.12E-05
3140,4.30E-08
3141,7.06E-05
3142,6.42E-06
3143,9.05E-05
3144,6.21E-06
3145,0.000162113
3146,3.61E-05
3147,0.00023452
3148,0.000130356
3149,0
3150,2.94E-09
3151,6.41E-06
3152,1.96E-05
3153,2.05E-05
3154,3.02E-05
3155,3.27E-08
3156,2.89E-07
3157,1.72E-05
3158,2.23E-05
3159,9.05E-09
3160,0.001197969
3161,6.79E-06
3162,4.93E-06
3163,2.17E-06
3164,0
3165,0
3166,1.98E-06
3167,0
3168,0
3169,8.02E-05
3170,2.16E-09
3171,3.61E-07
3173,7.72E-05
3174,3.09E-06
3175,5.42E-05
3176,5.90E-05
3177,7.31E-05
3178,2.39E-06
3179,0.000112181
3180,0.000233052
3181,0
3182,0
3183,0.000175833
3184,0.000100955
3185,5.23E-05
3186,0
3187,0.000561923
3188,8.60E-07
3189,1.96E-08
3190,1.72E-05
3191,2.00E-07
3192,5.24E-05
3193,0
3194,5.98E-07
3195,1.74E-06
3196,2.82E-09
3197,0.00012049
3198,0.000148259
3199,5.38E-07
3200,5.12E-05
3201,1.28E-07
3202,1.88E-07
3203,0.00010088
3204,1.25E-05
3205,2.61E-05
3206,3.10E-06
3208,0.000176639
3210,9.28E-07
3211,0.000842695
3212,0
3213,7.45E-05
