Id,degree_centrality
1001,0.006041094
1002,0.005570829
1003,0.003255679
1004,7.23E-05
1005,0.003472725
1006,7.23E-05
1007,0.000144697
1008,0.000289394
1009,7.23E-05
1010,0.002025756
1011,0.003545073
1012,0.001736362
1013,0.003653596
1014,0.000397916
1015,3.62E-05
1016,0.00368977
1017,0.000542613
1018,0.003725944
1019,0.000542613
1020,3.62E-05
1021,0.001302272
1022,0.000144697
1023,0.001519317
1024,0.003147157
1025,0.004702648
1026,0.000397916
1027,0.005353784
1028,0.001808711
1029,0.004123861
1030,0.000144697
1031,0.002966286
1032,0.004196209
1033,0.006294313
1034,0.000144697
1035,0.004919693
1036,0.001085226
1037,0.0046303
1038,0.000108523
1039,0.00025322
1040,7.23E-05
1041,0.005570829
1042,0.000614962
1044,0.003364202
1045,0.000144697
1046,0.000470265
1047,0.002459847
1048,0.000217045
1049,0.004160035
1050,0.000397916
1051,0.003617422
1052,7.23E-05
1053,0.007307191
1054,0.0046303
1055,0.004811171
1056,0.003942989
1057,0.003762118
1060,0.000325568
1061,0.000108523
1062,0.002098104
1063,0.003834467
1064,0.000542613
1065,0.003472725
1066,0.00437708
1067,0.000434091
1068,0.004304732
1069,3.62E-05
1070,0.000434091
1071,0.006909275
1072,0.002930111
1073,0.001229923
1074,0.003038634
1075,7.23E-05
1076,0.00162784
1077,0.00506439
1080,0.003074808
1081,0.000506439
1082,0.005426132
1083,0.005498481
1084,0.006258139
1085,0.002134279
1086,0.000217045
1087,7.23E-05
1088,0.000759659
1089,0.004268557
1090,0.000723484
1091,0.000180871
1092,0.004666474
1093,0.003834467
1094,0.000506439
1096,0.000108523
1097,0.000578787
1098,0.003617422
1100,0.000180871
1101,0.003328028
1102,7.23E-05
1103,0.004992042
1105,0.003219505
1106,0.003617422
1107,0.00368977
1108,0.000289394
1109,0.003653596
1110,0.001266098
1111,0.004015338
1112,0.000868181
1113,0.005353784
1114,0.003472725
1115,7.23E-05
1116,3.62E-05
1117,0.000144697
1118,0.003147157
1119,7.23E-05
1121,0.002134279
1122,0.004738822
1123,0.003834467
1124,0.00206193
1125,0.003762118
1126,0.003942989
1127,0.003798293
1128,0.001808711
1129,0.000506439
1130,0.003183331
1131,0.00437708
1132,0.004919693
1133,0.004449428
1134,0.001555491
1135,0.00368977
1136,0.000397916
1137,0.001446969
1138,0.004883519
1140,0.001302272
1141,0.002821589
1142,0.004123861
1143,0.0046303
1144,0.003834467
1145,0.003581247
1146,7.23E-05
1147,3.62E-05
1148,0.000144697
1149,0.001664014
1150,0.003147157
1151,0.000434091
1152,7.23E-05
1153,3.62E-05
1154,3.62E-05
1155,7.23E-05
1156,0.000180871
1157,0.00343655
1158,0.001302272
1159,0.006041094
1161,0.003147157
1162,0.000361742
1163,0.000542613
1164,0.000578787
1165,0.001700188
1166,0.003653596
