Id,eigenvector_centrality
1001,0.000125802
1002,0.004829035
1003,5.31E-05
1004,5.47E-37
1005,2.29E-05
1006,3.70E-10
1007,4.36E-05
1008,1.41E-33
1009,5.47E-37
1010,0.00021953
1011,4.47E-05
1012,1.86E-06
1013,0.001455665
1014,8.66E-16
1015,1.70E-24
1016,0.000972251
1017,3.85E-08
1018,0.001375085
1019,9.13E-10
1020,5.47E-37
1021,5.58E-15
1022,1.02E-10
1023,7.43E-06
1024,6.46E-05
1025,2.92E-05
1026,1.04E-25
1027,0.000172017
1028,7.33E-07
1029,3.88E-05
1030,2.42E-25
1031,3.89E-05
1032,7.70E-05
1033,0.010974403
1034,9.75E-33
1035,7.01E-05
1036,2.12E-16
1037,1.81E-05
1038,9.57E-35
1039,1.97E-20
1040,5.47E-37
1041,0.003205427
1042,5.02E-05
1044,0.00012928
1045,7.78E-11
1046,2.93E-09
1047,0.000126996
1048,6.65E-29
1049,0.00014052
1050,8.50E-23
1051,2.54E-05
1052,3.73E-33
1053,0.00080367
1054,0.003541251
1055,0.000785686
1056,0.001358984
1057,0.001438487
1060,2.53E-25
1061,8.75E-36
1062,1.57E-07
1063,0.000248849
1064,2.47E-22
1065,0.002952319
1066,0.000433511
1067,2.89E-22
1068,0.00035667
1069,8.22E-36
1070,4.05E-19
1071,0.004605223
1072,0.000472305
1073,8.73E-05
1074,7.91E-07
1075,1.50E-20
1076,1.81E-05
1077,0.003676261
1080,2.18E-05
1081,4.11E-24
1082,0.002520677
1083,0.000452636
1084,1.73E-05
1085,0.002353316
1086,2.95E-20
1087,8.75E-36
1088,2.16E-14
1089,0.000381934
1090,6.20E-22
1091,4.24E-26
1092,0.001363777
1093,0.000651857
1094,4.02E-15
1096,8.75E-36
1097,9.49E-23
1098,0.001210888
1100,9.09E-08
1101,0.000253968
1102,5.47E-37
1103,0.004288769
1105,5.56E-05
1106,2.43E-06
1107,0.001570387
1108,1.09E-29
1109,0.00270901
1110,6.60E-20
1111,0.000211372
1112,3.84E-09
1113,1.76E-38
1114,0.000392004
1115,7.93E-34
1116,5.47E-37
1117,1.17E-24
1118,0.00031637
1119,1.90E-29
1121,6.73E-07
1122,0.006786803
1123,0.000158765
1124,2.79E-15
1125,0.000363292
1126,0.00074001
1127,0.001373524
1128,1.27E-08
1129,5.05E-31
1130,0.000118403
1131,0.002725665
1132,0.000117246
1133,0.000415758
1134,0.000319984
1135,0.00012884
1136,7.62E-13
1137,4.09E-20
1138,0.005011629
1140,2.65E-06
1141,8.52E-06
1142,9.71E-05
1143,7.86E-05
1144,0.000454096
1145,0.000630905
1146,5.94E-33
1147,2.79E-26
1148,6.41E-16
1149,0.000346641
1150,7.50E-05
1151,1.60E-05
1152,1.48E-19
1153,5.47E-37
1154,5.47E-37
1155,5.47E-37
1156,8.72E-33
1157,0.000310443
1158,6.58E-16
1159,0.002458088
1161,5.36E-05
1162,8.26E-25
1163,2.08E-07
1164,4.11E-08
1165,0.000241106
1166,0.001706031
1167,0.000166488
1168,6.51E-06
1169,6.73E-05
1170,0.000255326
1171,2.72E-25
1172,1.11E-20
1173,1.02E-06
1174,6.02E-27
1175,3.14E-07
1176,1.15E-10
1177,0.004735456
1178,0.005039799
1179,0.003286898
1180,0.000157938
1182,6.08E-05
1183,0.00091006
1184,2.52E-06
1185,1.11E-20
1186,0.00039547
1187,1.13E-18
1188,5.00E-20
1189,2.76E-05
1190,4.95E-05
1191,8.75E-36
1192,0.006051409
1193,0.003129637
1194,8.70E-05
1195,8.80E-35
1196,1.41E-09
1197,0.002530871
1198,6.32E-06
