,Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
0,1001,0.055665604,1.05e-05,0.000102088,0.069326778,0.006041094,0.000361742,0.000125802,2624.847312,8.59e-05,1.56e-05,1.56e-05,0.005086035
1,1002,0.051332353,4.85e-05,0.000102144,0.078026715,0.005570829,0.001555491,0.004829035,2736.518911,4.39e-05,0.000112804,0.000112804,0.038170799
2,1003,0.029999427,1.49e-05,0.000100994,0.061356019,0.003255679,0.000542613,5.31e-05,2008.749265,1.67e-05,2.12e-08,2.12e-08,0.290098224
4,1005,0.031999389,1.14e-06,0.000101114,0.059001866,0.003472725,3.62e-05,2.29e-05,2259.669854,4.34e-05,1.34e-06,1.34e-06,0.29264293
5,1006,0.000666654,1.15e-06,1.07e-09,0.038821576,7.23e-05,3.62e-05,3.7e-10,1318.597363,1.77e-05,7.17e-05,7.17e-05,0.264650955
7,1008,0.002666616,9.54e-11,9.65e-09,0.000325568,0.000289394,7.23e-05,1.4100000000000001e-33,10.33333333,2.22e-05,2.09e-08,2.09e-08,0.356260928
8,1009,0.000666654,2.63e-18,2.33e-16,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,1.87e-05,0.0,0.0,0.300277048
9,1010,0.01866631,1.29e-05,5.59e-05,0.059040237,0.002025756,0.000434091,0.00021953,2118.860506,1.8e-05,5.29e-06,5.29e-06,0.254472132
10,1011,0.032666043,4.6e-06,0.000101975,0.067968404,0.003545073,0.000144697,4.47e-05,2497.803962,3.27e-05,1.68e-06,1.68e-06,0.257016838
13,1014,0.003666597,1.52e-06,1.66e-09,0.012989153,0.000397916,0.000108523,8.66e-16,402.8099787,3.28e-05,1.5e-06,1.5e-06,0.343537329
15,1016,0.033999351,9.25e-06,0.000102576,0.075528451,0.00368977,0.000289394,0.000972251,2585.319716,3.3e-05,1.57e-05,1.57e-05,0.424968408
16,1017,0.004999905,1.54e-06,5.8e-09,0.045961013,0.000542613,0.000180871,3.85e-08,1463.976575,2.92e-05,0.000491075,0.000491075,0.246837944
17,1018,0.034332678,1.04e-05,0.000101869,0.072832152,0.003725944,0.000361742,0.001375085,2591.812007,3.32e-05,1.73e-05,1.73e-05,0.241748462
18,1019,0.004999905,1.16e-06,1.52e-09,0.038816733,0.000542613,0.000217045,9.13e-10,1247.208401,6.28e-05,4.33e-05,4.33e-05,0.244293238
19,1020,0.000333327,0.0,1.15e-09,3.62e-05,3.62e-05,0.0,5.47e-37,1.0,1.65e-05,0.0,0.0,0.274829849
20,1021,0.011999771,3.49e-07,2.81e-05,0.02037333,0.001302272,7.23e-05,5.58e-15,702.0440573,8.29e-05,1.22e-05,1.22e-05,0.285008742
22,1023,0.013999733,8.22e-06,3.93e-05,0.061038772,0.001519317,0.000325568,7.43e-06,2076.678664,6.18e-05,0.000282596,0.000282596,0.050894398
23,1024,0.028999446,2.74e-05,5.71e-05,0.067376447,0.003147157,0.000976704,6.46e-05,2420.582313,4.38e-05,0.00016518,0.00016518,0.315545424
25,1026,0.003666597,0.0,6.88e-06,0.002836269,0.000397916,0.0,1.04e-25,112.6808442,2.34e-05,0.0,0.0,0.320634835
26,1027,0.049332391,6.11e-05,0.00010156,0.068666084,0.005353784,0.001989582,0.000172017,2465.020944,2.2e-05,0.000158018,0.000158018,0.257016838
32,1033,0.057998893,0.000116612,7.27e-07,0.078892796,0.006294313,0.004015338,0.010974403,2746.244391,8.76e-05,0.001638351,0.001638351,0.262106249
34,1035,0.045332468,5.16e-05,0.000101045,0.055138508,0.004919693,0.001917233,7.01e-05,1990.863139,2.24e-05,0.000212776,0.000212776,0.320634835
35,1036,0.009999809,1.15e-05,4.77e-06,0.01195051,0.001085226,0.000397916,2.12e-16,415.9349948,1.89e-05,4.56e-07,4.56e-07,0.218845969
37,1038,0.000999981,1.15e-06,1.53e-10,8.14e-05,0.000108523,3.62e-05,9.570000000000001e-35,2.5,3.76e-05,6.54e-10,6.54e-10,0.295187636
38,1039,0.002333289,6.47e-07,1.18e-11,0.007713293,0.00025322,0.000180871,1.97e-20,236.3960211,2.21e-05,3.6e-06,3.6e-06,0.582741084
39,1040,0.000666654,1.47e-25,5.04e-15,3.62e-05,7.23e-05,3.62e-05,5.47e-37,1.0,1.98e-05,1.31e-09,1.31e-09,0.277374555
40,1041,0.051332353,3.56e-05,0.000102677,0.077295725,0.005570829,0.001157575,0.003205427,2722.755214,7.63e-05,0.000336713,0.000336713,0.007634188
41,1042,0.005666558,5.02e-08,4.47e-06,0.058360841,0.000614962,7.23e-05,5.02e-05,2031.07578,9.01e-05,7.21e-05,7.21e-05,0.285008742
42,1044,0.030999408,3.44e-06,0.00010129,0.065453126,0.003364202,0.000108523,0.00012928,2420.839806,2.19e-05,1.9e-06,1.9e-06,0.239203756
43,1045,0.001333308,3.45e-12,1.53e-10,0.035541434,0.000144697,3.62e-05,7.78e-11,1097.541358,5.09e-05,0.0,0.0,0.241748462
