Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
1001,0.055665604,1.05E-05,0.000102088,0.069326778,0.006041094,0.000361742,0.000125802,2624.847312,8.59E-05,1.56E-05,1.56E-05,0.005086035
1002,0.051332353,4.85E-05,0.000102144,0.078026715,0.005570829,0.001555491,0.004829035,2736.518911,4.39E-05,0.000112804,0.000112804,0.038170799
1003,0.029999427,1.49E-05,0.000100994,0.061356019,0.003255679,0.000542613,5.31E-05,2008.749265,1.67E-05,2.12E-08,2.12E-08,0.290098224
1004,0.000666654,3.43E-12,1.52E-10,3.62E-05,7.23E-05,3.62E-05,5.47E-37,1,1.98E-05,0,0,0.017813082
1005,0.031999389,1.14E-06,0.000101114,0.059001866,0.003472725,3.62E-05,2.29E-05,2259.669854,4.34E-05,1.34E-06,1.34E-06,0.29264293
1006,0.000666654,1.15E-06,1.07E-09,0.038821576,7.23E-05,3.62E-05,3.70E-10,1318.597363,1.77E-05,7.17E-05,7.17E-05,0.264650955
1007,0.001333308,0,1.17E-08,0.06296845,0.000144697,0,4.36E-05,2100.065648,2.79E-05,0,0,0.002546535
1008,0.002666616,9.54E-11,9.65E-09,0.000325568,0.000289394,7.23E-05,1.41E-33,10.33333333,2.22E-05,2.09E-08,2.09E-08,0.356260928
1009,0.000666654,2.63E-18,2.33E-16,3.62E-05,7.23E-05,3.62E-05,5.47E-37,1,1.87E-05,0,0,0.300277048
1010,0.01866631,1.29E-05,5.59E-05,0.059040237,0.002025756,0.000434091,0.00021953,2118.860506,1.80E-05,5.29E-06,5.29E-06,0.254472132
1011,0.032666043,4.60E-06,0.000101975,0.067968404,0.003545073,0.000144697,4.47E-05,2497.803962,3.27E-05,1.68E-06,1.68E-06,0.257016838
1012,0.015999695,3.13E-05,1.29E-06,0.05152523,0.001736362,0.001338446,1.86E-06,1779.640198,2.15E-05,0.000101224,0.000101224,0.005086035
1013,0.033666024,1.61E-05,0.000101217,0.071156627,0.003653596,0.000578787,0.001455665,2441.884651,2.56E-05,1.57E-05,1.57E-05,0.035626093
1014,0.003666597,1.52E-06,1.66E-09,0.012989153,0.000397916,0.000108523,8.66E-16,402.8099787,3.28E-05,1.50E-06,1.50E-06,0.343537329
1015,0.000333327,0,1.25E-14,0.004430259,3.62E-05,0,1.70E-24,132.2380536,1.89E-05,0,0,0.117057172
1016,0.033999351,9.25E-06,0.000102576,0.075528451,0.00368977,0.000289394,0.000972251,2585.319716,3.30E-05,1.57E-05,1.57E-05,0.424968408
1017,0.004999905,1.54E-06,5.80E-09,0.045961013,0.000542613,0.000180871,3.85E-08,1463.976575,2.92E-05,0.000491075,0.000491075,0.246837944
1018,0.034332678,1.04E-05,0.000101869,0.072832152,0.003725944,0.000361742,0.001375085,2591.812007,3.32E-05,1.73E-05,1.73E-05,0.241748462
1019,0.004999905,1.16E-06,1.52E-09,0.038816733,0.000542613,0.000217045,9.13E-10,1247.208401,6.28E-05,4.33E-05,4.33E-05,0.244293238
1020,0.000333327,0,1.15E-09,3.62E-05,3.62E-05,0,5.47E-37,1,1.65E-05,0,0,0.274829849
1021,0.011999771,3.49E-07,2.81E-05,0.02037333,0.001302272,7.23E-05,5.58E-15,702.0440573,8.29E-05,1.22E-05,1.22E-05,0.285008742
1022,0.001333308,1.29E-08,5.72E-09,0.036571083,0.000144697,3.62E-05,1.02E-10,1183.202969,2.01E-05,6.89E-08,6.89E-08,0.139959665
1023,0.013999733,8.22E-06,3.93E-05,0.061038772,0.001519317,0.000325568,7.43E-06,2076.678664,6.18E-05,0.000282596,0.000282596,0.050894398
1024,0.028999446,2.74E-05,5.71E-05,0.067376447,0.003147157,0.000976704,6.46E-05,2420.582313,4.38E-05,0.00016518,0.00016518,0.315545424
1025,0.043332506,1.72E-05,0.000101387,0.062694956,0.004702648,0.000614962,2.92E-05,2440.926189,3.35E-05,2.23E-05,2.23E-05,0.022902493
1026,0.003666597,0,6.88E-06,0.002836269,0.000397916,0,1.04E-25,112.6808442,2.34E-05,0,0,0.320634835
1027,0.049332391,6.11E-05,0.00010156,0.068666084,0.005353784,0.001989582,0.000172017,2465.020944,2.20E-05,0.000158018,0.000158018,0.257016838
1028,0.016666348,2.31E-10,6.12E-05,0.051921283,0.001808711,3.62E-05,7.33E-07,1952.808918,2.28E-05,2.20E-07,2.20E-07,0.035626093
1029,0.037999274,8.07E-06,0.000101562,0.061738526,0.004123861,0.00025322,3.88E-05,2379.324246,4.22E-05,6.18E-05,6.18E-05,0.005086035
1030,0.001333308,0,4.95E-11,0.001973666,0.000144697,0,2.42E-25,62.75595238,4.01E-05,0,0,0.094154679
1031,0.027332811,5.73E-06,0.000101161,0.065859235,0.002966286,0.000180871,3.89E-05,2305.095398,1.79E-05,1.91E-06,1.91E-06,0.040715504
1032,0.038665928,3.91E-05,0.000101189,0.065730443,0.004196209,0.001302272,7.70E-05,2295.571411,1.79E-05,4.62E-06,4.62E-06,0.119601878
1033,0.057998893,0.000116612,7.27E-07,0.078892796,0.006294313,0.004015338,0.010974403,2746.244391,8.76E-05,0.001638351,0.001638351,0.262106249
1034,0.001333308,0,3.04E-10,0.000178088,0.000144697,0,9.75E-33,5.833333333,3.87E-05,0,0,0.002546535
1035,0.045332468,5.16E-05,0.000101045,0.055138508,0.004919693,0.001917233,7.01E-05,1990.863139,2.24E-05,0.000212776,0.000212776,0.320634835
1036,0.009999809,1.15E-05,4.77E-06,0.01195051,0.001085226,0.000397916,2.12E-16,415.9349948,1.89E-05,4.56E-07,4.56E-07,0.218845969
1037,0.042665852,3.33E-05,0.000101267,0.05849562,0.0046303,0.001157575,1.81E-05,2285.298228,2.46E-05,2.00E-05,2.00E-05,0.025447199
1038,0.000999981,1.15E-06,1.53E-10,8.14E-05,0.000108523,3.62E-05,9.57E-35,2.5,3.76E-05,6.54E-10,6.54E-10,0.295187636
1039,0.002333289,6.47E-07,1.18E-11,0.007713293,0.00025322,0.000180871,1.97E-20,236.3960211,2.21E-05,3.60E-06,3.60E-06,0.582741084
1040,0.000666654,1.47E-25,5.04E-15,3.62E-05,7.23E-05,3.62E-05,5.47E-37,1,1.98E-05,1.31E-09,1.31E-09,0.277374555
1041,0.051332353,3.56E-05,0.000102677,0.077295725,0.005570829,0.001157575,0.003205427,2722.755214,7.63E-05,0.000336713,0.000336713,0.007634188
1042,0.005666558,5.02E-08,4.47E-06,0.058360841,0.000614962,7.23E-05,5.02E-05,2031.07578,9.01E-05,7.21E-05,7.21E-05,0.285008742
