,Rank,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality,scores
0,1,9203012,9203012,9905111,210224,9203012,9203012,211178,210224,9905111,9905111,9905111,5194
1,2,9207066,9207066,110055,210292,9207066,9207066,304232,210157,303256,9810008,9810008,5283
2,3,9205058,9204049,7170,211178,9205058,9205058,304025,210292,207116,206223,206223,5209
3,4,9204049,9211057,210157,209241,9204049,9204049,303060,110055,304263,9509140,9509140,5191
4,5,9202060,9205058,101126,210157,9202060,9202060,301250,207249,204253,9803001,9803001,6005
5,6,9211057,9202060,9806199,303191,9211057,9211057,304114,209241,211178,9912210,9912210,5262
6,7,9201050,9201050,9811019,303185,9201050,9201050,206062,9905111,8222,9607239,9607239,5218
7,8,9206056,9206056,9802051,211181,9206056,9206056,302064,303191,204089,3136,3136,5266
8,9,9211049,9210134,9912164,303072,9211049,9211049,303223,303072,304187,9902121,9902121,5274
9,10,9210134,9212016,3136,304259,9210134,9210134,211217,211178,304131,9907085,9907085,5193
10,11,9205078,9205078,9802067,206062,9205078,9205078,206029,207116,210157,206182,206182,5248
11,12,9212016,9211049,9807171,207249,9212016,9212016,303220,303185,9506171,206196,206196,5268
12,13,9207108,9207108,201253,207116,9207108,9207108,210153,203048,3190,9906064,9906064,5165
13,14,9210160,9210160,9712253,208165,9210160,9210160,210102,205306,304262,9903033,9903033,5242
14,15,9210163,9210163,210249,208107,9210163,9210163,301036,301094,304256,9904179,9904179,11096
15,16,9204084,9204084,204089,210229,9204084,9204084,303107,210134,109212,204158,204158,7165
16,17,9202065,9202065,9139,301094,9202065,9202065,206010,7170,101126,9904036,9904036,8228
17,18,9202035,9202035,206063,207214,9202035,9202035,209201,204089,110055,9908142,9908142,7217
18,19,9210114,9210114,303191,303172,9210114,9210114,301150,206062,304180,9905046,9905046,9034
19,20,9208042,9208042,7195,207105,9208042,9208042,207037,201253,207130,109133,109133,7024
20,21,9204013,9204013,4198,211195,9204013,9204013,209160,108172,304147,9605009,9605009,7183
21,22,9204019,9201025,203048,302137,9204019,9204019,211032,211181,9202,9908105,9908105,7242
22,23,9201025,9204019,9801182,303214,9201025,9201025,212343,209230,210224,9711200,9711200,8224
23,24,9211063,9211063,9901018,208163,9211063,9211063,209145,208107,211053,9611016,9611016,5199
24,25,9209040,9209040,203157,302125,9209040,9209040,208232,302125,12062,203211,203211,9013
25,26,9205111,9205111,9808100,301080,9205111,9205111,212208,207214,210070,108172,108172,12058
26,27,9210037,9210037,212114,304180,9210037,9210037,209215,101126,303095,106048,106048,11161
27,28,9206090,9205011,207249,206029,9206090,9206090,205311,304259,303185,9910053,9910053,10277
28,29,9205011,9211139,106048,302087,9205011,9205011,209263,208165,210278,204261,204261,11202
29,30,9211139,9206090,4187,303035,9211139,9211139,212269,212314,304268,9611190,9611190,3289
30,31,9210009,9210009,110274,207245,9210009,9210009,208178,207105,302075,9906151,9906151,11256
