Id,Betweenness-Centrality,,,,,,,,,,,
9611088,8.74E-05,,,,,,,,,,,
9702179,2.27E-07,,,,,,,,,,,
9711157,0.000524759,,,,,,,,,,,
9701155,1.54E-05,,,,,,,,,,,
9705003,9.87E-05,,,,,,,,,,,
9712116,1.36E-05,,,,,,,,,,,
9702059,2.57E-05,,,,,,,,,,,
9709081,2.64E-05,,,,,,,,,,,
9707076,0.000112108,,,,,,,,,,,
9602031,0.000142696,,,,,,,,,,,
9611197,3.88E-06,,,,,,,,,,,
9701020,7.80E-07,,,,,,,,,,,
9603158,0.000313341,,,,,,,,,,,
9612207,0.000224033,,,,,,,,,,,
9701191,1.71E-05,,,,,,,,,,,
9606184,2.16E-06,,,,,,,,,,,
9610139,0.000192421,,,,,,,,,,,
9710105,5.74E-05,,,,,,,,,,,
9703159,5.33E-06,,,,,,,,,,,
9811119,1.49E-06,,,,,,,,,,,
9705076,6.21E-05,,,,,,,,,,,
9710213,1.42E-05,,,,,,,,,,,
9907225,0.000842244,,,,,,,,,,,
9608147,3.40E-05,,,,,,,,,,,
9904172,6.37E-06,,,,,,,,,,,
7240,0.001095326,,,,,,,,,,,
107151,0.000105927,,,,,,,,,,,
9603034,2.40E-05,,,,,,,,,,,
9607210,2.03E-05,,,,,,,,,,,
9609183,1.45E-07,,,,,,,,,,,
9712167,3.68E-05,,,,,,,,,,,
9712010,2.06E-06,,,,,,,,,,,
9704067,2.63E-05,,,,,,,,,,,
9812155,4.60E-07,,,,,,,,,,,
9902018,0.001583637,,,,,,,,,,,
303104,3.33E-06,,,,,,,,,,,
304138,3.77E-06,,,,,,,,,,,
304271,0.00016783,,,,,,,,,,,
9707212,0.00030367,,,,,,,,,,,
9707047,5.69E-05,,,,,,,,,,,
9608077,9.01E-09,,,,,,,,,,,
9611020,1.47E-05,,,,,,,,,,,
110146,0.000774111,,,,,,,,,,,
9904210,3.58E-07,,,,,,,,,,,
9705004,4.19E-06,,,,,,,,,,,
9705106,8.02E-06,,,,,,,,,,,
207027,0.000194225,,,,,,,,,,,
9705164,6.73E-06,,,,,,,,,,,
9411149,0.006181174,,,,,,,,,,,
9605232,4.70E-05,,,,,,,,,,,
9607200,4.32E-06,,,,,,,,,,,
9607151,1.20E-05,,,,,,,,,,,
9611049,1.29E-06,,,,,,,,,,,
9611152,7.77E-06,,,,,,,,,,,
9701009,1.82E-05,,,,,,,,,,,
9605108,3.85E-05,,,,,,,,,,,
9605113,8.94E-05,,,,,,,,,,,
9607021,3.38E-05,,,,,,,,,,,
9608046,1.20E-06,,,,,,,,,,,
9701012,6.71E-05,,,,,,,,,,,
9702014,0.000344629,,,,,,,,,,,
9704104,0.000730727,,,,,,,,,,,
9707071,1.77E-05,,,,,,,,,,,
9710001,6.64E-05,,,,,,,,,,,
9710024,3.16E-05,,,,,,,,,,,
9703051,4.09E-05,,,,,,,,,,,
9704043,0.000135657,,,,,,,,,,,
9707027,1.11E-05,,,,,,,,,,,
9710149,0.001077986,,,,,,,,,,,
9705199,0.000362319,,,,,,,,,,,
108101,0.000103886,,,,,,,,,,,
9812166,0.004411055,,,,,,,,,,,
9612131,0.000221081,,,,,,,,,,,
9712029,7.53E-05,,,,,,,,,,,
9705069,9.98E-06,,,,,,,,,,,
9707258,5.54E-05,,,,,,,,,,,
9708015,5.36E-05,,,,,,,,,,,
9703210,0.000593376,,,,,,,,,,,
9701015,0.000153081,,,,,,,,,,,
9607058,0.000192695,,,,,,,,,,,
109053,0.0002518,,,,,,,,,,,
109063,3.67E-05,,,,,,,,,,,
9903061,3.16E-05,,,,,,,,,,,
9703110,0.001974829,,,,,,,,,,,
9702173,4.22E-05,,,,,,,,,,,
9705152,0.000904026,,,,,,,,,,,
9702174,0.000304016,,,,,,,,,,,
9603129,8.48E-05,,,,,,,,,,,
110028,0.000755129,,,,,,,,,,,
9702180,0.000217805,,,,,,,,,,,
9607125,9.95E-06,,,,,,,,,,,
9704198,0.000485252,,,,,,,,,,,
9812072,0.001410178,,,,,,,,,,,
9904033,0.001178834,,,,,,,,,,,
9910222,0.002376457,,,,,,,,,,,
9607239,0.000147814,,,,,,,,,,,
9708168,0.000211474,,,,,,,,,,,
9703191,5.70E-05,,,,,,,,,,,
110184,9.95E-05,,,,,,,,,,,
9705148,3.58E-05,,,,,,,,,,,
9811121,0.000331332,,,,,,,,,,,
9706127,0.000133666,,,,,,,,,,,
9711069,0.001144375,,,,,,,,,,,
111013,0.00145255,,,,,,,,,,,
9811231,0.00073401,,,,,,,,,,,
9707192,0.000867102,,,,,,,,,,,
9712046,0.000402152,,,,,,,,,,,
111231,0.000221344,,,,,,,,,,,
9811083,0.000159644,,,,,,,,,,,
9911243,0.000578112,,,,,,,,,,,
112040,0.000444401,,,,,,,,,,,
9704061,1.70E-06,,,,,,,,,,,
112082,1.26E-05,,,,,,,,,,,
201093,0.000313866,,,,,,,,,,,
201168,0.000165694,,,,,,,,,,,
9905126,1.65E-05,,,,,,,,,,,
9602021,1.67E-05,,,,,,,,,,,
202172,0.00014313,,,,,,,,,,,
203023,0.000244352,,,,,,,,,,,
203165,8.38E-05,,,,,,,,,,,
9703197,4.84E-06,,,,,,,,,,,
9707260,6.77E-06,,,,,,,,,,,
204023,7.37E-05,,,,,,,,,,,
9706121,0.000278567,,,,,,,,,,,
9708082,7.53E-05,,,,,,,,,,,
9709096,4.37E-05,,,,,,,,,,,
9601011,0.000108922,,,,,,,,,,,
205077,0.000280085,,,,,,,,,,,
