,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz-Centrality,Harmonic-Centrality,Percolation-Centrality,Rank-prestige,score
2,9711157,0.020850038,0.003665507,0.035217835,0.815182177,0.035151816,0.035151816,0.020850038,0.019448061,0.530273968,0.747653469,0.003665507,0.019830028,0.004088261
4,9705003,0.02967121,0.000689432,0.017031689,0.710180804,0.01698391,0.01698391,0.02967121,0.026357901,0.533216526,0.640947608,0.000689432,0.030352084,0.000830354
12,9603158,0.024057732,0.002188726,0.014156672,0.74201697,0.014101523,0.014101523,0.024057732,0.025101567,0.514935137,0.671482222,0.002188726,0.025495751,0.00261685
13,9612207,0.03448276,0.001564898,0.010597478,0.714370491,0.01055397,0.01055397,0.03448276,0.03458972,0.577102788,0.643836755,0.001564898,0.031566168,0.001962581
16,9610139,0.024057732,0.001344085,0.009810601,0.721167626,0.009777943,0.009777943,0.024057732,0.022902981,0.571625015,0.649508933,0.001344085,0.021044112,0.001620008
22,9907225,0.021651966,0.005883179,0.019584607,0.772773619,0.019511542,0.019511542,0.021651966,0.02158383,0.527863983,0.702019969,0.005883179,0.023067584,0.007066817
25,7240,0.032878904,0.007650988,0.026012257,0.773308981,0.025920418,0.025920418,0.032878904,0.035159782,0.62994621,0.703727889,0.007650988,0.033184945,0.008555845
28,9607210,0.025661588,0.000141798,0.009302552,0.692313766,0.009267982,0.009267982,0.025661588,0.022871573,0.535422332,0.621557172,0.000141798,0.026709834,0.000202604
32,9704067,0.020850038,0.000183709,0.017313868,0.72580569,0.017249977,0.017249977,0.020850038,0.017469334,0.647924918,0.657645543,0.000183709,0.021448806,0.00024641
34,9902018,0.032076976,0.011061901,0.030624209,0.807080509,0.030548201,0.030548201,0.032076976,0.030927505,0.512788469,0.737104122,0.011061901,0.032780251,0.012205144
37,304271,0.030473138,0.001172313,0.044530039,0.796339535,0.044355499,0.044355499,0.030473138,0.020892846,0.565201366,0.727583026,0.001172313,0.02994739,0.001343161
38,9707212,0.02485966,0.002121173,0.013634503,0.731818669,0.013613735,0.013613735,0.02485966,0.024504808,0.589403007,0.666645392,0.002121173,0.025900445,0.002399047
42,110146,0.027265444,0.005407261,0.064216605,0.834983543,0.06426215,0.06426215,0.027265444,0.022400447,0.647618789,0.774145587,0.005407261,0.027923917,0.006121628
45,9705106,0.028067354,5.6e-05,0.03037981,0.718458533,0.030295881,0.030295881,0.028067354,0.019008344,0.58719638,0.650496836,5.6e-05,0.025495751,6.99e-05
46,207027,0.032878904,0.001356686,0.035034156,0.767777195,0.034989516,0.034989516,0.032878904,0.024284949,0.623853577,0.70155072,0.001356686,0.028733306,0.001630483
48,9411149,0.162790699,0.043176267,0.098474599,0.820389128,0.098184961,0.098184961,0.162790699,0.158841534,0.513444038,0.758962769,0.043176267,0.159449616,0.048346631
60,9702014,0.066559736,0.002407276,0.068899033,0.795689311,0.068769538,0.068769538,0.066559736,0.049180163,0.514641402,0.732468667,0.002407276,0.063132335,0.002658059
61,9704104,0.06896552,0.005104219,0.092482021,0.84414531,0.092311765,0.092311765,0.06896552,0.049781947,0.43418147,0.781526186,0.005104219,0.067988669,0.005214644
65,9703051,0.037690454,0.000285692,0.041961472,0.76083131,0.041854474,0.041854474,0.037690454,0.025886776,0.577719496,0.694552668,0.000285692,0.034399029,0.000334022
66,9704043,0.044105859,0.000947581,0.055368836,0.782994084,0.055249148,0.055249148,0.044105859,0.030405184,0.544854548,0.718875999,0.000947581,0.04087414,0.001125413
67,9707027,0.031275066,7.75e-05,0.035984214,0.725719894,0.035880617,0.035880617,0.031275066,0.020987071,0.564268389,0.658929605,7.75e-05,0.027519223,9.86e-05
68,9710149,0.026463516,0.007529866,0.014760889,0.760510864,0.014722345,0.014722345,0.026463516,0.031807567,0.659276572,0.693509453,0.007529866,0.028328612,0.008230583
69,9705199,0.062550114,0.002530843,0.084750066,0.823857003,0.084539963,0.084539963,0.062550114,0.04517277,0.65137755,0.760917874,0.002530843,0.060299474,0.002669331
70,108101,0.028869282,0.000725657,0.059810666,0.810019529,0.059758088,0.059758088,0.028869282,0.020327495,0.555562034,0.750649201,0.000725657,0.032375556,0.000685254
71,9812166,0.01443465,0.030811766,0.021477353,0.786232952,0.021462696,0.021462696,0.01443465,0.0325554,0.586245697,0.721003577,0.030811766,0.01092675,0.034416947
72,9612131,0.04490777,0.001544278,0.039486002,0.782425284,0.039417306,0.039417306,0.04490777,0.034888728,0.569776621,0.717290501,0.001544278,0.042088223,0.001906798
73,9712029,0.016840416,0.00052598,0.031213371,0.765288825,0.031120022,0.031120022,0.016840416,0.013229204,0.613302201,0.696392108,0.00052598,0.013759611,0.000514723
