,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz-Centrality,Harmonic-Centrality,Percolation-Centrality,Rank-prestige
0,9611088,0.013632722,0.0006105,0.017868322,0.755531763,0.017804282,0.017804282,0.013632722,0.01253822,0.558227259,0.685028175,0.0006105,0.011331445
1,9702179,0.008821172,1.59e-06,0.004267519,0.672917992,0.004257064,0.004257064,0.008821172,0.008015415,0.5618019,0.600140362,1.59e-06,0.008498584
2,9711157,0.020850038,0.003665507,0.035217835,0.815182177,0.035151816,0.035151816,0.020850038,0.019448061,0.530273968,0.747653469,0.003665507,0.019830028
3,9701155,0.0096231,0.000107571,0.004716738,0.672593616,0.004700508,0.004700508,0.0096231,0.008926258,0.570174032,0.60040284,0.000107571,0.009712667
4,9705003,0.02967121,0.000689432,0.017031689,0.710180804,0.01698391,0.01698391,0.02967121,0.026357901,0.533216526,0.640947608,0.000689432,0.030352084
5,9712116,0.007217316,9.5e-05,0.003826644,0.673154098,0.00381362,0.00381362,0.007217316,0.006884714,0.569840988,0.600486465,9.5e-05,0.006070417
6,9702059,0.010425028,0.000179518,0.004467914,0.680073996,0.004456614,0.004456614,0.010425028,0.009491608,0.559107657,0.606796159,0.000179518,0.010522056
7,9709081,0.012028866,0.000184407,0.018745872,0.747500945,0.01869117,0.01869117,0.012028866,0.010528085,0.576717227,0.677376701,0.000184407,0.011331445
8,9707076,0.01523656,0.000783088,0.006242637,0.676581444,0.006208218,0.006208218,0.01523656,0.015710465,0.560506185,0.604664232,0.000783088,0.014164306
9,9602031,0.020850038,0.000996749,0.016144421,0.741067549,0.01607485,0.01607485,0.020850038,0.019919186,0.543203793,0.670773312,0.000996749,0.023067584
10,9611197,0.011226938,2.71e-05,0.005588797,0.682417413,0.005565224,0.005565224,0.011226938,0.009774284,0.555667586,0.609920288,2.71e-05,0.010522056
11,9701020,0.0096231,5.45e-06,0.005207576,0.67301389,0.005188296,0.005188296,0.0096231,0.008360907,0.56651429,0.600601423,5.45e-06,0.008498584
12,9603158,0.024057732,0.002188726,0.014156672,0.74201697,0.014101523,0.014101523,0.024057732,0.025101567,0.514935137,0.671482222,0.002188726,0.025495751
13,9612207,0.03448276,0.001564898,0.010597478,0.714370491,0.01055397,0.01055397,0.03448276,0.03458972,0.577102788,0.643836755,0.001564898,0.031566168
14,9701191,0.01523656,0.000119446,0.00499657,0.672977004,0.004966574,0.004966574,0.01523656,0.014422722,0.550337763,0.600758348,0.000119446,0.014973695
15,9606184,0.01443465,1.51e-05,0.005724395,0.6746187,0.005698257,0.005698257,0.01443465,0.013386246,0.537212222,0.602322071,1.51e-05,0.015783084
16,9610139,0.024057732,0.001344085,0.009810601,0.721167626,0.009777943,0.009777943,0.024057732,0.022902981,0.571625015,0.649508933,0.001344085,0.021044112
17,9710105,0.020850038,0.000400946,0.007685259,0.682720966,0.007649411,0.007649411,0.020850038,0.020264678,0.610094291,0.61239309,0.000400946,0.019830028
18,9703159,0.01443465,3.72e-05,0.005561025,0.678285753,0.005543052,0.005543052,0.01443465,0.013606105,0.538022963,0.605620141,3.72e-05,0.016592473
19,9811119,0.01443465,1.04e-05,0.005501762,0.672593616,0.005476535,0.005476535,0.01443465,0.013637513,0.567723959,0.600492087,1.04e-05,0.014569
20,9705076,0.010425028,0.000433776,0.018522737,0.745196335,0.018469448,0.018469448,0.010425028,0.009837101,0.559219955,0.675014508,0.000433776,0.009307972
21,9710213,0.008821172,9.92e-05,0.004449798,0.671321256,0.004434441,0.004434441,0.008821172,0.008360907,0.564082247,0.59832996,9.92e-05,0.006475111
22,9907225,0.021651966,0.005883179,0.019584607,0.772773619,0.019511542,0.019511542,0.021651966,0.02158383,0.527863983,0.702019969,0.005883179,0.023067584
23,9608147,0.012028866,0.000237494,0.002974097,0.660949982,0.002971076,0.002971076,0.012028866,0.012381178,0.54580519,0.587922095,0.000237494,0.013354917
24,9904172,0.004009622,4.45e-05,0.001172473,0.658843351,0.001168475,0.001168475,0.004009622,0.004497678,0.56824442,0.586610287,4.45e-05,0.00364225
25,7240,0.032878904,0.007650988,0.026012257,0.773308981,0.025920418,0.025920418,0.032878904,0.035159782,0.62994621,0.703727889,0.007650988,0.033184945
26,107151,0.01523656,0.000739913,0.006031957,0.689979545,0.006008668,0.006008668,0.01523656,0.016307224,0.581617311,0.617759704,0.000739913,0.013759611
27,9603034,0.0096231,0.000167643,0.009148762,0.714337242,0.009112777,0.009112777,0.0096231,0.009208933,0.559789436,0.644382454,0.000167643,0.008903278
28,9607210,0.025661588,0.000141798,0.009302552,0.692313766,0.009267982,0.009267982,0.025661588,0.022871573,0.535422332,0.621557172,0.000141798,0.026709834
29,9609183,0.008019244,1.01e-06,0.003919036,0.671548895,0.003902308,0.003902308,0.008019244,0.00735584,0.564266602,0.598649989,1.01e-06,0.008903278
30,9712167,0.0096231,0.000257053,0.01025039,0.73630367,0.010221387,0.010221387,0.0096231,0.009742875,0.557805935,0.664536401,0.000257053,0.009712667
