Id,betweenness_centrality
9601026,0
9601025,0
9906113,1.66E-06
9601029,0
9601028,0
9601027,0
9601030,0
104207,0.002140636
9601034,0
9601035,0
9601036,0.009860412
9601037,1.66E-06
9601038,0
9601039,0.011293121
9601040,0
9601041,0
9601042,0.000349328
9906116,1.66E-06
9601044,1.58E-05
9601043,4.97E-06
104203,8.05E-05
9601045,0.001453779
9601048,0
9601049,3.74E-05
9601050,0
9601051,4.64E-05
9601052,0.000384725
9906118,0.000442454
104212,1.33E-05
9601055,0
9601056,0
9601057,2.00E-05
9601058,0
9601059,0.058850225
9601053,0
9601054,0.005604422
9601062,1.58E-05
9906120,0
9601063,0.002574663
9601065,4.97E-06
9601064,0
9601067,0
9601068,0
9906121,0.028569912
9601070,0
9601069,0
9601072,3.32E-06
9601073,0
9601074,0
9601075,0
9601076,0
9601077,0
9601078,2.49E-06
9906123,0.019130885
9601080,0
9601081,0
9601082,1.16E-05
9906124,0
9601084,0.004845929
9601085,0.002886488
9601083,1.66E-06
9601087,0.027390033
9601088,0
9601089,0
9906125,3.83E-05
9601091,0.00036492
9601092,0
9906126,0.000674216
9601094,0.001217803
9601093,0
9601096,2.83E-05
9601097,0
9601098,0.009733996
9906127,0.003969448
9601099,0.00119252
9601100,0
9601102,0
9906128,0
9601104,0.000450882
9601103,0
9601105,7.50E-05
9601107,0
9601108,0
9601109,0.000442454
9601110,0
9601111,0.000420121
9601112,0
9601113,6.66E-06
9906130,0
9601115,0.000707927
9601116,0.000202265
9601117,0
9601118,0
9601114,0
9121,0.010155382
104206,3.32E-06
9601121,9.99E-06
9906132,0
9601123,0
9601124,0
9601125,0
9601120,0
9601128,0
9601129,0
9601130,0
9906133,0
9601131,0
9601132,0
9601135,0
9601136,0
9601137,5.10E-05
9601138,0
9601139,4.15E-05
9906135,0
9601141,1.33E-05
9601142,0
9601143,0
9601144,0
9601145,0
9601146,0
9601147,0
9601148,0
9906136,0
9601150,0
9601151,0
9601152,0
9906138,0
9601154,0.031308915
9601153,0
9601156,0
9601157,4.97E-06
9601158,0
9906139,2.49E-06
9601160,0
9601161,5.69E-05
9601162,6.49E-05
9601163,3.38E-05
9601164,0.004888067
9601159,0
9601166,0.002680009
9601167,0
9601168,4.80E-05
9906141,0.038725293
9601169,0.0130208
9601171,0
9601172,0.012346584
9906142,0.009228334
9601170,0
9601175,0
9601176,9.99E-06
9601177,0.001740321
9906143,0
9601179,0.133755646
9601174,4.47E-05
9601178,0.002587305
9601173,0
9906144,3.32E-06
302193,1.33E-05
9906146,0.005646561
9511069,0
9906149,0.001900447
9906150,0
9906151,0
9906152,0
9906153,0
9906155,0
9906156,0
9906159,0
9906160,0
9906164,0
9906165,0.005140899
9906167,0
9503001,6.15E-05
9503002,0
9503003,0
9503005,0
9906169,0
9129,0
9503009,0
9503010,0
9503011,0
9503012,0
9503014,0
9503015,0
9503016,0
9503017,0
9907042,0
9503019,0.002949696
9906172,3.32E-06
9503020,0
9503022,0
9503023,0
9503021,0
9503025,0.003455358
9503024,0
9503027,0
9503028,0
9503029,0.009186196
9503030,0
9906174,0
9503032,0
9503033,7.50E-06
9503034,0
9503036,0.00017951
9503037,0.000219963
9503038,0
9503040,0
9503041,0
9503042,0
9907043,0
9503044,0
9503045,0
9906177,3.32E-06
9503046,0.001230445
9503043,3.89E-05
9503051,0
9503052,0
9503053,0
9503055,0
9503056,0
9503057,0
9503058,0
9503060,0.017782452
9503061,0
9906180,0
9503062,0
9503064,0
9503065,0
9906181,0.001508559
9503063,0
9503068,2.49E-05
9503069,0
9503070,0
9503071,0
9503072,0
104216,0
9503074,0
9503075,0
