Id,eigenvector_centrality
0.96859471,0
0.968594609,2.11E-89
0.999376469,4.24E-89
0.968595013,0
0.968594912,0
0.968594811,0
0.968595114,0
0.010412971,3.03E-87
0.968595517,0
0.968595618,4.53E-87
0.968595719,7.52E-86
0.96859582,2.11E-89
0.968595921,0
0.968596022,5.16E-80
0.968596122,0
0.968596223,0
0.968596324,6.34E-89
0.999376771,4.24E-89
0.968596526,2.62E-84
0.968596425,6.34E-89
0.010412568,1.84E-83
0.968596627,2.11E-89
0.96859693,1.52E-87
0.968597031,2.62E-84
0.968597131,0
0.968597232,1.07E-83
0.968597333,2.15E-79
0.999376973,4.59E-87
0.010413476,7.36E-86
0.968597636,0
0.968597737,1.05E-83
0.968597838,1.27E-88
0.968597939,0
0.968598039,6.20E-74
0.968597434,0
0.968597535,4.80E-81
0.968598342,4.24E-89
0.999377175,0
0.968598443,1.52E-87
0.968598645,2.11E-89
0.968598544,2.11E-89
0.968598847,0
0.968598948,0
0.999377276,5.18E-72
0.968599149,0
0.968599048,2.11E-89
0.968599351,4.24E-89
0.968599452,0
0.968599553,0
0.968599654,0
0.968599755,2.11E-89
0.968599856,0
0.968599956,2.11E-89
0.999377478,2.56E-72
0.968600158,0
0.968600259,0
0.96860036,2.11E-89
0.999377579,0
0.968600562,4.24E-89
0.968600663,4.27E-73
0.968600461,2.11E-89
0.968600865,3.78E-79
0.968600965,2.11E-89
0.968601066,2.11E-89
0.99937768,4.24E-89
0.968601268,2.42E-73
0.968601369,0
0.99937778,3.03E-87
0.968601571,2.11E-89
0.96860147,0
0.968601773,3.03E-87
0.968601873,2.11E-89
0.968601974,5.30E-84
0.999377881,6.52E-78
0.968602075,7.11E-73
0.968602176,0
0.968602378,0
0.999377982,0
0.96860258,2.46E-71
0.968602479,1.52E-87
0.968602681,1.57E-87
0.968602882,0
0.968602983,0
0.968603084,2.11E-89
0.968603185,0
0.968603286,3.11E-87
0.968603387,2.11E-89
0.968603488,1.54E-87
0.999378184,5.38E-84
0.96860369,2.24E-85
0.968603791,1.08E-77
0.968603891,0
0.968603992,0
0.968603589,4.98E-80
0.000819268,8.19E-72
0.01041287,2.11E-89
0.968604295,4.24E-89
0.999378386,4.41E-07
0.968604497,2.11E-89
0.968604598,2.11E-89
0.968604699,0
0.968604194,0
0.968605001,0
0.968605102,2.11E-89
0.968605203,0
