Id,eigenvector_centrality
9601026,0
9601025,2.11E-89
9906113,4.24E-89
9601029,0
9601028,0
9601027,0
9601030,0
104207,3.03E-87
9601034,0
9601035,4.53E-87
9601036,7.52E-86
9601037,2.11E-89
9601038,0
9601039,5.16E-80
9601040,0
9601041,0
9601042,6.34E-89
9906116,4.24E-89
9601044,2.62E-84
9601043,6.34E-89
104203,1.84E-83
9601045,2.11E-89
9601048,1.52E-87
9601049,2.62E-84
9601050,0
9601051,1.07E-83
9601052,2.15E-79
9906118,4.59E-87
104212,7.36E-86
9601055,0
9601056,1.05E-83
9601057,1.27E-88
9601058,0
9601059,6.20E-74
9601053,0
9601054,4.80E-81
9601062,4.24E-89
9906120,0
9601063,1.52E-87
9601065,2.11E-89
9601064,2.11E-89
9601067,0
9601068,0
9906121,5.18E-72
9601070,0
9601069,2.11E-89
9601072,4.24E-89
9601073,0
9601074,0
9601075,0
9601076,2.11E-89
9601077,0
9601078,2.11E-89
9906123,2.56E-72
9601080,0
9601081,0
9601082,2.11E-89
9906124,0
9601084,4.24E-89
9601085,4.27E-73
9601083,2.11E-89
9601087,3.78E-79
9601088,2.11E-89
9601089,2.11E-89
9906125,4.24E-89
9601091,2.42E-73
9601092,0
9906126,3.03E-87
9601094,2.11E-89
9601093,0
9601096,3.03E-87
9601097,2.11E-89
9601098,5.30E-84
9906127,6.52E-78
9601099,7.11E-73
9601100,0
9601102,0
9906128,0
9601104,2.46E-71
9601103,1.52E-87
9601105,1.57E-87
9601107,0
9601108,0
9601109,2.11E-89
9601110,0
9601111,3.11E-87
9601112,2.11E-89
9601113,1.54E-87
9906130,5.38E-84
9601115,2.24E-85
9601116,1.08E-77
9601117,0
9601118,0
9601114,4.98E-80
9121,8.19E-72
104206,2.11E-89
9601121,4.24E-89
9906132,4.41E-07
9601123,2.11E-89
9601124,2.11E-89
9601125,0
9601120,0
9601128,0
9601129,2.11E-89
9601130,0
9906133,2.11E-89
9601131,1.50E-82
9601132,2.11E-89
9601135,0
9601136,0
9601137,2.11E-89
9601138,0
9601139,4.24E-89
9906135,0
9601141,2.11E-89
9601142,0
9601143,0
9601144,0
9601145,0
9601146,0
9601147,1.09E-80
9601148,0
9906136,0
9601150,0
9601151,0
9601152,0
9906138,0
9601154,2.24E-72
9601153,2.11E-89
9601156,0
9601157,6.34E-89
9601158,0
9906139,2.11E-89
9601160,1.55E-82
9601161,6.99E-79
9601162,6.34E-89
9601163,2.11E-89
9601164,2.97E-84
9601159,2.11E-89
9601166,6.75E-78
9601167,0
9601168,4.24E-89
9906141,6.20E-74
9601169,5.00E-81
9601171,0
9601172,1.47E-82
9906142,2.42E-73
9601170,0
9601175,0
9601176,4.61E-87
9601177,1.05E-76
9906143,0
9601179,1.50E-71
9601174,1.36E-78
9601178,8.90E-81
9601173,0
9906144,4.24E-89
302193,1.52E-87
9906146,3.09E-83
9511069,6.50E-85
9906149,1.39E-45
9906150,0
9906151,0
9906152,1.81E-81
9906153,0
9906155,0
9906156,0
9906159,0
9906160,0
9906164,2.64E-77
9906165,4.12E-45
9906167,0
9503001,3.78E-80
9503002,0
9503003,0
9503005,0
9906169,0
9129,0
9503009,0
9503010,1.87E-81
9503011,0
9503012,0
9503014,0
9503015,0
