,Unnamed: 0,Id,Katz-Centrality,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Load-centrality,Page-Rank,Percolation-Centrality,Hybrid-Centrality,score
2,2,0.999376469,0.004333608,0.000367441,1.66e-06,0.002089929,0.002950177,0.001472424,4.2399999999999996e-89,0.001738132,2.42e-06,1.66e-06,0.001039603,1.66e-06,0.00020062,0.335957789
5,5,0.968594811,0.0,1.18e-18,0.0,0.0,0.399705208,0.400589096,0.0,0.0,0.480464394,0.0,0.0,0.0,0.480464394,0.17917864
10,10,0.968595719,0.007172114,0.000270177,0.009860412,0.003265518,0.004425101,0.001472424,7.52e-86,0.003331419,1.01e-19,0.009863334,0.006877376,0.009860412,0.004938329,0.022399492
12,12,0.968595921,0.0,1.18e-18,0.0,0.0,0.0781714,0.079528723,0.0,0.0,0.104322357,0.0,0.0,0.0,0.104322357,0.0
13,13,0.968596022,0.021833822,0.007943211,0.011293121,0.012644078,0.02802391,0.017673052,5.16e-80,0.014136805,0.009104504,0.01138077,0.00699733,0.011293121,0.014606112,0.0
14,14,0.968596122,0.0,1.18e-18,0.0,0.0,0.160767244,0.162002951,0.0,0.0,0.200454265,0.0,0.0,0.0,0.200454265,0.123186148
17,17,0.999376771,0.004333608,6.78e-06,1.66e-06,0.002089929,0.002950177,0.001472424,4.2399999999999996e-89,0.001738132,0.00014815,1.66e-06,0.01315498,1.66e-06,0.002685216,0.313560795
26,26,0.968597333,0.042387546,0.057745792,0.000384725,0.020565255,0.022124214,0.001472424,2.1500000000000002e-79,0.02382689,1.74e-05,0.000398327,0.005437925,0.000384725,0.001210199,0.089590656
27,27,0.999376973,0.009317249,7.94e-05,0.000442454,0.005120332,0.008849873,0.004418257,4.59e-87,0.004779862,0.000637353,0.000442585,0.013314919,0.000442454,0.003368866,0.358354783
33,33,0.968598039,0.056229917,0.252836996,0.058850225,0.0395979,0.0781714,0.047128123,6.1999999999999995e-74,0.045332133,0.076033216,0.060556233,0.004838154,0.058850225,0.098828543,0.0
35,35,0.968597535,0.038879398,0.022262605,0.005604422,0.02429819,0.039823327,0.022091309,4.8e-81,0.024116579,0.003086456,0.005774687,0.003918505,0.005604422,0.005925995,0.0
37,37,0.999377175,0.0,1.18e-18,0.0,0.0,0.0,0.001472424,0.0,0.000869066,1.01e-19,0.0,0.0,0.0,0.0,0.145583149
