,Id,Katz-Centrality,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-centrality,Harmonic-Centrality,Hub-Score,Load-centrality,Page-Rank,Percolation-Centrality,Hybrid-Centrality,score
0,0.96859471,0,1.18E-18,0,0,0,0.001472424,0,0,1.01E-19,0,0,0,0,0.078392159
1,0.968594609,0.002166804,1.19E-18,0,0.001044731,0,0,2.11E-89,0.000869066,1.01E-19,0,0.008756658,0,0.001689835,0.055994983
2,0.999376469,0.004333608,0.000367441,1.66E-06,0.002089929,0.002950177,0.001472424,4.24E-89,0.001738132,2.42E-06,1.66E-06,0.001039603,1.66E-06,0.00020062,0.335957789
3,0.968595013,0,1.18E-18,0,0,0,0.001472424,0,0,1.02E-19,0,0,0,0,0.100789154
4,0.968594912,0,1.18E-18,0,0,0,0.001472424,0,0,5.66E-09,0,0,0,0,0.134384645
5,0.968594811,0,1.18E-18,0,0,0.399705208,0.400589096,0,0,0.480464394,0,0,0,0.480464394,0.17917864
6,0.968595114,0,1.18E-18,0,0,0.004425101,0.00589101,0,0.001738132,6.42E-07,0,0,0,0,0.167980143
7,0.010412971,0.002600163,1.24E-05,0.002140636,0.001880932,0.004425101,0.004418257,3.03E-87,0,0.000925937,0.002170776,0.001359481,0.002140636,0.001977646,0.201575634
8,0.968595517,0,1.18E-18,0,0,0.007374949,0.008836514,0,0,5.60E-05,0,0,0,5.60E-05,0.436744444
9,0.968595618,0.002816847,1.10E-18,0,0.002388492,0,0,4.53E-87,0,1.01E-19,0,0.004318352,0,0.000833343,0.033597989
10,0.968595719,0.007172114,0.000270177,0.009860412,0.003265518,0.004425101,0.001472424,7.52E-86,0.003331419,1.01E-19,0.009863334,0.006877376,0.009860412,0.004938329,0.022399492
11,0.96859582,0.002166804,1.34E-18,1.66E-06,0.001044731,0.005900025,0.00589101,2.11E-89,0.000869066,1.17E-19,1.66E-06,0.001759329,1.66E-06,0.00033951,0.291163793
12,0.968595921,0,1.18E-18,0,0,0.0781714,0.079528723,0,0,0.104322357,0,0,0,0.104322357,0
13,0.968596022,0.021833822,0.007943211,0.011293121,0.012644078,0.02802391,0.017673052,5.16E-80,0.014136805,0.009104504,0.01138077,0.00699733,0.011293121,0.014606112,0
14,0.968596122,0,1.18E-18,0,0,0.160767244,0.162002951,0,0,0.200454265,0,0,0,0.200454265,0.123186148
15,0.968596223,0,1.18E-18,0,0,0.004425101,0.00589101,0,0,1.77E-07,0,0,0,0,0.302362298
16,0.968596324,0.006500402,2.08E-08,0.000349328,0.003134893,0.004425101,0.001472424,6.34E-89,0.002607198,2.48E-09,0.000349432,0.018233042,0.000349328,0.003649734,0.022399492
17,0.999376771,0.004333608,6.78E-06,1.66E-06,0.002089929,0.002950177,0.001472424,4.24E-89,0.001738132,0.00014815,1.66E-06,0.01315498,1.66E-06,0.002685216,0.313560795
18,0.968596526,0.009146066,0.000891585,1.58E-05,0.004179857,0.007374949,0.002945505,2.62E-84,0.004200485,1.03E-15,1.58E-05,0.007357192,1.58E-05,0.001427486,0.257568302
19,0.968596425,0.006500402,0.000233703,4.97E-06,0.003134893,0.004425101,0.001472424,6.34E-89,0.000869066,1.01E-19,4.97E-06,0.006397559,4.97E-06,0.001234582,0.011200995
20,0.010412568,0.017241237,0.01531905,8.05E-05,0.010018043,0.011799745,0.004418257,1.84E-83,0.010501213,0.000956801,8.09E-05,0.00151942,8.05E-05,0.001279567,0
21,0.968596627,0.002166804,1.43E-07,0.001453779,0.001044731,0.002950177,0.002945505,2.11E-89,0.003403841,0.00101853,0.001454209,0.002918886,0.001453779,0.002114222,0.022399492
22,0.96859693,0.002383488,9.95E-17,0,0.001394084,0,0,1.52E-87,0,1.01E-19,0,0.00623762,0,0.001203718,0.548729604
23,0.968597031,0.004812468,4.73E-07,3.74E-05,0.003200205,0.002950177,0.001472424,2.62E-84,0,2.43E-06,3.74E-05,0.00623762,3.74E-05,0.00121915,1.063861038
24,0.968597131,0,1.18E-18,0,0,0.001475253,0.002945505,0,0,9.98E-20,0,0,0,0,0.089590656
25,0.968597232,0.011731062,9.43E-07,4.64E-05,0.007585682,0.007374949,0.002945505,1.07E-83,0.007459482,1.03E-19,4.64E-05,0.03204977,4.64E-05,0.006201847,0.302362298
26,0.968597333,0.042387546,0.057745792,0.000384725,0.020565255,0.022124214,0.001472424,2.15E-79,0.02382689,1.74E-05,0.000398327,0.005437925,0.000384725,0.001210199,0.089590656
27,0.999376973,0.009317249,7.94E-05,0.000442454,0.005120332,0.008849873,0.004418257,4.59E-87,0.004779862,0.000637353,0.000442585,0.013314919,0.000442454,0.003368866,0.358354783
28,0.010413476,0.002621831,1.17E-18,1.33E-05,0.002089929,0.001475253,0.001472424,7.36E-86,0.00202782,1.01E-19,1.33E-05,0.021151928,1.33E-05,0.004089554,0.123186148
29,0.968597636,0,1.18E-18,0,0,0.001475253,0.002945505,0,0.001738132,0.000581797,0,0,0,0.000581797,3.057195796
30,0.968597737,0.006249056,1.01E-16,0,0.006269786,0.001475253,0,1.05E-83,0,1.01E-19,0,0.011755514,0,0.002268545,0.212774131
31,0.968597838,0.013000814,8.94E-07,2.00E-05,0.006269786,0.008849873,0.001472424,1.27E-88,0.005214395,4.56E-07,2.00E-05,0.015314156,2.00E-05,0.002962997,0.044796486
32,0.968597939,0,1.18E-18,0,0,0.010324821,0.011782043,0,0,3.23E-06,0,0,0,0,0.022399492
33,0.968598039,0.056229917,0.252836996,0.058850225,0.0395979,0.0781714,0.047128123,6.20E-74,0.045332133,0.076033216,0.060556233,0.004838154,0.058850225,0.098828543,0
34,0.968597434,0,1.18E-18,0,0,0.002950177,0.004418257,0,0,0.000654329,0,0,0,0.000654329,0.36955328
35,0.968597535,0.038879398,0.022262605,0.005604422,0.02429819,0.039823327,0.022091309,4.80E-81,0.024116579,0.003086456,0.005774687,0.003918505,0.005604422,0.005925995,0
36,0.968598342,0.004333608,4.78E-08,1.58E-05,0.002089929,0.004425101,0.002945505,4.24E-89,0.001303599,6.94E-09,1.58E-05,0.004918123,1.58E-05,0.000956801,0.044796486
37,0.999377175,0,1.18E-18,0,0,0,0.001472424,0,0.000869066,1.01E-19,0,0,0,0,0.145583149
38,0.968598443,0.002383488,1.19E-18,0.002574663,0.001394084,0.002950177,0.002945505,1.52E-87,0,4.79E-07,0.002575426,0.010635941,0.002574663,0.002993862,0.078392159
39,0.968598645,0.002166804,1.11E-18,4.97E-06,0.001044731,0.001475253,0.001472424,2.11E-89,0,1.01E-19,4.97E-06,0.002918886,4.97E-06,0.000563278,0.100789154
40,0.968598544,0.002166804,1.20E-18,0,0.001044731,0,0,2.11E-89,0.053977269,1.01E-19,0,0.008756658,0,0.001689835,0.078392159
41,0.968598847,0,1.18E-18,0,0,0.001475253,0.002945505,0,0,6.44E-09,0,0,0,0,0.134384645
42,0.968598948,0,1.18E-18,0,0,0,0.001472424,0,0,2.29E-06,0,0,0,0,0
