,Unnamed: 0,Node Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality,Page-Rank,Percolation-Centrality,Rank-Prestige,scores
31,31,9306153,0.003312605,0.032787235,0.009673644,0.073643495,0.060418277,4.58e-34,0.011139196,0.006971226,0.003424151,0.033015262,0.023933236,0.032787235,0.063241107,0.010419333
44,44,9307007,7.32e-07,0.0,0.001389174,0.001550475,0.000774503,3.07e-26,0.001281771,4.12e-09,0.000431024,0.0,0.070732862,0.0,0.009881423,0.0
45,45,9307008,1.78e-06,1.43e-06,0.002222681,0.003876054,0.000774503,3.07e-26,0.001831101,1.7e-09,0.000910135,1.43e-06,0.064545625,1.43e-06,0.019762846,0.0
47,47,9307010,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.0,0.011175566,0.0,0.0,0.0,0.0,0.0,0.020842283
78,78,9307049,0.001457262,0.005033006,0.001389174,0.060465197,0.059643684,1.82e-37,0.001281771,0.041220566,0.000391012,0.005088469,0.000566467,0.005033006,0.005928854,0.0
124,124,9307111,1.12e-18,0.0,0.0,0.036434196,0.037180481,0.0,0.0,0.007284947,0.0,0.0,0.0,0.0,0.0,0.0
158,158,9307158,0.001983298,0.002999468,0.002000418,0.03488381,0.032532925,1.13e-36,0.001831101,0.006024,0.000749728,0.003002197,0.000660878,0.002999468,0.019762846,0.010419333
165,165,9307168,1.12e-18,0.0,0.0,0.037984582,0.038729666,0.0,0.0,0.015535633,0.0,0.0,0.0,0.0,0.0,0.0
171,171,9307174,1.12e-18,0.0,0.0,0.026356669,0.027110759,0.0,0.0,0.000159974,0.0,0.0,0.0,0.0,0.0,0.0
219,219,9701014,1.12e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.00073244,0.005721039,0.0,0.0,0.0,0.0,0.0,0.010419333
223,223,9509161,1.12e-18,0.0,0.0,0.100000075,0.100697128,0.0,0.0,0.024822271,0.0,0.0,0.0,0.0,0.0,0.031262826
