,Id,Unnamed: 0.1,Node Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality
0,9306145,0.0,0.9388351753140113,1.0347e-18,0.0,0.0,0.014728774,0.01549187,0.0,0.0,0.00033644,0.0,0.0
1,9306147,8.675284115554784e-05,0.938835377128831,0.00015567799999999991,0.004905909,0.002722783,0.018604739,0.014717277,7.43e-38,0.002380431,0.000108848,0.001037037,0.004884931
2,9306153,0.00030363494404441745,0.9388359825732903,0.003312605,0.032787235,0.009673644,0.073643495,0.060418277,4.58e-34,0.011139196,0.006971226,0.003424151,0.033015262
3,9306162,0.000563893467511061,0.9388368907399792,0.00013221999999999992,0.006939447,0.00316115,0.013953581,0.009295111,9.61e-37,0.002746651,0.000117919,0.001208746,0.007022088
4,9307001,0.0006940227292443827,0.9389215520568714,1.0347e-18,0.0,0.0,0.018604739,0.019364833,0.0,0.0,0.000216459,0.0,0.0
5,9307007,0.0008675284115554784,0.9389221575013307,7.319999999999147e-07,0.0,0.001389174,0.001550475,0.000774503,3.07e-26,0.001281771,4.12e-09,0.000431024,0.0
6,9307008,0.0009109048321332523,0.9389222584087406,1.7799999999999146e-06,1.43e-06,0.002222681,0.003876054,0.000774503,3.07e-26,0.001831101,1.7e-09,0.000910135,1.43e-06
7,9307010,0.0009976576732888002,0.9389224602235604,1.0347e-18,0.0,0.0,0.025581476,0.026336166,0.0,0.0,0.011175566,0.0,0.0
8,9307036,0.0018651860848442788,0.9389250838162173,1.0347e-18,0.0,0.0,0.013178388,0.013942685,0.0,0.0,0.000931806,0.0,0.0
9,9307045,0.002168821028888696,0.9389259919829063,1.0347e-18,0.0,0.0,0.013953581,0.014717277,0.0,0.0,0.000437042,0.0,0.0
10,9307049,0.002342326711199792,0.9389263956125459,0.001457262,0.005033006,0.001389174,0.060465197,0.059643684,1.82e-37,0.001281771,0.041220566,0.000391012,0.005088469
