,Node Id,Authorities-Score,Betweenness-Centrality,Closeness-Centrality,Degree-Centrality,Degree-Prestige,EigenVector-Centrality,Harmonic-Centrality,Hub-Score,Katz-Centrality,Load-Centrality,Page-Rank,Percolation-Centrality,Rank-Prestige,scores
0,9306112,1.63E-05,0,0.00088897,0.000775103,0,5.14E-39,0.00073244,4.45E-21,0.000340012,0,0.000991317,0,0.007905138,0
1,9306114,1.18E-05,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000519262,0,0.005928854,0
2,9306115,1.12E-18,0,0,0,0.000774503,0,0,4.04E-07,0,0,0,0,0,0
3,9306116,1.12E-18,0,0,0,0.000774503,0,0,6.43E-07,0,0,0,0,0,0
4,9306117,1.12E-18,0,0,0.012403195,0.013168092,0,0,7.71E-06,0,0,0,0,0,0.010419333
5,9306118,1.12E-18,0,0,0.001550475,0.002323778,0,0,2.37E-07,0,0,0,0,0,0
6,9306119,4.53E-05,2.85E-05,0.000444485,0.003876054,0.003872963,2.57E-39,0.00036622,5.11E-06,0.000170006,2.70E-05,0.000566467,2.85E-05,0.003952569,0
7,9306120,1.12E-18,0,0,0.002325668,0.00309837,0,0,6.27E-07,0,0,0,0,0,0
8,9306122,0.00151413,0.000406708,0.001778145,0.007752019,0.005422148,1.02E-38,0.001464881,0.000944175,0.000680024,0.000396901,0.000566467,0.000406708,0.02173913,0
9,9306123,1.31E-06,9.53E-07,0.000592304,0.000775103,0.000774503,6.17E-38,0.00054933,7.87E-07,0.000187007,9.54E-07,0.003351597,9.53E-07,0.001976285,0
10,9306125,0.003931052,0,0.001333609,0.002325668,0.000774503,7.67E-39,0.00109866,1.19E-05,0.000510018,0,0.00042485,0,0.005928854,0.010419333
11,9306129,1.12E-18,0,0,0,0.000774503,0,0,2.09E-06,0,0,0,0,0,0
12,9306130,1.02E-07,1.19E-06,0.000444485,0.002325668,0.002323778,2.57E-39,0.00036622,2.40E-05,0.000170006,1.19E-06,0.001274551,1.19E-06,0.001976285,0
13,9306131,1.12E-18,0,0,0.001550475,0.002323778,0,0,3.15E-08,0,0,0,0,0,0
14,9306132,1.12E-18,0,0,0.012403195,0.013168092,0,0,5.11E-05,0,0,0,0,0,0
15,9306134,1.30E-07,0.000360953,0.000444485,0.002325668,0.002323778,2.57E-39,0.00036622,3.60E-07,0.000170006,0.00018293,0.001274551,0.000360953,0.005928854,0
16,9306135,5.08E-09,0.00026436,0.000444485,0.001550475,0.001549006,2.57E-39,0.00036622,2.14E-06,0.000170006,0.000272233,0.003162775,0.00026436,0.001976285,0.010419333
17,9306136,1.23E-07,0,0.000444485,0,0,2.57E-39,0.00036622,4.45E-21,0.000170006,0,0.000519262,0,0.005928854,0
18,9306137,1.12E-18,0,0,0,0.000774503,0,0,1.00E-06,0,0,0,0,0,0.010419333
19,9306139,1.12E-18,0,0,0,0.000774503,0,0,3.59E-05,0,0,0,0,0,0
20,9306140,1.33E-18,5.72E-05,0.00088897,0.001550475,0.000774503,5.14E-39,0.00073244,1.25E-05,0.000340012,5.72E-05,0.01274551,5.72E-05,0.009881423,0.010419333
21,9306141,0.000211836,4.07E-05,0.004355172,0.00542644,0.00309837,4.78E-35,0.004211532,3.18E-05,0.000733238,2.90E-05,0.001935429,4.07E-05,0.02173913,0.010419333
22,9306142,1.12E-18,0,0,0,0.000774503,0,0,1.10E-07,0,0,0,0,0,0
23,9306144,1.12E-18,0,0,0,0.000774503,0,0,4.48E-21,0,0,0,0,0,0.052103912
24,9306145,1.12E-18,0,0,0.014728774,0.01549187,0,0,0.00033644,0,0,0,0,0,0
25,9306146,0.000103075,8.13E-05,0.001778145,0.012403195,0.010069722,1.02E-38,0.001464881,6.89E-06,0.000680024,7.73E-05,0.001132934,8.13E-05,0.013833992,0
