,Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige,scores
0,9208010,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,8.04e-20,0.0,4.63e-05,0,0.000182782,0.363615651
1,9903044,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-3.4399999999999997e-23,0.0,4.63e-05,0,0.000182782,0.727231301
2,9709139,0.000365564,2.54e-05,0.001039123,1.34e-20,0.013459295,2.54e-05,7.016305916,2.81e-20,7.63e-19,0.000198436,3,0.000182782,0.727231301
3,11095,0.000182782,0.0,0.000243709,1.12e-30,0.013444419,0.0,1.5,0.0,-3.78e-19,0.000118739,1,0.0,0.727231301
4,9702109,0.000548346,0.001302444,0.018960103,6.57e-05,0.014912004,0.001302444,118.3226113,-5.3100000000000005e-21,-5.4e-19,0.000882692,5,0.000182782,0.727231301
5,3208,0.000365564,2.67e-07,0.000182782,2.51e-32,0.013323298,2.67e-07,1.0,1.06e-20,5.18e-20,8.55e-05,1,0.000182782,0.363615651
6,9704142,0.000365564,6.68e-08,0.000182782,2.51e-32,0.013323298,6.68e-08,1.0,-1.25e-19,3.19e-19,8.55e-05,1,0.000182782,0.727231301
7,9205006,0.000365564,2.07e-06,0.000182782,2.51e-32,0.013323298,2.07e-06,1.0,1.98e-20,-6.44e-19,8.55e-05,3,0.000182782,0.727231301
8,8036,0.000182782,0.0,0.000243709,1.12e-30,0.013444419,0.0,1.5,0.0,4.72e-19,0.000118739,3,0.0,0.727231301
9,9603204,0.000365564,5.01e-07,0.000329007,2.2099999999999998e-30,0.013565539,5.01e-07,2.0,4.77e-20,1.26e-20,0.00015198,3,0.000182782,0.727231301
10,9505162,0.000731128,0.000514769,0.007856702,1.88e-19,0.01679794,0.000514769,49.46230159,1.39e-19,-4.07e-18,0.000504073,8,0.000182782,0.727231301
11,9406020,0.000365564,1.27e-05,0.000415414,6.57e-29,0.013589764,1.27e-05,2.666666667,1.09e-19,1.53e-19,0.000127299,3,0.000182782,0.727231301
12,9202026,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,2.71e-20,0.0,4.63e-05,0,0.000182782,0.727231301
13,9309041,0.000548346,3.85e-05,0.000411259,1.14e-30,0.014655627,3.85e-05,2.5,1.31e-19,-3.9e-19,0.000157963,4,0.000182782,0.727231301
14,9610183,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-2.02e-20,0.0,4.63e-05,0,0.000182782,0.727231301
15,9511151,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-1.87e-20,0.0,4.63e-05,0,0.000182782,0.727231301
16,10168,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,3.14e-20,0.0,4.63e-05,0,0.000182782,0.727231301
17,9407087,0.00091391,0.000263497,0.004107971,2.33e-25,0.01839693,0.000263497,26.71666667,-5.7e-22,-4.11e-18,0.000699035,5,0.000365564,1.090846952
18,9206075,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-2.51e-20,0.0,4.63e-05,0,0.000182782,1.090846952
19,9205105,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-3.93e-20,0.0,4.63e-05,0,0.000182782,0.727231301
20,9601092,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,3.59e-20,0.0,4.63e-05,0,0.000182782,0.727231301
21,9309050,0.00091391,3.73e-05,0.000761591,1.19e-30,0.017078045,3.73e-05,4.5,-2.32e-20,2.06e-18,0.00023641,6,0.000182782,0.727231301
22,9502130,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,1.51e-20,0.0,4.63e-05,0,0.000182782,0.363615651
23,9409098,0.000548346,3.72e-05,0.000411259,1.14e-30,0.014655627,3.72e-05,2.5,2.58e-18,1.2e-19,0.000157963,5,0.000182782,0.727231301
24,9512144,0.000182782,0.0,0.000243709,1.12e-30,0.013444419,0.0,1.5,0.0,-3.98e-19,0.000118739,2,0.0,0.727231301
25,9704148,0.000365564,2.74e-06,0.000243709,1.12e-30,0.013444419,2.74e-06,1.5,-1.32e-20,-1.84e-19,0.000118739,3,0.000182782,0.727231301
26,9601020,0.000365564,1.67e-07,0.000182782,2.51e-32,0.013323298,1.67e-07,1.0,-3.99e-20,3.84e-19,8.55e-05,2,0.000182782,0.727231301
27,9310022,0.000365564,5.51e-06,0.000182782,2.51e-32,0.013323298,5.51e-06,1.0,2.47e-20,4e-20,8.55e-05,2,0.000182782,0.727231301
28,9504118,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,3.15e-20,0.0,4.63e-05,0,0.000182782,0.727231301
29,9307120,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-5.13e-20,0.0,4.63e-05,0,0.000182782,0.363615651
30,205209,0.000731128,1.47e-06,0.001053172,2.2199999999999997e-23,0.016271781,1.47e-06,8.367857143,1.02e-19,1.14e-18,0.000618029,5,0.000182782,0.727231301
31,9601090,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-1.6e-20,0.0,4.63e-05,0,0.000182782,0.727231301
32,9412010,0.000365564,3.34e-08,0.000182782,2.51e-32,0.013323298,3.34e-08,1.0,4.88e-20,-7.34e-19,8.55e-05,3,0.000182782,0.727231301
33,9302055,0.000182782,0.0,0.000182782,2.51e-32,0.013323298,0.0,1.0,0.0,-1.16e-19,8.55e-05,3,0.0,0.727231301
34,9205111,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,5.64e-20,0.0,4.63e-05,0,0.000182782,1.090846952
35,9310118,0.000365564,1.28e-05,0.000182782,2.51e-32,0.013323298,1.28e-05,1.0,-2.07e-18,4.6e-19,8.55e-05,3,0.000182782,0.727231301
36,9610144,0.000365564,1.48e-05,0.004510992,2.33e-16,0.013496814,1.48e-05,27.31050894,1.63e-22,-5.14e-19,0.000253635,3,0.000182782,0.727231301
37,9709087,0.00091391,6.61e-05,0.007388191,2.05e-09,0.016324002,6.61e-05,49.81526798,-1.39e-19,-2.57e-18,0.000764231,6,0.000365564,0.727231301
38,9702195,0.000548346,2.43e-05,0.000921526,1.3199999999999999e-28,0.015188559,2.43e-05,5.833333333,-4.55e-20,-9.34e-19,0.000403611,4,0.000182782,0.727231301
39,9409113,0.000365564,9.69e-07,0.000182782,2.51e-32,0.013323298,9.69e-07,1.0,1.69e-20,-6.3e-19,8.55e-05,3,0.000182782,0.727231301
40,9512020,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-7.43e-20,0.0,4.63e-05,0,0.000182782,0.727231301
41,9306035,0.000365564,2.81e-06,0.000182782,2.51e-32,0.013323298,2.81e-06,1.0,-1.7e-19,-3.22e-19,8.55e-05,2,0.000182782,0.727231301
42,9511129,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-4.3700000000000005e-21,0.0,4.63e-05,0,0.000182782,0.727231301
43,9911175,0.000365564,3.34e-08,0.000182782,2.51e-32,0.013323298,3.34e-08,1.0,-3.18e-20,9.39e-19,8.55e-05,1,0.000182782,0.727231301
44,9703010,0.000182782,0.0,0.000182782,2.51e-32,0.013323298,0.0,1.0,0.0,8.24e-19,8.55e-05,1,0.0,0.727231301
45,9904016,0.000365564,1.34e-07,0.000417787,3.31e-30,0.01368666,1.34e-07,2.5,4.1e-20,3.84e-19,0.00018522,1,0.000182782,0.727231301
46,9310106,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,1.63e-20,0.0,4.63e-05,0,0.000182782,0.727231301
47,9410103,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-1.62e-19,0.0,4.63e-05,0,0.000182782,0.727231301
48,9701012,0.000365564,1.67e-07,0.000182782,2.51e-32,0.013323298,1.67e-07,1.0,-4.88e-20,-5.57e-19,8.55e-05,1,0.000182782,0.363615651
49,9911030,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,9.73e-21,0.0,4.63e-05,0,0.000182782,0.363615651
50,9904202,0.000548346,1.34e-07,0.000365564,5e-32,0.014534506,1.34e-07,2.0,-7.28e-20,-3.04e-20,0.000124722,3,0.000182782,0.727231301
51,9707044,0.000365564,1.21e-05,0.010393203,3.28e-05,0.013825349,1.21e-05,71.34673074,6.56e-20,-1.36e-18,0.000214602,1,0.000182782,0.727231301
52,9612128,0.000365564,9.52e-06,0.000351504,7.47e-28,0.013469854,9.52e-06,2.416666667,1.1e-18,1.57e-19,0.000199007,1,0.000182782,0.727231301
53,9305012,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-1.61e-19,0.0,4.63e-05,0,0.000182782,0.363615651
54,9707121,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,1.12e-19,0.0,4.63e-05,0,0.000182782,0.727231301
55,9511070,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,1.22e-20,0.0,4.63e-05,0,0.000182782,0.363615651
56,9212149,0.000182782,0.0,0.0,2.7899999999999997e-34,0.012112089,0.0,0.0,-1.5e-20,0.0,4.63e-05,0,0.000182782,5.09061712
57,9604034,0.000548346,0.000123291,0.011509418,3.28e-05,0.015602825,0.000123291,81.59978682,5.98e-20,-1.48e-18,0.000556947,3,0.000182782,0.727231301
58,9709228,0.000365564,1.55e-05,0.000598195,1.9899999999999999e-25,0.013593773,1.55e-05,4.183333333,8.15e-20,2.56e-18,0.000160589,3,0.000182782,0.727231301
59,9603142,0.000365564,4.32e-05,0.008015745,1.45e-17,0.013498914,4.32e-05,47.59390332,-1.39e-20,-7.05e-19,0.000419973,2,0.000182782,0.727231301
60,9306080,0.000365564,1.09e-05,0.000182782,2.51e-32,0.013323298,1.09e-05,0.0,-1.2e-19,5.06e-19,8.55e-05,2,0.000182782,0.727231301
