,Rank,Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige
0,1,9912289,9605046,9605046,9804083,12062,9605046,9605046,9804083,9302126,9401139,9803001,9401139,9503124
1,2,9912288,9209055,9603126,9803002,9804083,9401139,9603126,9803002,9303032,9402004,9804083,12062,9408083
2,3,9912279,12062,9603116,9904085,9904085,9711200,9603116,9904085,9301043,12062,9805112,9209055,9408074
3,4,9912271,9905111,9609238,9902184,9902184,12062,9609238,9902184,9203031,9309140,3136,9605046,9705113
4,5,9912259,9411210,9702045,9903221,9803001,3136,9702045,9903221,9204040,9905111,9805129,9411210,9611215
5,6,9912251,3136,9603003,9909166,9909166,9209055,9603003,9805112,9211021,9402107,9803002,9802067,9605046
6,7,9912248,9309140,9503124,3158,3158,9411210,9503124,9909166,9202059,9711200,9903221,9905111,9705123
7,8,9912216,9802067,9703163,2167,9803002,9905111,9703163,9803001,9208076,9411210,206223,9711200,9711001
8,9,9912203,9706109,9508155,9907048,9805112,9803002,9508155,3158,9206078,203211,9907048,9406203,9709014
9,10,9912181,203211,9702109,12062,9803076,9804083,9702109,9907048,9210021,9173,9803076,3136,9704089
10,11,9912179,9603187,9603147,9805112,9803023,9402107,9603147,12062,9304155,204089,9905127,9411028,9611190
11,12,9912162,9408083,9605059,9173,2167,9406203,9605059,2167,9308042,6121,9904085,9412228,9612121
12,13,9912158,9803002,9606093,9803001,9173,9309140,9606093,9805129,9207111,9802067,9803023,9606130,9703110
13,14,9912155,9803001,9509161,4137,9903221,9802067,9509161,9803076,9204035,11250,9605046,9309140,9802116
14,15,9912140,204158,9510101,9905127,9805129,9411028,9510101,9173,9305185,9705007,9711200,9402107,9511154
15,16,9912128,9411187,9803001,9805129,9805154,9606130,9803001,9802185,9203008,9311130,9712253,203211,9411187
16,17,9912114,9503124,9605009,6121,4137,9508155,9605009,9711200,9206051,9706109,9805154,9706109,9611204
17,18,9912113,9707083,9612215,9802185,6121,203211,9612215,3136,9301042,9309044,2167,204089,9712059
18,19,9912099,9603126,9602045,9803076,9907048,9702194,9602045,9803023,3158,9404192,9906198,9804083,9511043
19,20,9912086,9602172,9602070,9803023,9712253,9805112,9602070,9905127,9173,9805112,9909166,9702194,9705055
20,21,9912075,9711001,9708147,10050,10050,9803001,9708147,9802150,9046,9805093,6051,9803002,9707224
21,22,9912072,9612215,9511154,9906198,9905127,206223,9511154,4137,2095,9707079,9902184,9305185,9512078
22,23,9912066,9602045,9401139,9802150,9802116,9609238,9401139,9803217,11157,206223,4137,9802051,9612215
23,24,9912064,9712110,9703196,6051,9802051,9706109,9703196,6121,9710183,9605009,3158,9508155,9706109
24,25,9912060,9605151,9709014,9711200,9906198,204158,9709014,6051,11063,9412228,6057,9605009,9710065
25,26,9912058,9609137,9411178,9803217,9802150,9412228,9411178,9805154,7138,9612117,12062,9602045,9803001
26,27,9912054,9411178,9704018,9805154,9911084,9603187,9704018,9906198,9906241,9707174,10050,9803001,9702045
27,28,9912036,9802130,9803076,6057,9803194,204089,9803076,10050,9704160,9802051,9905111,9411178,9306033
28,29,9912018,9707093,9611132,3136,6051,9602172,9611132,9711055,9406037,9705190,9603003,206223,9711161
29,30,9912015,9611204,9411210,9711055,9802185,9802051,9411210,9712253,4059,9302126,9609238,9805093,9607121
30,31,9911254,9707174,9805154,9712253,2244,9705007,9805154,9802051,9407139,9310170,9802051,9612005,9701025
31,32,9911253,9507036,9705055,9710206,6057,9612005,9705055,6057,9610027,9710231,204158,204158,9603126
32,33,9911222,9705113,9510017,7108,3136,9802130,9510017,9803194,9511015,9601078,7108,9707174,9402031
33,34,9911218,9611215,9804083,9802051,9803217,9609137,9804083,9710206,4051,9411049,9508155,9605151,9702163
34,35,9911211,9602043,9507036,9712059,7108,9707083,9507036,9712059,9311156,9506091,9802185,9803194,9710178
35,36,9911207,9705123,9712253,9802116,9711200,9602045,9712253,7108,9303159,4032,9602045,9609238,9803138
36,37,9911188,9302126,9506112,9803194,9906194,9411187,9506112,9802116,9309140,12023,9702045,9612117,9411028
37,38,9911186,9510224,9607229,9712115,9804170,9803194,9607229,9911084,9301068,3255,9803194,9607020,9601023
38,39,9911175,9404109,9708002,9911084,9805104,9411178,9708002,9712115,9204030,9612224,9711055,9402060,9509035
39,40,9911174,9306033,9509151,9711053,9803116,9612117,9509151,9711053,9305079,9406059,9803217,205017,9708147
40,41,9911161,9609238,9602043,9804115,9804058,9603126,9602043,2244,9201056,9608078,9710206,9602043,9609087
41,42,9911139,9601029,9611161,2244,9803231,9605151,9611161,9804115,9206084,9403038,9712059,9707171,9601177
42,43,9911107,9607233,9611050,9801038,9803066,9805093,9611050,9707174,9304087,9410237,9602070,9712110,9703072
43,44,9911100,9704089,9607032,9804058,9801038,9310170,9607032,9605046,9207094,9803076,206182,9609137,9508155
44,45,9911084,9402031,9710206,9707174,9712115,9605009,9710206,9804058,9301083,9608117,9607229,9707083,9407118
45,46,9911083,9706091,9712059,9803066,9712059,9712110,9712059,9707093,9306122,9712115,9802067,9706091,9605009
46,47,9911072,9706210,9506091,9707093,9804115,9305185,9506091,9801038,9208035,9704089,9802116,9602172,9401139
47,48,9911068,9709109,9512078,9803231,9711055,9512184,9512078,9609238,9211040,3136,9706109,9805112,9303159
48,49,9911067,9712059,9711055,9804170,9710206,9607229,9711055,9706109,9901139,9612102,9411210,9409009,9611050
49,50,9911063,9606054,9408074,9609238,9711053,9707093,9408074,9802067,9902121,9704114,9401139,9310170,9601011
50,51,9911055,9511043,9607077,9605046,9707174,9706091,9607077,9803066,9901128,9602115,9909215,9712253,9410167
51,52,9911033,9607020,9506011,9803116,9805200,9712253,9506011,9703040,9901118,9801151,9802150,9512184,9705199
52,53,9911032,9403137,9402107,9805200,9707079,9408029,9402107,9804170,9901131,9309110,9612005,9603187,9705221
53,54,9911030,9402060,9508021,9706109,9707093,9507036,9508021,9803231,9901056,9705221,9703040,9408083,9407087
54,55,9911028,205017,9607108,9703040,9706109,9707174,9607108,9805200,9901004,9611203,9707174,9612215,9709087
55,56,9911026,9512078,9803002,9707079,9706141,9510224,9803002,9802042,9904017,9712253,9603126,9510224,208072
56,57,9911025,9707171,9607051,9802042,9801157,204253,9607051,9707079,9901122,9606077,9603116,9404109,9312172
57,58,9911022,9509151,9412236,9802067,9804068,9309067,9412236,9611040,9902173,9406213,9707083,3255,9603187
58,59,9911014,3255,9611174,9805104,9803265,9703040,9611174,9706141,9903091,204071,9411178,9602052,9412064
59,60,9911011,9803194,9610172,9611040,9803263,9802150,9610172,9801157,9901121,9609166,2244,9802130,9706210
60,61,9911001,9711161,9601177,9605211,9705221,9602052,9601177,9803116,9903033,10054,9173,9705007,9711162
61,62,9910256,9708005,9611215,9706141,9803196,9302126,9611215,9605211,9804164,9402031,9804016,9705131,9306083
62,63,9910238,9310113,3136,9801157,9712226,9503124,3136,9612005,9305097,9311181,9707097,9309107,9709109
63,64,9910218,204253,9505162,9702045,9712125,9711055,9505162,9702045,9301003,9508044,9602052,9410167,9603003
64,65,9910208,9406059,9712115,9606143,9709002,9410167,9712115,9606143,9307085,9705199,203211,11115,9707093
