Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige,degree_prestige,scores
9208010,0.000182782,0,0,2.79E-34,0.012112089,0,0,8.04E-20,0,4.63E-05,0,0.000182782,0.363615651
9903044,0.000182782,0,0,2.79E-34,0.012112089,0,0,-3.44E-23,0,4.63E-05,0,0.000182782,0.727231301
9709139,0.000365564,2.54E-05,0.001039123,1.34E-20,0.013459295,2.54E-05,7.016305916,2.81E-20,7.63E-19,0.000198436,3,0.000182782,0.727231301
11095,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,-3.78E-19,0.000118739,1,0,0.727231301
9702109,0.000548346,0.001302444,0.018960103,6.57E-05,0.014912004,0.001302444,118.3226113,-5.31E-21,-5.40E-19,0.000882692,5,0.000182782,0.727231301
3208,0.000365564,2.67E-07,0.000182782,2.51E-32,0.013323298,2.67E-07,1,1.06E-20,5.18E-20,8.55E-05,1,0.000182782,0.363615651
9704142,0.000365564,6.68E-08,0.000182782,2.51E-32,0.013323298,6.68E-08,1,-1.25E-19,3.19E-19,8.55E-05,1,0.000182782,0.727231301
9205006,0.000365564,2.07E-06,0.000182782,2.51E-32,0.013323298,2.07E-06,1,1.98E-20,-6.44E-19,8.55E-05,3,0.000182782,0.727231301
8036,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,4.72E-19,0.000118739,3,0,0.727231301
9603204,0.000365564,5.01E-07,0.000329007,2.21E-30,0.013565539,5.01E-07,2,4.77E-20,1.26E-20,0.00015198,3,0.000182782,0.727231301
9505162,0.000731128,0.000514769,0.007856702,1.88E-19,0.01679794,0.000514769,49.46230159,1.39E-19,-4.07E-18,0.000504073,8,0.000182782,0.727231301
9406020,0.000365564,1.27E-05,0.000415414,6.57E-29,0.013589764,1.27E-05,2.666666667,1.09E-19,1.53E-19,0.000127299,3,0.000182782,0.727231301
9202026,0.000182782,0,0,2.79E-34,0.012112089,0,0,2.71E-20,0,4.63E-05,0,0.000182782,0.727231301
9309041,0.000548346,3.85E-05,0.000411259,1.14E-30,0.014655627,3.85E-05,2.5,1.31E-19,-3.90E-19,0.000157963,4,0.000182782,0.727231301
9610183,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.02E-20,0,4.63E-05,0,0.000182782,0.727231301
9511151,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.87E-20,0,4.63E-05,0,0.000182782,0.727231301
10168,0.000182782,0,0,2.79E-34,0.012112089,0,0,3.14E-20,0,4.63E-05,0,0.000182782,0.727231301
9407087,0.00091391,0.000263497,0.004107971,2.33E-25,0.01839693,0.000263497,26.71666667,-5.70E-22,-4.11E-18,0.000699035,5,0.000365564,1.090846952
9206075,0.000182782,0,0,2.79E-34,0.012112089,0,0,-2.51E-20,0,4.63E-05,0,0.000182782,1.090846952
9205105,0.000182782,0,0,2.79E-34,0.012112089,0,0,-3.93E-20,0,4.63E-05,0,0.000182782,0.727231301
9601092,0.000182782,0,0,2.79E-34,0.012112089,0,0,3.59E-20,0,4.63E-05,0,0.000182782,0.727231301
9309050,0.00091391,3.73E-05,0.000761591,1.19E-30,0.017078045,3.73E-05,4.5,-2.32E-20,2.06E-18,0.00023641,6,0.000182782,0.727231301
9502130,0.000182782,0,0,2.79E-34,0.012112089,0,0,1.51E-20,0,4.63E-05,0,0.000182782,0.363615651
9409098,0.000548346,3.72E-05,0.000411259,1.14E-30,0.014655627,3.72E-05,2.5,2.58E-18,1.20E-19,0.000157963,5,0.000182782,0.727231301
9512144,0.000182782,0,0.000243709,1.12E-30,0.013444419,0,1.5,0,-3.98E-19,0.000118739,2,0,0.727231301
9704148,0.000365564,2.74E-06,0.000243709,1.12E-30,0.013444419,2.74E-06,1.5,-1.32E-20,-1.84E-19,0.000118739,3,0.000182782,0.727231301
9601020,0.000365564,1.67E-07,0.000182782,2.51E-32,0.013323298,1.67E-07,1,-3.99E-20,3.84E-19,8.55E-05,2,0.000182782,0.727231301
9310022,0.000365564,5.51E-06,0.000182782,2.51E-32,0.013323298,5.51E-06,1,2.47E-20,4.00E-20,8.55E-05,2,0.000182782,0.727231301
9504118,0.000182782,0,0,2.79E-34,0.012112089,0,0,3.15E-20,0,4.63E-05,0,0.000182782,0.727231301
9307120,0.000182782,0,0,2.79E-34,0.012112089,0,0,-5.13E-20,0,4.63E-05,0,0.000182782,0.363615651
205209,0.000731128,1.47E-06,0.001053172,2.22E-23,0.016271781,1.47E-06,8.367857143,1.02E-19,1.14E-18,0.000618029,5,0.000182782,0.727231301
9601090,0.000182782,0,0,2.79E-34,0.012112089,0,0,-1.60E-20,0,4.63E-05,0,0.000182782,0.727231301
