Id,betweenness_centrality
9510148,2.84E-05
9602031,0.000826468
9603034,0.000108775
9607210,0.000122347
9611197,5.05E-05
9602035,5.45E-06
9612207,0.000736675
9701191,2.79E-05
9605108,0.000139138
9605113,0.001079627
9607021,2.03E-05
9609183,2.37E-07
9610139,0.000116689
9702179,2.46E-05
9705003,0.000250204
9703159,0.000126817
9904210,1.63E-05
9712167,0.001019177
9710213,0.000397667
9608147,0.000478277
9705164,5.79E-05
9707076,0.002048948
9709186,9.97E-06
9611088,0.00076184
9711157,0.004651232
9701155,3.63E-05
9712116,2.47E-05
9510228,0.000514296
9701020,4.95E-06
9606184,6.94E-05
9704067,0.000278647
9702059,1.68E-06
9709081,0.000222633
9811119,1.05E-05
9705076,0.000646517
9808073,0.000215662
9603158,0.001092817
9710105,0.000934926
9712010,0.000125203
9707212,0.002888036
9707047,0.001199747
9608077,3.95E-06
9611020,1.55E-05
9704043,0.000407995
9707027,0.000377786
9705004,4.28E-05
9705106,7.83E-05
9411149,0.043654123
9503086,0.001669846
9505004,0.001263979
9505051,0.000633111
9505067,0.000466469
9505088,0.000850284
9506148,0.00049241
9507018,0.000909751
9605232,0.000362261
9609230,1.09E-06
9607200,2.08E-05
9512140,5.21E-05
9607151,0.000182054
9611049,3.06E-05
9611152,0.000102044
9701009,0.000142231
9608046,2.07E-05
9504113,0.001916408
9701012,0.000833161
9702014,0.00190919
9704104,0.006607506
9506196,6.29E-05
9507169,0.001393492
9707071,0.00022342
9506084,0.000844078
9803087,1.53E-05
9710024,0.000174134
9804061,0.000606546
9803139,0.000264301
9808125,0.000147554
9812155,1.29E-05
9710149,0.009981091
9803086,0.004124326
9502013,0.000634583
9502057,0.00248616
108101,0.002187699
9612131,0.002439297
9705069,0.000122409
9708015,0.000410959
9703210,0.002715707
9701015,0.001643335
9607058,0.000675612
9505073,0.01083202
109053,0.000397707
109063,0.000878906
9703110,0.023477172
9702173,0.000794923
9503106,0.007450376
9512173,0.007047648
110028,0.005273983
9702180,0.000411909
9607125,0.000213455
110055,0.166323136
9506077,0.00907288
9704198,0.000598978
9812072,0.013270168
9503186,6.93E-05
110115,0.002480702
110184,0.002279218
9511065,0.004012543
9507170,0.001750531
9711069,0.00584731
111013,0.014760634
9804053,0.000872249
9704061,3.02E-05
112082,0.000756777
9508046,0.000471076
9508021,0.002516958
9810223,0.001520155
9602021,0.000119011
9511213,0.003144754
9810192,4.43E-06
9703197,3.11E-05
9708127,0.000683128
9706121,5.68E-05
9708082,0.000485145
9709096,0.001002556
9601011,0.002516357
9506137,0.001242975
205100,0.002868581
205155,0.001058399
206054,0.000409655
207027,0.000636267
207151,9.36E-05
9709161,2.15E-05
207161,0.000218951
208022,0.001525197
9812002,2.87E-08
9902150,0.003907371
9909193,0.005174748
209230,0.051220825
210044,0.005800783
211170,0.007967786
210294,0.001083038
211075,0.000212673
9703172,0.00059131
211141,0.001154299
211271,0.000707271
212025,0.000217299
212095,0.000330906
303065,5.77E-05
9604021,0.004907396
9511014,0.001013545
304036,2.86E-05
9707062,0.001595178
304238,0.002418858
9503033,0.011538119
9503122,0.000290068
9512063,0.000141356
9606070,0.000809468
9706210,0.039759394
9807188,0.005128197
9803107,0.001102376
9512024,5.72E-06
9703215,8.99E-05
9804074,0.001030568
5076,0.000853946
6086,3.74E-05
7191,0.014031522
9805142,1.84E-06
9804097,0.000314009
9804114,0.000510529
7240,0.010639368
8112,0.006880946
8157,1.80E-05
9706074,8.79E-06
9707089,0.004165286
9707197,0.000134051
9707226,0.001136282
9708113,0.000109021
9803225,0.000142733
9805107,0.000496272
9806076,1.95E-06
9806079,0.000268695
9806142,0.000132741
9807224,0.000162361
9807240,0.001320466
9808054,0.000241025
9809181,6.82E-05
9810020,1.84E-05
9806170,1.80E-05
9021,0.001430185
9139,0.009268615
9149,1.49E-05
9903103,0.000694066
11146,0.001496437
12122,0.001697139
12162,2.75E-08
106040,0.001623347
106093,4.07E-05
107072,0.00012711
107151,0.000843078
9504080,2.33E-05
9810014,2.44E-05
9707247,0.002641578
9503121,0.007291559
9701045,0.000945305
9811149,0.000905435
107261,0.001126088
205090,0.000171842
206033,0.000879072
9811183,0.001860136
208048,0.014239853
209089,0.000578342
209100,6.70E-06
209116,0.003309105
209225,0.005308665
9902118,0.002432236
210007,0.002443281
210238,0.004687928
210239,0.000562668
210281,0.000157292
9804007,6.44E-05
212065,0.000634881
212111,0.000719863
303033,0.006404073
303191,0.009557453
5087,0.010662631
9704004,5.82E-05
9705143,0.001893505
9808178,1.89E-05
9159,0.000133703
11166,0.007497956
9503179,0.001342886
9603051,8.27E-05
9506139,0.000767264
9706076,0.000468198
9505098,0.001109299
9706075,9.07E-06
212231,0.000664044
9807222,2.94E-06
9708044,0.002895973
205301,0.004597208
104037,0.002214555
304271,0.001848992
9510135,0.115730779
11088,0.00249653
9708078,0.0010522
9608005,0.000680226
9604041,0.004125549
9602051,0.005141948
9707079,0.002082316
9612120,0.001884112
9906214,0.001975201
9511157,0.005100425
9607090,0.001207102
9709107,0.003430384
107215,0.00023426
9705029,0.002630696
9812094,0.001047158
9612143,0.007847379
9604091,0.003852892
9812121,0.002717729
9912244,0.005769686
9905056,0.000278333
9806240,0.008401175
9612102,0.011369261
9612164,0.003254032
9512219,0.004071898
9612162,0.001618603
9702006,0.003009761
9704041,0.001317118
9807040,0.002683864
9803192,0.000289271
9804065,0.000481021
9711012,0.002425471
9712057,0.000363009
9611222,0.002406233
108174,0.00100706
9605146,0.000180602
9707261,0.001686378
108198,0.002403396
9804121,0.003029756
9910217,0.002361542
108233,0.001104137
9611215,0.000505871
9512181,0.007208912
9606136,0.002371078
9907142,0.003847312
9608039,0.00426507
9701154,0.004823177
9610082,0.005701259
9611029,0.000401608
9701088,0.006158875
9601152,0.001880306
9706151,0.000457728
109162,0.046097195
9612027,0.002426239
9707202,0.030248832
9712206,0.008750439
9904064,0.008400162
9912272,0.007961602
9712048,0.0005735
9603126,0.013612523
9703163,0.001623977
9704110,0.00363505
9808120,0.003355433
9803061,0.001764737
9711202,0.000410995
9806133,0.002009182
9702108,0.000674255
9808100,0.011641601
9711112,0.001290696
9512203,0.000533876
9701169,0.004522581
112073,0.000137599
111055,0.000461654
9904181,0.00666208
9806115,0.000452117
9701186,0.003651425
9712082,0.002892777
111165,0.003897497
9607020,0.001123031
9707002,0.002955941
111222,0.01393407
9611040,0.004143076
9905068,0.000975295
9710064,0.00440845
9606009,0.004906791
9804084,0.004036469
9706087,0.001775001
9706155,0.001762592
9810170,0.00034428
9912104,0.006379702
112064,0.000911454
9607092,0.000919864
9904122,0.000814202
9610250,0.000222676
9705225,0.000601201
9710215,0.002970403
9811013,0.000973554
112210,0.000363867
112219,0.000908473
9704075,0.001223016
9705137,0.003717156
9611103,0.000957035
9608137,0.003843315
9612127,0.001162998
9609094,0.001623296
9808172,0.004747802
9609084,0.006655994
9705013,0.001924901
9705167,0.004497934
9709017,0.007196538
9705016,0.000438828
9706165,0.000256422
9707099,0.002921585
9708041,0.001309225
