Id,eigenvector_centrality
9510148,0.01593664
9602031,0.029942724
9603034,0.02059312
9607210,0.021609423
9611197,0.023169631
9602035,0.010108756
9612207,0.027941141
9701191,0.020157934
9605108,0.006842608
9605113,0.034959165
9607021,0.010632867
9609183,0.006797508
9610139,0.020974725
9702179,0.014233773
9705003,0.034284537
9703159,0.010372191
9904210,0.01562746
9712167,0.019659412
9710213,0.019212403
9608147,0.005884921
9705164,0.009541924
9707076,0.02603945
9709186,0.007295017
9611088,0.031953758
9711157,0.045949054
9701155,0.020548307
9712116,0.010150711
9510228,0.036902204
9701020,0.010748013
9606184,0.01343934
9704067,0.043427888
9702059,0.014263512
9709081,0.02799593
9811119,0.009001213
9705076,0.029809272
9808073,0.018664976
9603158,0.019316667
9710105,0.011304732
9712010,0.009156217
9707212,0.03197281
9707047,0.027733773
9608077,0.003946658
9611020,0.007192539
9704043,0.057297835
9707027,0.056823529
9705004,0.038356152
9705106,0.046415292
9411149,0.129304501
9503086,0.051165462
9505004,0.050872157
9505051,0.038242192
9505067,0.032076281
9505088,0.049742431
9506148,0.038039027
9507018,0.045750286
9605232,0.037867326
9609230,0.011605165
9607200,0.012480194
9512140,0.026330334
9607151,0.043262694
9611049,0.019937646
9611152,0.028659374
9701009,0.040581565
9608046,0.009160993
9504113,0.050473225
9701012,0.024606432
9702014,0.077460357
9704104,0.104207458
9506196,0.014799266
9507169,0.031788915
9707071,0.043692436
9506084,0.032388535
9803087,0.008387852
9710024,0.00641773
9804061,0.038577753
9803139,0.022085879
9808125,0.012905299
9812155,0.010855734
9710149,0.019004084
9803086,0.041772649
9502013,0.033564056
9502057,0.038144914
108101,0.07883375
9612131,0.046485432
9705069,0.031890705
9708015,0.054277312
9703210,0.083448553
9701015,0.051864145
9607058,0.029091147
9505073,0.0555467
109053,0.032686694
109063,0.031881852
9703110,0.049962387
9702173,0.028089161
9503106,0.026726401
9512173,0.024974224
110028,0.098921351
9702180,0.051868133
9607125,0.045525548
110055,0.193146031
9506077,0.049783078
9704198,0.059228007
9812072,0.082102361
9503186,0.013777409
110115,0.056242402
110184,0.057932011
9511065,0.005411167
9507170,0.015696552
9711069,0.049036846
111013,0.058238957
9804053,0.002748324
9704061,0.034671011
112082,0.008001746
9508046,0.016942128
9508021,0.010113548
9810223,0.009318966
9602021,0.025171215
9511213,0.051830226
9810192,0.004038091
9703197,0.011122531
9708127,0.065836447
9706121,0.028847271
9708082,0.05725673
9709096,0.070584495
9601011,0.025398099
9506137,0.01164532
205100,0.086290224
205155,0.045562889
206054,0.009865951
207027,0.032077484
207151,0.005534586
9709161,0.011536718
207161,0.032048544
208022,0.024265162
9812002,0.004356641
9902150,0.026856137
9909193,0.028826823
209230,0.099308296
210044,0.034226804
211170,0.113311168
210294,0.004610361
211075,0.077493023
9703172,0.022228663
211141,0.039510678
211271,0.100775314
212025,0.072222865
212095,0.082644696
303065,0.031997224
9604021,0.011429837
9511014,0.022263403
304036,0.024542183
9707062,0.005801346
304238,0.030227351
9503033,0.02486494
9503122,0.015184583
9512063,0.021586559
9606070,0.005664392
9706210,0.028307784
9807188,0.029812987
9803107,0.004527618
9512024,0.004929068
9703215,0.019027899
9804074,0.020635658
5076,0.039713025
6086,0.028850902
7191,0.172051025
9805142,0.004566745
9804097,0.006069159
9804114,0.025648478
7240,0.036257029
8112,0.053108883
8157,0.003370301
9706074,0.00562401
9707089,0.04305447
9707197,0.016504961
9707226,0.015462465
9708113,0.009946484
9803225,0.021511501
9805107,0.036699595
9806076,0.003657565
9806079,0.022639327
9806142,0.006270313
9807224,0.003530445
9807240,0.007995372
9808054,0.022296642
9809181,0.008820194
9810020,0.003325549
9806170,0.012193965
9021,0.042521977
9139,0.092288521
9149,0.023523673
9903103,0.007210805
11146,0.060122263
12122,0.030425307
12162,0.00379285
106040,0.081461385
106093,0.012072565
107072,0.025392434
107151,0.009354338
9504080,0.027213542
9810014,0.012073445
9707247,0.060687276
9503121,0.060689341
9701045,0.047526689
9811149,0.004725432
107261,0.040073848
205090,0.014358176
206033,0.03151505
9811183,0.010172862
208048,0.15073896
209089,0.060932768
209100,0.001373822
209116,0.040912858
209225,0.027763309
9902118,0.042670763
210007,0.037271712
210238,0.104775717
210239,0.061080056
210281,0.065391181
9804007,0.013170915
212065,0.023578375
212111,0.013243897
303033,0.069796387
303191,0.130771411
5087,0.131396852
9704004,0.002713706
9705143,0.025186792
9808178,0.001687556
9159,0.012246785
11166,0.0405351
9503179,0.042508836
9603051,0.033377475
9506139,0.010793694
9706076,0.043499092
9505098,0.005554811
9706075,0.006047047
212231,0.084697446
9807222,0.007254159
9708044,0.074340945
205301,0.095663306
104037,0.093592097
304271,0.053875543
9510135,0.244448295
11088,0.135986008
9708078,0.029908512
9608005,0.027236676
9604041,0.069103959
9602051,0.065677158
9707079,0.071411791
9612120,0.027411096
9906214,0.037809999
9511157,0.046838619
9607090,0.011861713
9709107,0.065641822
107215,0.047191008
9705029,0.018440989
9812094,0.009430424
9612143,0.034074059
9604091,0.053451181
9812121,0.02615004
9912244,0.044207345
9905056,0.012905832
9806240,0.035371277
9612102,0.026150879
9612164,0.041421575
9512219,0.071547531
9612162,0.074739084
9702006,0.055019237
9704041,0.082294932
9807040,0.033204694
9803192,0.0088124
9804065,0.015930749
9711012,0.028028256
9712057,0.013483999
9611222,0.057145572
108174,0.02076413
9605146,0.013140121
9707261,0.0356677
108198,0.063910184
9804121,0.013742914
9910217,0.077866969
108233,0.028144765
9611215,0.043356194
9512181,0.076068818
9606136,0.052845248
9907142,0.042147032
9608039,0.042708978
9701154,0.013475234
9610082,0.105714715
9611029,0.032317499
9701088,0.042648631
9601152,0.040294691
9706151,0.026268661
109162,0.440618349
9612027,0.015078282
9707202,0.020736375
9712206,0.020635161
9904064,0.060115425
9912272,0.118240323
9712048,0.018607846
9603126,0.086740235
9703163,0.036277675
9704110,0.065890549
9808120,0.011776365
9803061,0.021224663
9711202,0.009877841
9806133,0.009793932
9702108,0.048014398
9808100,0.063477128
9711112,0.036561878
9512203,0.045172166
9701169,0.038126922
112073,0.018195871
111055,0.006838602
9904181,0.015230766
9806115,0.014499841
9701186,0.050487838
9712082,0.065442824
111165,0.070192099
9607020,0.032869206
9707002,0.023468
111222,0.041317734
9611040,0.014483058
9905068,0.021667422
9710064,0.034938272
9606009,0.050294483
9804084,0.014055927
9706087,0.055288343
9706155,0.05640718
9810170,0.009868776
9912104,0.038645854
112064,0.060418084
9607092,0.025710473
9904122,0.020599904
9610250,0.023700814
9705225,0.03850656
9710215,0.051314366
9811013,0.031533473
112210,0.008506679
112219,0.01213041
9704075,0.023770331
9705137,0.025663952
9611103,0.019663633
9608137,0.019245841
9612127,0.021387683
9609094,0.052208709
9808172,0.014348584
9609084,0.035642345
9705013,0.018627244
9705167,0.041922765
9709017,0.041234762
9705016,0.024650552
9706165,0.021557503
9707099,0.083317164
9708041,0.050369951
9511159,0.033522037
9511178,0.056152882
9712020,0.053897822
9805126,0.007263977
9811036,0.025728104
9701185,0.041979304
9807239,0.018580289
9812230,0.026569921
205138,0.013898184
9610125,0.042986872
9605236,0.030866776
9905004,0.035519996
206063,0.099192001
9712135,0.034377589
9902149,0.072296657
9705126,0.016052386
206192,0.006346675
9612130,0.017441986
207034,0.008567348
9908165,0.036600358
207142,0.066371976
207264,0.016154141
9707119,0.029570579
9704190,0.028102834
9806151,0.022361459
209239,0.031864595
9602061,0.042270238
9709123,0.047511122
9603009,0.05064686
210223,0.009512934
9703118,0.044352281
211250,0.026549704
211110,0.070053896
211172,0.049236087
212114,0.127038661
212151,0.009894473
9806009,0.034043406
301094,0.268526336
9804034,0.016533753
9705107,0.05161724
9710198,0.056082618
9701188,0.025354815
9511098,0.030572985
9601164,0.03609183
9601179,0.019984338
9602172,0.020098656
9605023,0.043487317
9606196,0.036806472
9607054,0.022277227
9607113,0.01472692
9704087,0.059528626
9811019,0.077868066
9705132,0.056458162
5212,0.026372843
9247,0.040809023
9906044,0.076316235
9909213,0.023300763
9704030,0.037470776
9706115,0.016138154
9604037,0.027070004
9707205,0.064141372
9712179,0.047232868
9812008,0.017259363
9612251,0.029837023
9703209,0.032344472
9803058,0.007959289
9906029,0.018833046
9911119,0.014336626
4023,0.007310498
9706083,0.018694196
9808134,0.028296167
4113,0.014529582
4187,0.100825704
5029,0.203345617
5054,0.042297066
9805031,0.005734817
9903117,0.059205323
5145,0.048467731
5241,0.023017872
9803189,0.010361312
6052,0.074571007
6062,0.162538878
6085,0.118579626
6091,0.131348722
9706073,0.036329995
9709065,0.044205925
9904150,0.042176328
6192,0.02922933
6231,0.025842108
7023,0.068606602
7043,0.2490209
7055,0.049689361
9912159,0.014140011
9806188,0.020328233
7170,0.291836853
9810203,0.013458502
7236,0.058891959
9611104,0.014416938
8081,0.103598349
9610016,0.032974937
9702084,0.02031277
8212,0.033029737
8213,0.07658368
9612056,0.010983282
9703133,0.020046679
9704187,0.010254894
9705067,0.015798922
9708009,0.090781276
9709172,0.071421571
9710059,0.014596823
9710242,0.023264455
9711153,0.055676527
9712027,0.006070317
9803110,0.006785436
9805027,0.00698832
9806130,0.025342647
9811093,0.054863107
9812079,0.024599222
9808187,0.027113822
9903268,0.08699588
9907179,0.009152072
9908077,0.027867659
9910005,0.005888711
9910062,0.056830574
8241,0.066540514
9017,0.052544823
