,Id,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
4,9611197,0.032694476,0.023169631,0.712307547,5.05e-05,7.82e-05,0.020903239,0.026560713,0.026560713,9.19e-05,0.000895445,0.636483801,0.292263367
6,9612207,0.060879369,0.027941141,0.722081255,0.000736675,0.000877852,0.039981822,0.033803076,0.033803076,0.001963877,0.00146371,0.647012188,0.0
8,9605108,0.020293123,0.006842608,0.685034292,0.000139138,0.000230308,0.015049097,0.0080762,0.0080762,0.000110576,8.58e-05,0.5990521,0.097421151
12,9610139,0.038331454,0.020974725,0.718962723,0.000116689,0.000171161,0.025479285,0.025447281,0.025447281,0.000244746,0.000826355,0.642373191,0.097421151
14,9705003,0.049605411,0.034284537,0.728597239,0.000250204,0.000365896,0.028185836,0.036829004,0.036829004,0.000368919,0.001709384,0.654597421,0.097421151
19,9608147,0.016910936,0.005884921,0.680693583,0.000478277,0.000581011,0.009926493,0.006123952,0.006123952,1.12e-05,4.92e-05,0.590344004,0.48710567
24,9711157,0.037204059,0.045949054,0.82159783,0.004651232,0.004909058,0.03144928,0.050037944,0.050037944,0.009649354,0.002969391,0.754309742,0.194842216
25,9701155,0.027057497,0.020548307,0.714981891,3.63e-05,5.3e-05,0.01829296,0.024614772,0.024614772,7.23e-05,0.00076479,0.63628109,0.194842216
28,9701020,0.014656144,0.010748013,0.700022278,4.95e-06,6.38e-06,0.011553387,0.012849888,0.012849888,1.12e-05,0.000211275,0.615627428,0.194842216
29,9606184,0.02367531,0.01343934,0.709733281,6.94e-05,0.000113328,0.015821184,0.0153022,0.0153022,3.23e-05,0.000300472,0.616246337,0.292263367
30,9704067,0.03156708,0.043427888,0.782874999,0.000278647,0.000273843,0.021655245,0.045528276,0.045528276,0.000679693,0.002565987,0.701577825,0.0
31,9702059,0.019165727,0.014263512,0.692997611,1.68e-06,2.33e-06,0.013242497,0.017574377,0.017574377,3.49e-06,0.000395222,0.612445638,0.097421151
32,9709081,0.01578354,0.02799593,0.779476366,0.000222633,0.000218031,0.011985211,0.029908813,0.029908813,0.000418541,0.001082672,0.693179954,0.779369037
34,9705076,0.01578354,0.029809272,0.783371076,0.000646517,0.000701253,0.010502488,0.031375177,0.031375177,0.000243479,0.0011836,0.695317398,0.876790102
35,9808073,0.009019166,0.018664976,0.778093047,0.000215662,0.00027184,0.008082525,0.020139306,0.020139306,0.000450548,0.000477574,0.689538345,0.097421151
36,9603158,0.028184893,0.019316667,0.771123268,0.001092817,0.001242741,0.021762794,0.021858049,0.021858049,0.001698896,0.000592353,0.680128459,0.097421151
38,9712010,0.013528749,0.009156217,0.70381155,0.000125203,0.000166115,0.013527798,0.010561622,0.010561622,0.001165796,0.000140548,0.623296053,0.097421151
