Id,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
9510148,0.03156708,0.01593664,0.69714254,2.84E-05,4.25E-05,0.020628481,0.020185025,0.020185025,3.56E-05,0.00052757,0.616980714,0
9602031,0.03156708,0.029942724,0.77550055,0.000826468,0.000807686,0.02057023,0.034695022,0.034695022,0.001106227,0.001491975,0.689279439,0
9603034,0.021420519,0.02059312,0.74506007,0.000108775,0.000149387,0.014931698,0.024514497,0.024514497,0.000155116,0.000755836,0.661750545,0
9607210,0.038331454,0.021609423,0.715809856,0.000122347,0.000152928,0.025073222,0.026443739,0.026443739,0.000247059,0.000891961,0.638333858,0
9611197,0.032694476,0.023169631,0.712307547,5.05E-05,7.82E-05,0.020903239,0.026560713,0.026560713,9.19E-05,0.000895445,0.636483801,0.292263367
9602035,0.014656144,0.010108756,0.701343874,5.45E-06,7.58E-06,0.011474591,0.012114516,0.012114516,8.53E-06,0.00018754,0.616515249,0
9612207,0.060879369,0.027941141,0.722081255,0.000736675,0.000877852,0.039981822,0.033803076,0.033803076,0.001963877,0.00146371,0.647012188,0
9701191,0.033821871,0.020157934,0.699859865,2.79E-05,3.91E-05,0.021959534,0.025222639,0.025222639,4.73E-05,0.000816545,0.619685492,0
9605108,0.020293123,0.006842608,0.685034292,0.000139138,0.000230308,0.015049097,0.0080762,0.0080762,0.000110576,8.58E-05,0.5990521,0.097421151
9605113,0.036076663,0.034959165,0.782858745,0.001079627,0.00109891,0.023259395,0.039394354,0.039394354,0.001578458,0.00191861,0.700672298,0
9607021,0.019165727,0.010632867,0.700809427,2.03E-05,2.77E-05,0.014469608,0.012849609,0.012849609,3.00E-05,0.000212296,0.616618914,0
9609183,0.009019166,0.006797508,0.692526677,2.37E-07,3.41E-07,0.008015363,0.008549072,0.008549072,8.95E-07,9.30E-05,0.610972777,0
9610139,0.038331454,0.020974725,0.718962723,0.000116689,0.000171161,0.025479285,0.025447281,0.025447281,0.000244746,0.000826355,0.642373191,0.097421151
9702179,0.022547914,0.014233773,0.70229747,2.46E-05,3.88E-05,0.015701907,0.017822237,0.017822237,4.76E-05,0.000402518,0.621009784,0
9705003,0.049605411,0.034284537,0.728597239,0.000250204,0.000365896,0.028185836,0.036829004,0.036829004,0.000368919,0.001709384,0.654597421,0.097421151
9703159,0.021420519,0.010372191,0.702605001,0.000126817,0.000161285,0.015537465,0.012560722,0.012560722,0.000319742,0.000202158,0.618315783,0
9904210,0.02367531,0.01562746,0.700653158,1.63E-05,2.42E-05,0.017087271,0.018790278,0.018790278,2.61E-05,0.000450887,0.617910618,0
9712167,0.018038331,0.019659412,0.772648101,0.001019177,0.001119219,0.011858375,0.022046179,0.022046179,0.000520423,0.000594891,0.684580655,0
9710213,0.029312289,0.019212403,0.701702801,0.000397667,0.00053748,0.018076823,0.022698246,0.022698246,3.34E-05,0.000659393,0.619903599,0
9608147,0.016910936,0.005884921,0.680693583,0.000478277,0.000581011,0.009926493,0.006123952,0.006123952,1.12E-05,4.92E-05,0.590344004,0.48710567
9705164,0.016910936,0.009541924,0.694983826,5.79E-05,9.39E-05,0.010617716,0.011097225,0.011097225,1.12E-05,0.000156584,0.613510255,0
9707076,0.040586246,0.02603945,0.717854015,0.002048948,0.002143694,0.02391155,0.029833766,0.029833766,0.000114541,0.001130682,0.638235838,0
9709186,0.011273957,0.007295017,0.681247008,9.97E-06,2.78E-05,0.009105907,0.008624662,0.008624662,1.05E-05,9.51E-05,0.600301209,0
9611088,0.02367531,0.031953758,0.788482048,0.00076184,0.000816724,0.017136596,0.036402647,0.036402647,0.001212468,0.001601183,0.704159694,0
