,Rank,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic,MAUT
0,1,9711200,9908142,9711200,9711200,9711200,9711200,9908142,9908142,9711200,9908142,9711200,9706074
1,2,9407087,9711200,9407087,9407087,9407087,9407087,9711200,9711200,9407087,9711200,7170,9503057
2,3,9908142,5031,110055,9908142,9908142,9906064,9711162,9711162,9906064,9711162,9407087,9507032
3,4,9906064,9711162,7170,9906064,9906064,9908142,106048,106048,9908142,106048,110055,9808172
4,5,9408099,106048,9408099,9408099,9408099,9408099,5031,5031,9408099,9407087,210224,9808087
5,6,9503124,12251,212114,9610043,9610043,9610043,9711165,9711165,9610043,5031,9908142,9705225
6,7,9610043,9103,9503124,9905111,9905111,9905111,9407087,9407087,9503124,9711165,212114,103067
7,8,9905111,9148,9905111,9503124,9503124,9503124,10060,10060,9905111,10060,9503124,9804069
8,9,9711162,9912249,210224,110055,110055,9204099,9912072,9912072,110055,9408099,9408099,9704075
9,10,9510209,111208,9411028,9401139,9401139,9711162,9408099,9408099,9711162,9912072,9905111,9903029
10,11,9410167,10108,9908142,9411028,9411028,9510209,8013,8013,7170,8013,106048,9705014
11,12,9510135,10060,106048,9210010,9210010,9410167,9905111,9905111,9510209,9905111,9410167,9612021
12,13,106048,10240,210157,9711162,9409089,9510135,9503124,9503124,106048,9503124,9906064,211082
13,14,9601029,9407087,9410167,9409089,9711162,9401139,5006,5006,9401139,5006,210157,6164
14,15,9611050,9810188,9903268,106048,106048,9409089,6071,6071,9510135,6071,8142,9709198
15,16,9803131,5036,9510135,9510135,9202,9306002,9812219,9812219,9202,9812219,9510135,9806242
16,17,9409089,109162,9812072,9510209,9510135,9803131,9810188,9810188,9410167,9810188,7018,9906162
17,18,9912072,9911116,9401139,9202,9510209,9412184,7170,7170,9204099,109162,9139,9609151
18,19,9401139,9711165,9610043,9410167,9204099,9611050,109162,109162,9306002,7170,9510209,303001
19,20,9411149,5006,8142,9204099,9410167,9601029,11095,11095,9409089,11095,9903268,9501075
20,21,9910053,12210,9908199,7170,9405029,9910053,5040,5040,9405029,5040,207142,9512129
21,22,109162,6071,9711162,9405029,9301042,9301042,7043,7043,9611050,9906064,9812072,9610125
22,23,9711165,9902105,9409089,9301042,7170,9405029,9912249,9912249,9412184,7043,9711162,9706222
23,24,9204099,6240,210292,9506171,9506171,9201056,9038,9038,9601029,9912249,5029,106176
24,25,9412184,9805170,207142,9611050,9611050,106048,5048,5048,9301042,9038,210292,207162
25,26,9602022,9038,9612192,9306002,9412184,9912072,9903205,9903205,9803131,9903205,105097,9904197
26,27,112044,208142,10144,9412184,9306002,9412228,5204,5204,8142,5204,207249,109170
27,28,7170,12198,9202,9304011,9304011,9405109,9906064,9906064,9910053,5048,5031,106103
28,29,9501068,9208027,7195,9306153,9306153,9411149,9103,9103,9411028,9103,8081,9609084
29,30,9810188,105059,9807195,9201056,9201056,9204083,9410167,9410167,9304011,9410167,9811019,9612130
30,31,9602052,9246,9139,210224,209241,9602022,4147,4147,9408074,4147,9610043,9805038
31,32,9301042,9191,9510209,209241,9612233,9211021,9510135,9510135,9412228,9510209,10144,9702168
32,33,110055,106010,9811019,9612233,210224,9401153,9805170,9805170,9201056,9142,7191,9703218
33,34,7191,8013,207249,9504150,9408074,9501068,9510209,9510209,9304154,10090,9411028,9709037
34,35,9603142,9808141,9412184,9803131,9803131,9408074,9142,9142,9411149,8205,9803131,9512139
35,36,9805170,11226,8081,9412228,9412228,9603142,12210,12210,210224,9510135,9401139,9905208
36,37,111208,12081,210134,9408074,9411210,9711165,10090,10090,9504150,9148,8076,9608137
37,38,110242,9912072,7018,9601029,9504150,9206084,9148,9148,111210,9805170,9908199,9709098
38,39,9411048,11095,209230,210292,9206084,9304154,8205,8205,9505061,12210,11283,9511228
39,40,9812219,11029,9708164,9204083,209230,9602052,11131,11131,9401153,10240,210134,9502137
40,41,9611230,9408099,5029,209230,9204083,9301068,10240,10240,210292,11131,4103,108234
41,42,9148,9904207,206063,9411210,9601029,9205068,5129,5129,9506136,11125,9807195,12162
42,43,9510169,111129,8076,9206084,8142,9402002,11125,11125,212114,5129,9711165,9412158
43,44,5031,8053,9803131,8142,210292,9207016,12198,12198,9402002,106113,9612192,9604023
44,45,9602043,9805019,5087,9402002,109162,9411048,9910053,9910053,9711165,12198,206063,9605236
45,46,9408074,9210065,9408074,9304154,9503002,9505035,12251,12251,9405109,12251,9708164,9706168
46,47,106113,9812135,12234,109162,9402002,9804085,10108,10108,9204083,10108,5087,9411095
47,48,9411057,8252,5031,9503002,9601013,9703030,11283,11283,303109,9910053,9412184,9601109
48,49,9703166,9503124,11283,9601013,9304154,9212149,9910004,9910004,9211034,9910004,112195,9710135
49,50,9512077,9303143,8241,9208027,9208027,9810188,8042,8042,9211021,11283,9409089,9705029
50,51,9103,11094,112195,9411149,9411149,9304011,9808141,9808141,209241,8042,9804208,9511178
51,52,9402002,8033,9711165,9910053,210157,9402044,107251,107251,9812056,7191,303191,9811036
52,53,9504090,8227,9808100,210157,9706210,9208027,9610043,9610043,12234,9808141,106117,9806056
53,54,9402044,7153,4068,9602022,9910053,9507158,9812135,9812135,9805170,107251,210217,9710073
54,55,9603167,9812219,9611050,9706210,9712110,9611230,8075,8075,9206084,8075,12234,9512149
55,56,9507158,7170,105097,9904180,9401153,9303046,107172,107172,9512085,107172,9202,9710068
56,57,12251,109182,9805096,9401153,9602022,9407190,7191,7191,5029,9610043,11193,109168
57,58,9512062,8231,9301042,9712110,9505161,9512062,9810072,9810072,9903005,9812135,8001,212100
58,59,9904207,10016,106061,212114,9904180,9612115,106113,106113,9602022,9810072,106061,210294
59,60,9505105,9311177,9511053,9708009,9506136,9411057,7078,7078,9501068,7078,9511030,9810020
60,61,9208027,10190,9906064,9505161,9208047,9504090,5073,5073,9903268,5073,106178,7044
61,62,9912249,12080,4187,9208047,9910222,9510169,111208,111208,9503023,111208,4063,9707047
62,63,9507121,9105,109162,9910222,9708009,9507121,10221,10221,9205068,10221,9910053,9708113
63,64,9703030,4147,7191,9711165,9212149,9812219,110055,110055,5031,110055,7064,212082
64,65,7018,7226,9907123,9506136,9912271,9805114,9911116,9911116,9603142,110108,12037,9411178
65,66,9903205,301094,209241,9212149,9505061,9402032,9904207,9904207,9504090,9911116,9504047,111068
66,67,9808141,9142,106178,9505061,212114,9306069,9908056,9908056,9303160,9908056,9504090,5053
67,68,210157,303172,9804208,9903268,9405187,9309140,11094,11094,5247,9904207,9902149,9506133
68,69,9905012,9061,11193,9405187,9903268,9411102,208142,208142,9401070,9803131,9611050,11073
69,70,9511030,105227,205301,9912271,9310170,9512077,104139,104139,9511030,11094,9906044,9809201
70,71,9512059,8101,9902149,9310170,9711165,9703166,9030,9030,9810188,104139,11282,210238
71,72,9805114,11033,12131,304018,304018,9909134,9803131,9803131,9303046,208142,9810188,9603126
72,73,9909134,10218,5247,5247,9412229,9602043,103124,103124,206063,9030,205100,9904122
73,74,9805019,5040,9702098,9412229,9304057,9603167,9803031,9803031,9912271,103124,9510169,9705067
74,75,9910219,11009,106117,9812219,303185,7191,6240,6240,9301068,9803031,9805170,212069
75,76,10060,5204,9906044,303185,9707202,9805170,110108,110108,9309140,6240,9501068,9606009
76,77,8001,209034,9910222,9304057,206063,9804058,6112,6112,209169,6112,103115,9609094
77,78,9807080,106201,9504090,9501068,9501068,9905012,9208027,9208027,9207016,9208027,106234,9712020
78,79,9904017,7043,9501068,9707202,5247,9806087,6062,6062,107163,104036,9512077,9612251
79,80,210224,9410167,4063,9408067,9812219,106113,104036,104036,9507158,6062,9301042,9703209
80,81,9911116,9903205,205060,5130,207130,9911055,12218,12218,9407190,110007,9408074,4087
81,82,9911055,10028,9511030,206063,9504090,7170,9805019,9805019,9505161,12218,8241,9512005
82,83,5129,9213,303191,207130,9408067,9401070,7204,7204,9306069,7204,209241,9809127
83,84,108172,9510135,9708009,9504090,9309140,9512059,107115,107115,9711002,111238,205301,9901124
84,85,10108,5048,10222,9309140,9512062,9201061,9233,9233,9812219,9805019,110108,9609104
85,86,5048,9812031,9504047,9512062,7195,9608024,104143,104143,9512062,107115,11079,9612123
86,87,9806087,9905111,208048,7195,9707009,9511030,105242,105242,103239,9233,9808100,9608116
87,88,9608024,10034,11282,9707009,9811031,103239,105059,105059,9904180,104143,209230,108043
88,89,9902105,11002,4103,11197,9503161,9409113,7018,7018,9208027,7018,10105,9608046
89,90,209241,9610043,211170,9603074,5130,9505105,210224,210224,9705122,105242,9511222,9704104
90,91,8142,209122,9805114,9811031,207231,9904017,12145,12145,9212149,111182,11131,107151
91,92,5040,10021,9512062,9812056,9603074,9148,11029,11029,9401059,105059,107081,9701154
92,93,9804058,8205,9507060,9805170,11197,9903205,5029,5029,9806087,210224,9805114,9612215
93,94,9910149,10247,9904150,111210,9905229,9803235,110007,110007,9507121,12145,9702098,9612157
94,95,209230,9189,9511222,9401070,9206027,9504006,7226,7226,9504006,11029,9907123,9901105
95,96,9505035,4015,9910053,9301068,111210,9505161,111238,111238,9912072,103171,9704104,9602118
96,97,107166,5129,9512181,9603101,9812056,9904207,4013,4013,9206027,7226,106014,9904033
97,98,208048,103103,9512077,9503161,6179,9701125,9191,9191,9512077,4013,11077,9507143
98,99,9207016,7078,9402002,6179,9206007,9910219,107087,107087,9804085,5029,5247,9711051
99,100,9306002,9910053,9812219,9206027,9401070,9712251,111182,111182,9712066,9191,110007,9710110
100,101,106109,11125,9511178,9507155,9702194,9807080,5015,5015,9712004,108172,108101,12193
101,102,9804085,104230,205306,9905229,9302116,9103,10016,10016,9602052,107087,103080,5026
102,103,206038,9510209,12037,9302116,104031,9302033,8033,8033,9404173,8001,206071,205100
103,104,9803235,10090,9510169,207231,9603101,5129,9101,9101,7191,10016,9604041,210281
104,105,9612115,9030,9604041,9206007,9805170,9512216,6236,6236,9510169,5015,9213,9159
105,106,9604035,104143,9710198,9303046,9303046,9503023,10256,10256,105097,112045,9812219,9903129
106,107,303191,103085,4074,9503023,9507155,9506136,103171,103171,7018,8033,103067,9710053
107,108,9304154,107251,9610157,104031,9903069,9912249,8001,8001,9201061,9101,9708009,9407109
108,109,12210,9909062,207106,9501075,9301068,5031,11282,11282,107248,9409089,4187,107248
109,110,110108,106036,11079,9905142,106260,7018,103196,103196,212117,6236,9610157,9607159
110,111,210292,103079,8001,9205068,9512105,9202046,7089,7089,9711138,103196,9402002,9510138
111,112,9511222,11131,9508064,9603142,9401105,9908056,105311,105311,9911097,10256,12210,103209
112,113,9602051,9910004,9304011,9810188,9908105,9511222,7175,7175,9910038,105311,9512062,9803123
113,114,107177,210292,9704104,9702194,9603142,9805028,106213,106213,9701125,7089,9247,9609116
114,115,208142,103089,9503057,209169,9607201,9504081,108172,108172,9512059,106213,107057,9510190
115,116,4147,6219,9512129,9512105,9503023,9206027,9409089,9409089,9906229,106109,106113,207032
116,117,9908056,207156,106192,9401105,9501075,106109,5208,5208,9603167,7175,9511157,4075
117,118,103239,3278,9805170,9908105,9705087,8001,11079,11079,9409113,11282,106127,9708103
118,119,9810072,11283,210217,9302047,9205068,9301046,9812031,9812031,9505035,110031,9512219,9506048
119,120,9309140,8075,205100,9709192,9511030,9911116,9907166,9907166,9411048,303191,9504081,9903125
120,121,9607201,9810072,112040,9207016,9302047,9303048,10101,10101,9402032,106247,10222,9705076
121,122,11095,5029,9804057,9402032,9905142,9805019,303191,303191,9607049,5208,5040,110028
122,123,9704080,210224,9805058,9705087,9709100,8142,7106,7106,112032,9812031,4111,7240
123,124,8013,108043,9610082,9607201,9208007,9406206,9189,9189,9610242,11079,9806087,9603051
124,125,12198,8042,9810188,9208007,9207016,9808141,8142,8142,9603074,10101,9601029,205301
125,126,5006,207105,9710102,9903069,209169,9209049,112045,112045,9707202,9189,9503057,9906214
126,127,110007,107197,9507121,9511030,9908021,9304141,210292,210292,9602070,8142,7024,9610082
127,128,9504006,106231,9709172,9703110,9402032,9308154,108043,108043,9511222,9907166,4198,9709005
128,129,6240,10221,10105,9908021,9501071,107177,9213,9213,209162,7106,9603167,9709222
129,130,9711138,9908056,11032,9501071,9607049,9807069,9512077,9512077,6064,6219,5073,9403198
130,131,5247,7175,206161,9908199,9407182,9602070,12093,12093,9306023,12093,9512059,5119
131,132,9505075,9233,103067,9607049,9709192,11156,6219,6219,9708164,108043,103171,9805147
132,133,9505100,110055,110050,9405109,9912072,12251,10251,10251,11166,107134,109162,9609181
133,134,9504081,112169,9213,9912072,9405109,9207094,6023,6023,9811028,210292,103163,9808138
134,135,9210010,105242,9309140,106260,9703110,9806194,106109,106109,9905142,112152,112145,6172
135,136,206255,105184,9904019,9709100,9810188,9910149,211263,211263,9805114,9512077,9156,9909196
136,137,106010,107115,9603086,9505052,9512085,7044,9909062,9909062,9501071,9213,4068,104031
137,138,9603161,209255,9511157,12234,9612115,9411187,209241,209241,9103,10251,9411149,4049
138,139,10240,9252,9909049,106113,9810198,9708147,110031,110031,12023,9411149,9507121,9702197
139,140,9505052,10181,110108,103235,103235,5040,10204,10204,9804177,211263,12035,9709081
140,141,9604034,5073,210249,9612115,9505052,9505075,8081,8081,9703030,8081,9807080,9707089
141,142,9205027,304018,106234,9810089,9711084,9806051,7217,7217,9612115,9909062,107167,9707079
142,143,9210065,111069,107096,9407182,9908199,9505150,9611050,9611050,9807127,9611050,110050,9607020
143,144,5067,9803031,9705167,9412092,106113,9301052,6091,6091,210157,6023,9507158,212151
144,145,9910004,104139,11131,9911097,9810089,5048,106247,106247,9402044,109213,4148,9805031
145,146,7024,107172,8015,9512085,9507121,9607049,8231,8231,10048,10204,9805019,9706073
146,147,5029,207107,103168,9602052,9603164,9604034,9002,9002,9803030,7217,209150,9703052
147,148,103067,5208,108152,9211021,8241,9305185,8119,8119,9503057,209241,9704041,9709118
148,149,207106,12145,106201,9507121,12234,9205089,12183,12183,9611230,111093,9806159,9705110
149,150,9806146,106068,4039,9406125,9511104,9711138,8204,8204,9910222,6091,205306,9712011
150,151,7044,103124,103115,12141,9712066,9505100,8252,8252,9148,112218,205060,9708016
151,152,5036,108150,110200,9810198,112032,9505062,10017,10017,9904207,8231,9910222,9610112
152,153,9602070,111199,9904033,9712066,9412092,103067,11099,11099,210134,8204,8226,9612141
153,154,9806051,9906064,11197,9507158,9602052,9607161,8144,8144,9207094,9002,9806146,9711197
154,155,9602114,106195,107081,5031,12141,9306013,9908134,9908134,9811019,8252,12213,9609211
155,156,9505062,12218,9908004,9511104,9911097,9410073,107134,107134,108032,11099,11032,5090
156,157,9911161,10058,9902210,9603164,9507158,9804177,109176,109176,9904017,10017,9204099,9908035
157,158,207105,103069,9411048,8241,9703099,9506109,112152,112152,9506011,8144,7195,10054
158,159,9505150,104036,9504006,9711084,9805114,9911161,9411149,9411149,10144,112226,104037,9605216
159,160,9603126,7191,207145,9511126,9406125,9810072,12081,12081,106113,11077,10088,205082
